Plate	Well	GeneID
1	A01	Mock
1	A02	CDK2Y
1	A03	CIDE3Y
1	A04	FasY
1	A05	YFPY
1	A06	vectorY
1	A07	pDakxq28A228_1E2MNY1
1	A08	pDhlcc3_59e24_1E1MNY1
1	A09	pDhfbr1_4l13_1E2MNY1
1	A10	pDIMAGp958E161161_1E1MNY1
1	A11	pDhlcc3_52k13_1E7MNY1
1	A12	pDhfbr1_5c24_1E1MNY1
1	B01	pDIRALp962A2027_1E1MNY1
1	B02	pDakxq28j1311548_1E1MNY1
1	B03	pDhlcc4_5d1r1s1_1E1MNY1
1	B04	pDhfbr2_3c10_1E2MNY1
1	B05	pDhfbr1_6j22_1E2MNY1
1	B06	pDIMAGp958G021430_1E1MNY1
1	B07	pDhlcc3_52f6_1E2MNY1
1	B08	pDhamy2_16n19_1E1MNY1
1	B09	pDakxq28f031904_1E2MNY1
1	B10	pDakxq28n1210739_1E1MNY1
1	B11	pDakxq28l16384_1E2MNY1
1	B12	pDhfkd2_4j16_1E3MNY1
1	C01	pDhtes3_5c13_1E3MNY1
1	C02	pDhtes3_1k15_1E2MNY1
1	C03	pDhamy2_11n4_1E1MNY1
1	C04	pDhtes3_13c10_1E3MNY1
1	C05	pDhtes3_10n10_1E3MNY1
1	C06	pDhfkd2_24n20_1E4MNY1
1	C07	pDakxq28c171466_1E1MNY1
1	C08	pDakxq28o048419_1E1MNY1
1	C09	pDhfbr2_78k24_1E3MNY1
1	C10	pDhtes3_20k2_1E1MNY1
1	C11	pDhfkd2_46m10_1E3MNY1
1	C12	pDhfkd2_24n20_1E1MNY1
1	D01	pDakxq28e16117_1E1MNY1
1	D02	pDakxq28o054208_1E4MNY1
1	D03	pDhfbr2_78c24_1E2MNY1
1	D04	pDhtes3_26g22_1E1MNY1
1	D05	pDhtes3_1l15_1E2MNY1
1	D06	pDhtes3_10n4_1E4MNY1
1	D07	pDhfbr2_72b18_1E1MNY1
1	D08	pDakxq28f10122_1E1MNY1
1	D09	pDhfbr2_7a24_1E1MNY1
1	D10	pDhute1_24b4_1E3MNY1
1	D11	pDhtes3_23a19_1E3MNY1
1	D12	pDhfbr2_7b16_1E1MNY1
1	E01	Mock
1	E02	YCDK2
1	E03	YCIDE3
1	E04	Yfas
1	E05	YYFP
1	E06	Yvector
1	E07	pDakxq28A228_1E2MCY1
1	E08	pDhlcc3_59e24_1E1MCY1
1	E09	pDhfbr1_4l13_1E2MCY1
1	E10	pDIMAGp958E161161_1E1MCY1
1	E11	pDhlcc3_52k13_1E7MCY1
1	E12	pDhfbr1_5c24_1E1MCY1
1	F01	pDIRALp962A2027_1E1MCY1
1	F02	pDakxq28j1311548_1E1MCY1
1	F03	pDhlcc4_5d1r1s1_1E1MCY1
1	F04	pDhfbr2_3c10_1E2MCY1
1	F05	pDhfbr1_6j22_1E2MCY1
1	F06	pDIMAGp958G021430_1E1MCY1
1	F07	pDhlcc3_52f6_1E2MCY1
1	F08	pDhamy2_16n19_1E1MCY1
1	F09	pDakxq28f031904_1E2MCY1
1	F10	pDakxq28n1210739_1E1MCY1
1	F11	pDakxq28l16384_1E2MCY1
1	F12	pDhfkd2_4j16_1E3MCY1
1	G01	pDhtes3_5c13_1E3MCY1
1	G02	pDhtes3_1k15_1E2MCY1
1	G03	pDhamy2_11n4_1E1MCY1
1	G04	pDhtes3_13c10_1E3MCY1
1	G05	pDhtes3_10n10_1E3MCY1
1	G06	pDhfkd2_24n20_1E4MCY1
1	G07	pDakxq28c171466_1E1MCY1
1	G08	pDakxq28o048419_1E1MCY1
1	G09	"pDhfbr2_78k24_1E3 MCY1"
1	G10	pDhtes3_20k2_1E1MCY1
1	G11	pDhfkd2_46m10_1E3MCY1
