"Library Name" "Address" "City" "State" "ZIP Code" "Latitude" "Longitude"
"Akiachak School-Community Library" "1 Main Street" "Akiachak" "AK" "99551" -161.7823474 60.7959217
"Akiak School-Community Library" "1 Kilbuck Road" "Akiak" "AK" "99552" -161.2189094 60.9111819
"Nunamiut School-Community Library" "114 Illinois Avenue" "Anaktuvuk Pass" "AK" "" -151.741225 68.1410284
"Anchor Point Public Library" "72551 Milo Fritz Avenue" "Anchor Point" "AK" "99556" -151.8515592 59.7796256
"Anchorage Public Library" "3600 Denali Street" "Anchorage" "AK" "99503" -149.8786928 61.1870583
"Mountain View Branch Library" "150 South Bragaw Street" "Anchorage" "AK" "99504" -149.8109528 61.2227624
"Muldoon Branch Library" "5530 East Northern Lights Boulevard" "Anchorage" "AK" "99504" -149.7754994 61.1939631
"Anderson Village Library" "101 First Street" "Anderson" "AK" "99744" -149.1908006 64.343687
"Aniak Public Library" "270 Riverfront Drive" "Aniak" "AK" "99557" -159.540714 61.5828109
"Anvik Community-School Library" "1 Airport Road" "Anvik" "AK" "99558" -160.1946203 62.6500118
"Meade River School-Community Library" "4001 Kippi Street" "Atqasuk" "AK" "99791" -157.4158132 70.4779002
"Tuzzy Consortium Library" "5421 North Star Street" "Barrow" "AK" "99723" -156.7567283 71.2983381
"Kuskokwim Consortium Library" "420 State Highway" "Bethel" "AK" "99559" -161.7697189 60.7926967
"Big Lake Public Library" "3140 South Big Lake Road" "Big Lake" "AK" "99652" -149.821066 61.546468
"Cantwell Community Library" "1 School Road" "Cantwell" "AK" "99729" -149.011105 63.8720774
"Chiniak Public Library" "43318 Spruce Way" "Chiniak" "AK" "99615" -152.235634 57.611954
"Coffman Cove Community Library" "106 Denali Alley" "Coffman Cove" "AK" "99918" -132.8280115 56.0139831
"Cold Bay Public Library" "10 Baranov Street" "Cold Bay" "AK" "99571" -162.712286 55.2080335
"Cooper Landing Community Library" "p.o. box 517" "Cooper Landing" "AK" "99572" -149.8341667 60.49
"Cordova Public Library" "622 First Street" "Cordova" "AK" "99574" -145.758655 60.5432564
"Craig Public Library" "504 Third Street" "Craig" "AK" "99921" -133.1517679 55.4760762
"Ipnatchiaq Library" "59 Main Street" "Deering" "AK" "99736" -162.723061 66.0765565
"Delta Community Library" "2291 Deborah Street" "Delta Junction" "AK" "99737" -145.7191344 64.0468248
"Dillingham Public Library" "306 D Street West" "Dillingham" "AK" "99576" -158.4637554 59.0405635
"Juneau Public Libraries - Douglas Branch" "1016 3rd Street" "Douglas" "AK" "99824" -134.3952813 58.2770185
"Eagle Public Library" "2nd Amundsen" "Eagle" "AK" "99738" -141.2 64.7880556
"Chugiak-Eagle River Branch Library" "12400 Old Glenn Highway" "Eagle River" "AK" "99577" -149.5675533 61.3328703
"Egegik Village Library" "289 Airport Way" "Egegik" "AK" "99579" -157.3680852 58.2088974
"Ernest Nylin Memorial Library" "50 Elim Loop" "Elim" "AK" "99739" -162.2679132 64.6156505
"Fairbanks North Star Borough Public Library" "1215 Cowles Street" "Fairbanks" "AK" "99701" -147.736923 64.8380752
"False Pass Public Library" "182 Unimak Drive" "False Pass" "AK" "99583" -163.4074203 54.848241
"Charles Evans Community-School Library" "299 Antoski Drive" "Galena" "AK" "99741" -156.8788662 64.750688
"Gerrish (Girdwood) Branch Library" "250 Egloff Drive" "Girdwood" "AK" "99587" -149.1343675 60.961263
"Scott And Wesley Gerrish Branch Library" "169 Hightower Street" "Girdwood" "AK" "" -149.1336461 60.96286
"Copper Valley Community Library" "p.o. box 173" "Glennallen" "AK" "99588" -145.557302 62.1097214
"Grayling Community-School Library" "p.o. box 90" "Grayling" "AK" "99590" -160.0647222 62.9036111
"Gustavus Public Library" "14 Gustavus Road" "Gustavus" "AK" "99826" -135.7310661 58.4126979
"Haines Borough Public Library" "111 Third Avenue South" "Haines" "AK" "99827" -135.4479599 59.2343051
"Tri-Valley Community Library" "400 Suntrana Street" "Healy" "AK" "99743" -149.017756 63.873543
"Hollis Public Library" "p.o. box 5" "Hollis" "AK" "99950" -132.7122839 55.5234753
"Holy Cross Community-School Library" "210 Trailway Street" "Holy Cross" "AK" "99602" -159.7713889 62.1994444
"Homer Public Library" "500 Hazel Avenue" "Homer" "AK" "99603" -151.530896 59.6438501
"Esther Greenwald Library" "366 Garteeni Highway" "Hoonah" "AK" "99829" -135.4408949 58.1081579
"Hope Public Library" "18487 A Avenue" "Hope" "AK" "99605" -149.6424532 60.9187212
"Hyder Public Library" "50 Main Street" "Hyder" "AK" "99923" -130.0597374 55.9569856
"Juneau Public Libraries - Downtown Branch Library" "292 Marine Way" "Juneau" "AK" "99801" -134.4041043 58.2982525
"Juneau Public Libraries - Valley Branch Library" "9105 Mendenhall Mall Road, 134" "Juneau" "AK" "99801" -134.5889293 58.3715658
