"Library Name" "Address" "City" "State" "ZIP Code" "Latitude" "Longitude"
"Abbeville Memorial Library" "301 Kirkland Street" "Abbeville" "AL" "36310" -85.2504881 31.5666141
"Adamsville Public Library" "4825 Main Street" "Adamsville" "AL" "35005" -86.9532687 33.6001556
"Akron Public Library" "207 First Avenue South" "Akron" "AL" "35441" -87.7419306 32.8773776
"Alabaster - Albert L. Scott Library" "100 9th Street N.W." "Alabaster" "AL" "35007" -86.8270053 33.2448142
"Albertville Public Library" "200 Jackson Street" "Albertville" "AL" "35950" -86.2029469 34.2644505
"Marshall County Cooperative Library" "600 College Street" "Albertville" "AL" "35950" -86.199369 34.256803
"Alexander City - Adelia Mcconnell Russell Library" "318 Church Street" "Alexander City" "AL" "35010" -85.9538684 32.9411135
"Mamies Place Childrens Library" "284 Church Street" "Alexander City" "AL" "35010" -85.9538715 32.9414747
"Aliceville Public Library" "416 Third Avenue Ne" "Aliceville" "AL" "35442" -88.1474944 33.1292805
"Andalusia Public Library" "212 South Three Notch Street" "Andalusia" "AL" "36420" -86.4828663 31.3068617
"Public Library Of Anniston-Calhoun County" "108 East 10th Street" "Anniston" "AL" "36201" -85.827998 33.6568385
"Public Library Of Anniston-Calhoun County - Carver" "722 West 14th Street" "Anniston" "AL" "36201" -85.8390955 33.6620445
"Arab Public Library" "325 2nd Street Nw" "Arab" "AL" "35016" -86.4969284 34.3210541
"Ariton - Dot Laney Memorial Library" "30 W. Main Street" "Ariton" "AL" "36311" -85.7189326 31.600158
"Arley Public Library" "6788 County Road 41" "Arley" "AL" "35541" -87.2125482 34.0796557
"Houston-Love Memorial Library - Ashford" "305 6th Avenue" "Ashford" "AL" "36312" -85.234058 31.183024
"Ashland City Public Library" "11 Second Avenue North" "Ashland" "AL" "36251" -85.830535 33.273893
"Ashville Public Library" "196 Sixth Avenue" "Ashville" "AL" "35953" -86.2537551 33.8364836
"St. Clair County Library" "139 5th Avenue" "Ashville" "AL" "35953" -86.2549609 33.8386515
"Athens-Limestone Public Library" "405 East South Street" "Athens" "AL" "35611" -86.9648853 34.8001968
"Atmore Public" "700 E. Church Street" "Atmore" "AL" "36502" -87.4857686 31.0226937
"Escambia County Cooperative Library System" "700 East Church Street" "Atmore" "AL" "36502" -87.4857686 31.0226937
"Etowah County Public Library" "604 North 4th Street" "Attalla" "AL" "35954" -86.0877483 34.0239077
"Auburn Public Library" "749 East Thach Avenue" "Auburn" "AL" "36830" -85.4655956 32.6049393
"Autauga Prattville Public Library - Autaugaville" "207 North Taylor Street" "Autaugaville" "AL" "36003" -86.6580661 32.4327189
"Bay Minette Public Library" "205 West Second Street" "Bay Minette" "AL" "36507" -87.7766977 30.8821079
"Bessemer Public Library" "400 19th Street N" "Bessemer" "AL" "35020" -86.9551311 33.4030112
"Autauga Prattville Public Library - Billingsley" "2021 Post Office Street" "Billingsley" "AL" "36006" -86.7177239 32.65988
"Birmingham Public Library" "2100 Park Place" "Birmingham" "AL" "35203" -86.8074291 33.5211254
"Birmingham Public Library - Avondale Regional Library" "509 40th Street South" "Birmingham" "AL" "35222" -86.7743532 33.5209967
"Birmingham Public Library - East Ensley" "900 14th Street Ensley" "Birmingham" "AL" "35218" -86.8888798 33.515173
"Birmingham Public Library - East Lake" "5 Oporto Madrid Blvd South" "Birmingham" "AL" "35206" -86.7273854 33.5606541
"Birmingham Public Library - Ensley" "1201 25th Street Ensley" "Birmingham" "AL" "35218" -86.8934928 33.5036919
"Birmingham Public Library - Five Points West" "4620 Avenue V" "Birmingham" "AL" "35208" -86.8783539 33.494365
"Birmingham Public Library - Inglenook" "4100 40th Terrace North" "Birmingham" "AL" "35217" -86.7765851 33.562336
"Birmingham Public Library - North Avondale" "501 43rd Street N" "Birmingham" "AL" "35222" -86.772041 33.5310049
"Birmingham Public Library - North Birmingham" "2501 31st Avenue North" "Birmingham" "AL" "35207" -86.8194447 33.5520552
"Birmingham Public Library - Powderly" "3301 Jefferson Avenue Sw" "Birmingham" "AL" "35221" -86.8872075 33.4635109
"Birmingham Public Library - Pratt City" "1100 Hibernian Street" "Birmingham" "AL" "35214" -86.8783691 33.5408147
"Birmingham Public Library - Slossfield" "1916 25th Court North" "Birmingham" "AL" "35234" -86.8250496 33.5441005
"Birmingham Public Library - Smithfield" "1 8th Avenue West" "Birmingham" "AL" "35204" -86.8365213 33.5137045
"Birmingham Public Library - Southside" "1814 11th Avenue South" "Birmingham" "AL" "35205" -86.7982777 33.4998992
"Birmingham Public Library - Springville Road" "1224 Old Springville Road" "Birmingham" "AL" "35235" -86.6681986 33.6225182
"Birmingham Public Library - Titusville" "2 6th Avenue Sw" "Birmingham" "AL" "35211" -86.8315173 33.4926728
"Birmingham Public Library - West End" "1241 Tuscaloosa Avenue Sw" "Birmingham" "AL" "35211" -86.853213 33.493121
"Birmingham Public Library - Woodlawn" "5709 First Avenue North" "Birmingham" "AL" "35212" -86.7496688 33.542151
"Birmingham Public Library - Wylam" "4300 7th Avenue Wylam" "Birmingham" "AL" "35224" -86.9200784 33.5058693
"North Shelby Library" "5521 Cahaba Valley Road" "Birmingham" "AL" "35242" -86.7165499 33.3646429
