"Library Name" "Address" "City" "State" "ZIP Code" "Latitude" "Longitude"
"Alma Public Library" "624 Fayetteville Ave." "Alma" "AR" "72921" -94.2218078 35.4789232
"Altheimer Public Library" "222 South Edline" "Altheimer" "AR" "72004" -91.8428527 34.3158197
"Clark County Library" "609 Caddo Street" "Arkadelphia" "AR" "71923" -93.0536843 34.120983
"Southeast Arkansas Regional Library - Arkansas City" "1008 Sadie Lee Avenue" "Arkansas City" "AR" "71630" -91.210356 33.6086505
"Ashdown Community Library" "160 East Commerce Street" "Ashdown" "AR" "71822" -94.1293398 33.6745079
"Atkins Public Library" "216 North East First Street" "Atkins" "AR" "72823" -92.9358155 35.243041
"Woodruff County Library" "201 Mulberry Street" "Augusta" "AR" "72006" -91.3667347 35.2816069
"Bald Knob Public Library" "367 Hwy Avenue" "Bald Knob" "AR" "72010" -91.5679114 35.3098066
"Independence County Library" "368 E. Main Street" "Batesville" "AR" "72501" -91.6514679 35.7715275
"Bearden Public Library" "111 N. Cedar" "Bearden" "AR" "71720" -92.6157275 33.7247382
"Beebe Public Library" "115 West Illinois Street" "Beebe" "AR" "72012" -91.8807578 35.0710097
"Bella Vista Public Library" "11 Dickens Place" "Bella Vista" "AR" "72714" -94.2428909 36.4735084
"Sevier County Library-Ben Lomond Branch" "448 Willson Creek Road" "Ben Lomond" "AR" "71846" -94.127311 33.8405104
"Saline County Library" "1800 Smithers Drive" "Benton" "AR" "72015" -92.5706499 34.5808345
"Bentonville Public Library" "125 West Central" "Bentonville" "AR" "72712" -94.2099832 36.3720171
"Berryville Public Library" "104 S. Spring Street" "Berryville" "AR" "72616" -93.5684925 36.3647133
"Carroll And Madison Library System" "106 Spring Street" "Berryville" "AR" "72616" -93.5685013 36.3647309
"Mississippi-Crittenden Regional Library" "200 North 5th Street" "Blytheville" "AR" "72315" -89.9079882 35.9284908
"Logan County Library" "419 North Kennedy" "Booneville" "AR" "72927" -93.9243145 35.141594
"Bradford Public Library" "219 West Main Street" "Bradford" "AR" "72020" -91.4556426 35.4230372
"Bryant Public Library" "201 Prickett Road" "Bryant" "AR" "72022" -92.4954091 34.6094768
"Arlene Cherry Memorial Library" "506 North Grant Street" "Cabot" "AR" "72023" -92.0126911 34.9749557
"Calico Rock Branch" "1214 Second Street" "Calico Rock" "AR" "72519" -92.1315908 36.1186103
"Public Library Of Camden Ouachita County" "120 Harrison Ave. S. W." "Camden" "AR" "71701" -92.8312371 33.5851308
"Caraway Public Library" "102 E. State Street" "Caraway" "AR" "72419" -90.3214997 35.7581407
"Carlisle Public Library" "105 East 5th Street" "Carlisle" "AR" "72024" -91.7474538 34.7866432
"Sharp County Library - Cave City Branch" "120 Spring Street" "Cave City" "AR" "72521" -91.5492836 35.9392667
"Cedarville Public Library" "737 Pirates Way" "Cedarville" "AR" "72932" -94.367742 35.5713973
"Charleston Public Library" "15 South School Street" "Charleston" "AR" "72933" -94.0442514 35.2966546
"Monroe County Library" "270 Madison Street" "Clarendon" "AR" "72029" -91.3123202 34.6928234
"Johnson County Library" "2 Taylor Circle" "Clarksville" "AR" "72830" -93.4645366 35.4693172
"Van Buren County Library" "110 Page Street" "Clinton" "AR" "72031" -92.4530519 35.5744043
"Faulkner-Van Buren Regional Library System" "1900 Tyler Street" "Conway" "AR" "72032" -92.450154 35.103495
