"Library Name" "Address" "City" "State" "ZIP Code" "Latitude" "Longitude"
"Maricopa County Library - Aguila" "51300 West U.S. 60" "Aguila" "AZ" "85320" -113.1725207 33.9429753
"Salazar-Ajo Branch Library" "33 Plaza Street" "Ajo" "AZ" "85321" -112.8617265 32.3729404
"Alpine Public Library" "17 County Road 2061" "Alpine" "AZ" "85920" -109.1408559 33.8479543
"Maricopa County Library - North Valley Regional" "40410 North Gavilan Peak Parkway" "Anthem" "AZ" "85086" -112.1398082 33.8528855
"Apache Junction Public Library" "1177 N. Idaho Rd." "Apache Junction" "AZ" "85219" -111.5459169 33.4253008
"Caviglia-Arivaca Branch Library" "17050 W Arivaca Road" "Arivaca" "AZ" "85601" -111.3288666 31.5756657
"Arizona City Community Library" "13254 S. Sunland Gin Rd." "Arizona City" "AZ" "85193" -111.6716273 32.7599864
"Ash Fork Public Library" "518 Lewis Ave" "Ash Fork" "AZ" "86320" -112.4872798 35.2248341
"Avondale Civic Center Library" "11350 Civic Center Drive" "Avondale" "AZ" "85323" -112.3027605 33.4450274
"Avondale Old Town Library" "328 West Western Avenue" "Avondale" "AZ" "85323" -112.3535272 33.4358226
"Sam Garcia Western Avenue Library" "495 E. Western Ave" "Avondale" "AZ" "85323" -112.3449089 33.4351404
"Bagdad Public Library" "100 Main Street" "Bagdad" "AZ" "14070" -113.1790852 34.5728371
"Beaver Dam-Littlefield Library" "3436 E Rio Virgin Rd" "Beaver Dam" "AZ" "86432" -113.9289091 36.9056802
"Benson Public Library" "300 S. Huachuca" "Benson" "AZ" "85602" -110.2969773 31.9658804
"Cochise County Library District" "100 Clawson Street" "Bisbee" "AZ" "85603" -109.8776764 31.4108303
"Copper Queen Library" "6 Main Street" "Bisbee" "AZ" "85603" -109.9153335 31.4416277
"Black Canyon City Community Library" "34701 S Old Black Canyon Hwy" "Black Canyon City" "AZ" "85324" -112.146961 34.062941
"Jimmie Libhart Library" "201 North Central" "Bowie" "AZ" "85605" -109.487103 32.327334
"Buckeye Public Library" "310 North 6th Street" "Buckeye" "AZ" "85326" -112.583186 33.3728253
"Mohave County Library At Bullhead City Library" "1170 East Hancock Road" "Bullhead City" "AZ" "86442" -114.6078132 35.1073522
"Camp Verde Community Library" "130 Black Bridge Loop Rd." "Camp Verde" "AZ" "86322" -111.8548081 34.570983
"Casa Grande Public Library" "449 N. Dry Lake" "Casa Grande" "AZ" "85222" -111.7573521 32.8795022
"Dewhirst-Catalina Branch Library" "15631 N. Oracle Rd." "Catalina" "AZ" "85739" -110.9244251 32.4899066
"Desert Broom Library" "29710 N. Cave Creek Rd." "Cave Creek" "AZ" "85331" -111.9923212 33.7544253
"Desert Foothills Library" "38443 N. Schoolhouse Road" "Cave Creek" "AZ" "85331" -111.9427964 33.8349494
"Chandler Public Library" "22 South Delaware" "Chandler" "AZ" "85225" -111.8381678 33.3034292
"Hamilton Branch Library" "3700 South Arizona Avenue" "Chandler" "AZ" "85248" -111.8430871 33.2520276
"Sunset Branch Library" "4930 West Ray Road" "Chandler" "AZ" "85226" -111.9251373 33.3214556
"Chino Valley Public Library" "1020 W. Palomino Road" "Chino Valley" "AZ" "86323" -112.4657624 34.7738504
"Craig Community Library" "4901 Pay Roll Avenue" "Chloride" "AZ" "86431" -114.199267 35.4126294
"Cibecue Community Library" "6 West 3rd St." "Cibecue" "AZ" "85911" -110.4853908 34.0447693
"Clark Memorial" "39 North Ninth Street" "Clarkdale" "AZ" "86324" -112.0575298 34.7719262
"Clay Springs Public Library" "2106 Granite Rd." "Clay Springs" "AZ" "85923" -110.2991514 34.3636645
"Clifton Public Library" "505 School Street" "Clifton" "AZ" "85533" -109.2894356 33.045974
"Concho Public Library" "18 County Road 5051" "Concho" "AZ" "85924" -109.6369746 34.4381297
"Congress Public Library" "26750 S Sante Fe Rd" "Congress" "AZ" "85332" -112.847308 34.161324
"Coolidge Public Library" "160 W. Central Avenue" "Coolidge" "AZ" "85228" -111.5173181 32.9780101
"Cottonwood Public Library" "100 S. 6th St." "Cottonwood" "AZ" "86326" -112.0232081 34.737524
"Crown King Public Library" "23550 South Towers Mountain Road" "Crown King" "AZ" "86343" -112.3528973 34.2213504
"Douglas Public Library" "560 10th Street" "Douglas" "AZ" "85607" -109.55325 31.3447158
"Duncan Public Library" "122 N. Hwy. 75" "Duncan" "AZ" "85534" -109.176664 32.8303069
"Round Valley Public Library" "179 South Main Street" "Eagar" "AZ" "85925" -109.291585 34.1078959
"Maricopa County Library - El Mirage" "14011 N. 1st Avenue" "El Mirage" "AZ" "85335" -112.3257053 33.6111118
"Eloy Public Library" "100 East 7th Street" "Eloy" "AZ" "85231" -111.5542395 32.7564749
"East Flagstaff Community Library" "3000 N Fourth St" "Flagstaff" "AZ" "86004" -111.612983 35.217716
"Flagstaff City-Coconino County Public Library" "300 West Aspen" "Flagstaff" "AZ" "86001" -111.6524392 35.2001356
"Florence Community Library" "1000 S. Willow Street" "Florence" "AZ" "85232" -111.3895973 33.0240405
"Pinal County Library District" "92 W. Butte Ave." "Florence" "AZ" "85232" -111.3883306 33.031367
"Forest Lakes Community Library" "417 Old Rim Rd" "Forest Lakes" "AZ" "85931" -110.8053873 34.3362034
"Maricopa County Library - Fountain Hills" "12901 N La Montana Dr" "Fountain Hills" "AZ" "85268" -111.7217526 33.6030724
"Fredonia Public Library" "118 North Main Street" "Fredonia" "AZ" "86022" -112.7544184 36.9026845
"Kaibab Paiute Tribal Library" "1 North Pipe Springs Road" "Fredonia" "AZ" "86022" -112.7383601 36.8738782
