"Library Name" "Address" "City" "State" "ZIP Code" "Latitude" "Longitude"
"Adelanto Branch Library" "11497 Bartlett" "Adelanto" "CA" "92301" -117.4144837 34.5783596
"Agoura Hills Library" "29901 Ladyface Court" "Agoura Hills" "CA" "91301" -118.7756832 34.1445798
"Alameda Free Library" "2200 A Central Ave." "Alameda" "CA" "94501" -122.2458726 37.7649642
"Alameda Free Library" "1550 Oak St" "Alameda" "CA" "94501" -122.2422766 37.7667491
"Bay Farm Island Branch" "3221 Mecartney Rd." "Alameda" "CA" "94502" -122.241547 37.736958
"West End Branch" "788 Santa Clara Ave." "Alameda" "CA" "94501" -122.2730099 37.7730631
"Albany Library" "1247 Marin Avenue" "Albany" "CA" "94706" -122.2931821 37.8876469
"Alhambra Public Library" "101 S. First St." "Alhambra" "CA" "91801" -118.1275713 34.0931389
"Aliso Viejo Branch Library" "1 Journey" "Aliso Viejo" "CA" "92656" -117.7268352 33.5700687
"Alleghany Station Library" "123 Main Street" "Alleghany" "CA" "95910" -120.8434883 39.4693436
"Alpaugh Branch Library" "3816 Ave. 54" "Alpaugh" "CA" "93201" -119.4868783 35.8878281
"Alpine Library" "2130 Arnold Way" "Alpine" "CA" "91901" -116.768278 32.8355042
"Altadena Library District" "600 E. Mariposa St." "Altadena" "CA" "91001" -118.1372135 34.1891916
"Bob Lucas Memorial Library And Literacy Center" "2159 N. Lincoln" "Altadena" "CA" "91001" -118.1597385 34.1826353
"Modoc County Library" "212 W. 3rd St." "Alturas" "CA" "96101" -120.5442747 41.4862992
"Alviso Library" "5050 North First St." "Alviso" "CA" "95134" -121.9690362 37.4246214
"Amador City Branch" "14203 Highway 49" "Amador City" "CA" "" -120.8528256 38.4329965
"American Canyon" "300 Crawford Way" "American Canyon" "CA" "94503" -122.2557832 38.1686237
"Anaheim Public Library" "500 W. Broadway" "Anaheim" "CA" "92805" -117.9192692 33.8315112
"Canyon Hills Library" "400 Scout Trail" "Anaheim" "CA" "92807" -117.7853407 33.8451419
"East Anaheim Branch Library" "8201 E. Santa Ana Canyon Rd." "Anaheim" "CA" "92808" -117.7463798 33.8687745
"Euclid Library" "1340 S. Euclid" "Anaheim" "CA" "92802" -117.9410197 33.8143287
"Haskett Library" "2650 W. Broadway" "Anaheim" "CA" "92804" -117.9784995 33.8281209
"Sunkist Library" "901 S. Sunkist" "Anaheim" "CA" "92806" -117.880963 33.8281128
"Anderson Library" "3200 West Center St." "Anderson" "CA" "96007" -122.3039021 40.4514373
"Angels Camp Branch" "426 N. Main Street" "Angels Camp" "CA" "95222" -120.5664764 38.0861282
"North Highlands-Antelope Library" "4235 Antelope Road" "Antelope" "CA" "95843" -121.3648542 38.7046752
"Antioch Library" "501 W. 18th St." "Antioch" "CA" "94509" -121.8126178 38.0047261
"Anza Library" "57430 Mitchell Rd" "Anza" "CA" "92539" -116.6598153 33.5698329
"Apple Valley Branch Library" "15001 Wakita Rd" "Apple Valley" "CA" "92307" -117.212918 34.5237866
"Applegate Library" "18018 Applegate Road" "Applegate" "CA" "95703" -120.9902242 39.0009587
"Aptos Branch Library" "7695 Soquel Dr." "Aptos" "CA" "95003" -121.9088211 36.980994
"Arbuckle Branch" "610 King St." "Arbuckle" "CA" "95912" -122.0605096 39.0142593
"Arcadia Public Library" "20 W. Duarte Road" "Arcadia" "CA" "91006" -118.031958 34.1285163
"Live Oak Library" "4153-55 East Live Oak Ave." "Arcadia" "CA" "91006" -118.028365 34.108055
"Humboldt County Library - Arcata" "500 7th Street" "Arcata" "CA" "95521" -124.0828762 40.8665033
"Armona Community Library" "11115 C Street" "Armona" "CA" "93202" -119.7066941 36.311899
"Arnold Branch" "1065 Blagen Road" "Arnold" "CA" "95223" -120.3474269 38.2579251
"Aromas Branch Library" "389-D Blohm Avenue" "Aromas" "CA" "95004" -121.6434364 36.8885608
"South County Library" "800 W. Branch St." "Arroyo Grande" "CA" "93420" -120.5897351 35.1245368
"Artesia Library" "18722 S. Clarkdale Ave." "Artesia" "CA" "90701" -118.0788484 33.8603966
"Kern County Library - Arvin" "201 Campus Drive" "Arvin" "CA" "93203" -118.8336871 35.2103862
"Atascadero Library" "6850 Morro Rd." "Atascadero" "CA" "93422" -120.6666204 35.4821102
"Atherton Library" "2 Dinkelspiel Station Lane" "Atherton" "CA" "94027" -122.196973 37.4632859
"Atwater Branch Library" "1600 Third St." "Atwater" "CA" "95301" -120.6066379 37.3507257
"Auberry Branch Library" "33049 Auberry Road" "Auberry" "CA" "93602" -119.487845 37.0747069
"Auburn Library" "350 Nevada St." "Auburn" "CA" "95603" -121.0807375 38.9051678
"Avalon Library" "215 Sumner Ave." "Avalon" "CA" "90704" -118.327168 33.34311
"Kings County Library - Avenal" "501 E. Kings St." "Avenal" "CA" "93204" -120.1307642 36.0028729
"Azusa City Library" "729 N. Dalton Ave." "Azusa" "CA" "91702" -117.9053753 34.1348288
"Beale Memorial Library" "701 Truxtun Avenue" "Bakersfield" "CA" "93301" -119.0100491 35.3727752
"Kern County Library - Baker" "1400 Baker Street" "Bakersfield" "CA" "93305" -118.9909019 35.3834614
"Kern County Library - Bryce C. Rathbun" "200 West China Grade Loop" "Bakersfield" "CA" "93308" -119.0241173 35.4273617
"Kern County Library - Eleanor Wilson" "1901 Wilson Road" "Bakersfield" "CA" "93304" -119.0238012 35.331867
"Kern County Library - Holloway-Gonzales" "506 East Brundage Lane" "Bakersfield" "CA" "93307" -118.9984013 35.3542255
"Kern County Library - Northeast" "3725 Columbus Street" "Bakersfield" "CA" "93306" -118.9513808 35.3986204
"Kern County Library - Southwest" "8301 Ming Avenue" "Bakersfield" "CA" "93311" -119.0955185 35.3393257
"Olive Drive Fire Research Center" "5642 Victor Street" "Bakersfield" "CA" "93308" -119.0615728 35.4106697
"Baldwin Park Library" "4181 Baldwin Park Blvd." "Baldwin Park" "CA" "91706" -117.9652594 34.0880023
"Banning Library District" "21 W. Nicolet St." "Banning" "CA" "92220" -116.8770223 33.9289362
"Barstow Branch Library" "304 E. Buena Vista" "Barstow" "CA" "92311" -117.0258922 34.8953414
"Bay Point" "205 Pacifica Ave." "Bay Point" "CA" "94565" -121.967148 38.0336258
"Bear Valley Library Station" "367 Creekside Dr." "Bear Valley" "CA" "" -120.0389445 38.465895
"Beaumont Library District" "125 E. Eighth St." "Beaumont" "CA" "92223" -116.9810652 33.9320854
"Bell Library" "4411 East Gage Ave." "Bell" "CA" "90201" -118.1886333 33.9782153
"Bell Gardens Library" "7110 S. Garfield Ave." "Bell Gardens" "CA" "90201" -118.1505251 33.9666812
"Clifton M. Brakensiek Library" "9945 E. Flower St." "Bellflower" "CA" "90706" -118.1214202 33.8824441
"Belmont Library" "1110 Alameda De Las Pulgas" "Belmont" "CA" "94002" -122.2929659 37.5087127
"Benicia Public Library" "150 East L St." "Benicia" "CA" "94510" -122.1545458 38.0534168
"Benton Library" "25553 Highway 6" "Benton" "CA" "72015" -118.4763385 37.8165181
"Berkeley Public Library" "2090 Kittredge St." "Berkeley" "CA" "94704" -122.2686679 37.8679631
"Claremont Branch Library" "2940 Benvenue Ave." "Berkeley" "CA" "94705" -122.2543607 37.8566036
"North Branch Library" "1170 The Alameda" "Berkeley" "CA" "94707" -122.2753781 37.8858474
"South Branch Library" "1901 Russell St." "Berkeley" "CA" "94703" -122.2709732 37.8564358
"West Branch Library" "1125 University Ave." "Berkeley" "CA" "94702" -122.290914 37.869562
"Beverly Hills Public Library" "444 N. Rexford Dr." "Beverly Hills" "CA" "90210" -118.3993382 34.0731812
"Roxbury Park Senior Adult Library" "401 S. Roxbury Dr." "Beverly Hills" "CA" "90212" -118.4056621 34.0596648
"Big Bear Lake Branch Library" "41930 Garstin Dr." "Big Bear Lake" "CA" "92315" -116.8872189 34.2464388
"Big Creek Station" "51190 Point Road" "Big Creek" "CA" "93605" -119.2471148 37.2047926
"Big Pine Branch Library" "110 North Main" "Big Pine" "CA" "93513" -118.2895207 37.1666191
"Biggs Branch" "464a B St." "Biggs" "CA" "95917" -121.7102017 39.4133634
"Bishop Branch Library" "210 Academy Ave." "Bishop" "CA" "93514" -118.3964021 37.3629467
"Bloomington Branch Library" "10145 Orchard St." "Bloomington" "CA" "92316" -117.3985921 34.0693105
"Lake Arrowhead Branch Library" "27235 Highway 189" "Blue Jay" "CA" "" -117.209192 34.246404
"Humboldt County Library - Blue Lake Library" "111 Greenwood Ave." "Blue Lake" "CA" "95525" -123.9920675 40.8825324
"Palo Verde Valley Library District" "125 West Riverside Drive" "Blythe" "CA" "92225" -114.5976503 33.6177869
"Bonita-Sunnyside Library" "5047 Central Ave." "Bonita" "CA" "91902" -117.0216385 32.6690757
"Kern County Library - Boron" "26967 Twenty Mule Team Road" "Boron" "CA" "93516" -117.6504183 34.999667
"Borrego Springs Library" "500 Palm Canyon Rd" "Borrego Springs" "CA" "92004" -116.3788717 33.256556
"Boulder Creek Branch Library" "13390 W. Park Ave." "Boulder Creek" "CA" "95006" -122.1238339 37.1275224
"Brawley Public Library" "400 Main St." "Brawley" "CA" "92227" -115.5348127 32.9784255
"Brea Branch Library" "1 Civic Center Cir." "Brea" "CA" "" -117.8888547 33.9170744
"Brentwood Library" "751 Third St." "Brentwood" "CA" "94513" -121.6925807 37.9338485
"Bridgeport Library" "94 N. School St." "Bridgeport" "CA" "06605" -119.2286821 38.254819
"Brisbane Library" "250 Visitacion Ave." "Brisbane" "CA" "94005" -122.4037719 37.6828146
"Buellton Branch Library" "140 W. Hwy 246" "Buellton" "CA" "93427" -120.1962412 34.6140812
"Buena Park Library District" "7150 La Palma Ave." "Buena Park" "CA" "90620" -118.0084448 33.8460883
"Buena Vista Branch" "300 N. Buena Vista Street" "Burbank" "CA" "91505" -118.3303637 34.1641363
"Burbank Public Library" "110 N. Glenoaks Blvd." "Burbank" "CA" "91502" -118.30641 34.183866
"Northwest Branch" "3323 W. Victory Blvd." "Burbank" "CA" "91505" -118.3474949 34.1850999
"Burlingame Public Library" "480 Primrose Rd." "Burlingame" "CA" "94010" -122.3492204 37.5792568
"Easton Branch" "1800 Easton Drive" "Burlingame" "CA" "94010" -122.3715906 37.5839342
"Burney Library" "37038 Siskiyou Street" "Burney" "CA" "96013" -121.66983 40.8845011
"Kern County Library - Bookmobile" "116 Buttonwillow Drive" "Buttonwillow" "CA" "93206" -119.4740241 35.400167
"Cabazon Branch Library" "50171 Ramona" "Cabazon" "CA" "92230" -116.7861931 33.9173321
"Calabasas City Library" "200 Civic Center Way" "Calabasas" "CA" "91302" -118.6466626 34.1525469
"Camarena Memorial Library Station" "1202 Kloke Rd." "Calexico" "CA" "92231" -115.515071 32.681877
"Camarena Memorial Public Library" "850 Encinas Ave." "Calexico" "CA" "92231" -115.4876792 32.6753085
"Kern County Library - California City" "9507 California City Boulevard" "California City" "CA" "93505" -117.9583813 35.1264802
"Simmler Library" "13080 Soda Lake Road" "California Valley" "CA" "93453" -119.4179324 36.778261
"Calimesa Library" "974 Calimesa Blvd" "Calimesa" "CA" "92320" -117.0617064 34.0018095
"Meyer Memorial Library" "105 South Lake Avenue" "Calipatria" "CA" "92233" -115.5174825 33.1246299
"Calistoga Public Library" "1108 Myrtle St." "Calistoga" "CA" "94515" -122.579919 38.5761144
"Camarillo Library" "3100 Ponderosa Dr." "Camarillo" "CA" "93010" -119.0285826 34.2305829
"Cambria Library" "900 Main St." "Cambria" "CA" "93428" -121.0979294 35.5658151
"Cameron Park Branch" "2500 Country Club Dr." "Cameron Park" "CA" "95682" -121.0057152 38.6599955
"Campbell Library" "77 Harrison Ave." "Campbell" "CA" "95008" -121.9432203 37.2882179
"Campo-Morena Village Library" "31466 Highway 94" "Campo" "CA" "91906" -116.4731472 32.6283446
"Canoga Park Branch" "7260 Owensmouth Ave." "Canoga Park" "CA" "91303" -118.6012469 34.2026794
