"Library Name" "Address" "City" "State" "ZIP Code" "Latitude" "Longitude"
"Aguilar Public Library" "146 W. Main Street" "Aguilar" "CO" "81020" -104.6576893 37.4009825
"Akron Public Library" "302 Main Ave" "Akron" "CO" "80720" -103.2127298 40.1613618
"Alamosa-Southern Peaks Public Library" "423 4th St" "Alamosa" "CO" "81101" -105.8624275 37.4692857
"Southern Peaks Public Library" "423 Fourth Street" "Alamosa" "CO" "" -105.8533498 37.4699534
"Arvada Library" "7525 W. 57th Avenue" "Arvada" "CO" "" -105.0804447 39.8003525
"Standley Lake Library" "8485 Kipling Street" "Arvada" "CO" "" -105.1111614 39.8504515
"Pitkin County Library" "120 N Mill Street" "Aspen" "CO" "81611" -106.8185671 39.1912098
"Northern Plains Public Library" "216 2nd Street" "Ault" "CO" "" -104.736997 40.583137
"Aurora Public Library" "14949 East Alameda Parkway" "Aurora" "CO" "80012" -104.8151612 39.7104005
"Chambers Plaza Library" "15057 Colfax Avenue" "Aurora" "CO" "" -104.8136218 39.740243
"Iliff Square Library" "2245 South Peoria Street" "Aurora" "CO" "" -104.8471586 39.6759587
"Martin Luther King Jr. Branch Library" "9901 East 16th Avenue" "Aurora" "CO" "" -104.8728579 39.7420593
"Moorhead Branch" "2390 Havana Street" "Aurora" "CO" "" -104.865466 39.752002
"South Branch Library" "15324 East Hampden Circle" "Aurora" "CO" "" -104.8092771 39.6505925
"Avon Branch Library" "0200 Benchmark Rd" "Avon" "CO" "" -106.5268362 39.6348902
"Park County Public Library" "350 Bulldogger Road" "Bailey" "CO" "" -105.4526999 39.440783
"Basalt Regional Library District" "14 Midland Avenue" "Basalt" "CO" "81621" -107.0378357 39.366557
"Pine River Public Library District-Bayfield" "395 Center Drive" "Bayfield" "CO" "81122" -107.5962014 37.2342218
"Bennett Branch Library" "495 7th Street" "Bennett" "CO" "" -104.4258142 39.7592387
"Berthoud Community Library District" "236 Welch Ave" "Berthoud" "CO" "80513" -105.0770366 40.3044625
"Gilpin County Library District" "15131 Highway 119" "Black Hawk" "CO" "80422" -105.465374 39.8717375
"Boulder Public Library" "1001 Arapahoe Avenue" "Boulder" "CO" "80302" -105.281769 40.013952
"Carnegie Branch For Local History" "1125 Pine Street" "Boulder" "CO" "" -105.2815311 40.0200819
"George Reynolds Branch" "3595 Table Mesa Drive" "Boulder" "CO" "" -105.2526034 39.9844433
"Meadows Branch Library" "4800 Baseline Road" "Boulder" "CO" "" -105.2343462 39.9985008
"South Branch Library" "504 Airport Road" "Breckenridge" "CO" "" -106.0480663 39.4918497
"Brighton Branch Library" "575 South 8th Avenue" "Brighton" "CO" "" -104.8131159 39.978206
"Broomfield-Eisenhower Public Library" "3 Community Park Road" "Broomfield" "CO" "80020" -105.0689285 39.9176433
"East Morgan County Library District-Brush" "500 Clayton Street" "Brush" "CO" "80723" -103.6231866 40.2584001
"Northern Chaffee County Lib Dist-Buena Vista" "131 Linderman Avenue" "Buena Vista" "CO" "81211" -106.1333303 38.8413044
"Burlington Public Library" "321 14th Street" "Burlington" "CO" "80807" -102.2684104 39.3037375
"Kelver Library" "404 East Front Street" "Byers" "CO" "" -104.2182688 39.7083071
"Canon City Public Library" "516 Macon Ave" "Canon City" "CO" "81212" -105.240614 38.4413277
"Garfield County Library - Gordon Cooper" "76 South 4th Street" "Carbondale" "CO" "" -107.211136 39.400171
"Ute Pass Branch" "8010 Severy" "Cascade" "CO" "" -104.969833 38.896887
"Douglas County Libraries" "100 South Wilcox" "Castle Rock" "CO" "80104" -104.8590461 39.3681268
"Cedaredge Public Library" "140 North East Second Street" "Cedaredge" "CO" "" -107.9251834 38.9015595
"Castlewood Library" "6739 South Uinta Street" "Centennial" "CO" "" -104.8940031 39.5946643
"Koelbel Library" "5955 South Holly Street" "Centennial" "CO" "" -104.9236206 39.6089333
"Smoky Hill Public Library" "5430 South Biscay Circle" "Centennial" "CO" "" -104.7675316 39.6180927
"Southglenn Library" "7500 South University Blvd, 101" "Centennial" "CO" "" -104.9590255 39.5801327
"Center Public Library" "400 South Worth" "Center" "CO" "" -106.1083406 37.7523571
"East Cheyenne County Library District" "151 S. 1st West" "Cheyenne Wells" "CO" "80810" -102.3506354 38.8204071
"Clifton Branch" "3225 I-70 Business Loop, A-1" "Clifton" "CO" "" -108.4529385 39.09009
"Collbran Branch Library" "111 Main Street" "Collbran" "CO" "" -107.96126 39.23959
"Cheyenne Mountain Branch" "1785 South 8th Street, Suite 100" "Colorado Springs" "CO" "" -104.8398258 38.8046928
"East Library" "5550 North Union Boulevard" "Colorado Springs" "CO" "" -104.7782358 38.9126388
"Old Colorado City Branch Library" "2418 West Pikes Peak Avenue" "Colorado Springs" "CO" "" -104.8610255 38.8476303
"Penrose Public Library" "20 North Cascade Avenue" "Colorado Springs" "CO" "" -104.8260561 38.8353301
"Rockrimmon Branch" "832 Village Center Drive" "Colorado Springs" "CO" "" -104.844503 38.923059
"Ruth Holly Branch" "685 North Murray Boulevard" "Colorado Springs" "CO" "" -104.7459808 38.8429409
"Sand Creek Branch" "1821 South Academy Boulevard" "Colorado Springs" "CO" "" -104.7555756 38.8063741
"Commerce City Branch Library" "7185 Monaco" "Commerce City" "CO" "" -104.9131363 39.8267617
"Conifer Library" "10441 Highway 73" "Conifer" "CO" "" -105.3087779 39.5296697
"Cortez Public Library" "202 N. Park" "Cortez" "CO" "81321" -108.5741773 37.3515713
"Cotopaxi School-Community Library" "0345 County Road 12" "Cotopaxi" "CO" "81223" -105.6896509 38.378295
"Moffat County Library" "570 Green Street" "Craig" "CO" "81625" -107.5557529 40.51503
"Crawford Community Library" "425 Highway 92" "Crawford" "CO" "" -107.6103872 38.7037433
"Mineral County School-Regional Public Library" "380 La Garita Ave" "Creede" "CO" "81130" -106.9254785 37.8523648
"Crested Butte Branch Library" "728 Elk Avenue" "Crested Butte" "CO" "" -106.9780777 38.8697372
"Franklin Ferguson Memorial Library" "410 B Street" "Cripple Creek" "CO" "" -105.1841043 38.7436196
"Dacono Public Library" "512 Cherry Street" "Dacono" "CO" "80514" -104.9365845 40.0852521
