"Library Name" "Address" "City" "State" "ZIP Code" "Latitude" "Longitude"
"Abington Social Library" "536 Hampton Rd." "Abington" "CT" "06230" -72.007712 41.858412
"Andover Public Library" "355 Route 6" "Andover" "CT" "06232" -72.37036 41.7373211
"Ansonia Public Library" "53 South Cliff St." "Ansonia" "CT" "06401" -73.076683 41.345165
"Babcock Library" "25 Pompey Hollow Rd." "Ashford" "CT" "06278" -72.1623292 41.8629212
"Avon Free Public Library" "281 Country Club Rd." "Avon" "CT" "06001" -72.8604661 41.7897201
"Sprague Public Library" "76 Main St." "Baltic" "CT" "06330" -72.0836048 41.6162498
"Beacon Falls Public Library" "10 Maple Ave." "Beacon Falls" "CT" "06403" -73.0601989 41.4455537
"Berlin Free Library Association" "834 Worthington Ridge" "Berlin" "CT" "06037" -72.746312 41.620654
"Berlin-Peck Memorial Library" "234 Kensington Road" "Berlin" "CT" "06037" -72.7744685 41.6273784
"East Berlin Library Association" "80 Main St." "Berlin" "CT" "06023" -72.776463 41.630466
"Clark Memorial Library" "538 Amity Rd." "Bethany" "CT" "06524" -72.9944509 41.4269289
"Bethel Public Library" "189 Greenwood Ave." "Bethel" "CT" "06801" -73.4137874 41.3714648
"Bethlehem Public Library" "32 Main St. South" "Bethlehem" "CT" "06751" -73.2087451 41.6374367
"Prosser Public Library" "1 Tunxis Ave." "Bloomfield" "CT" "06003" -72.737963 41.8313191
"Wintonbury Branch Library" "1015 Blue Hills Ave." "Bloomfield" "CT" "" -72.6961728 41.8193867
"Bentley Memorial Library" "206 Bolton Center Road" "Bolton" "CT" "06043" -72.4346871 41.7705214
"James Blackstone Memorial Library" "758 Main St." "Branford" "CT" "06405" -72.8147575 41.280253
"Black Rock Branch Library" "2705 Fairfield Avenue" "Bridgeport" "CT" "" -73.2248839 41.1586843
"Bridgeport Public Library" "925 Broad St." "Bridgeport" "CT" "06604" -73.1903267 41.1758796
"Burroughs Saden Branch Library" "925 Broad Street" "Bridgeport" "CT" "" -73.1903267 41.1758796
"Newfield Branch Library" "1230 Stratford Ave." "Bridgeport" "CT" "" -73.1660466 41.1782411
"North Branch Library" "3455 Madison Ave." "Bridgeport" "CT" "" -73.2277529 41.220117
"Old Mill Green Branch Library" "1677-1681 East Main Street" "Bridgeport" "CT" "" -73.1803154 41.1978328
"Burnham Public Library" "62 Main Street South" "Bridgewater" "CT" "06752" -73.3653511 41.5320008
"Bristol Public Library" "5 High St." "Bristol" "CT" "60107" -72.9421283 41.6738287
"F. N. Manross Memorial Library" "260 Central St." "Bristol" "CT" "" -72.8979248 41.6761383
"Broad Brook Library" "78 Main St." "Broad Brook" "CT" "06016" -72.546467 41.919324
"Brookfield Library" "182 Whisconier Road" "Brookfield" "CT" "06804" -73.3899515 41.4697351
"Brooklyn Town Library Association" "10 Canterbury Rd." "Brooklyn" "CT" "06234" -71.94953 41.7873836
"Burlington Public Library" "34 Library Lane" "Burlington" "CT" "06013" -72.9670401 41.7715169
"Canterbury Public Library" "1 Municipal Drive" "Canterbury" "CT" "06331" -71.9939268 41.6975399
"Canton Public Library" "40 Dyer Ave" "Canton" "CT" "06019" -72.9212399 41.8219253
"Chaplin Public Library" "130 Chaplin St." "Chaplin" "CT" "06235" -72.1266874 41.7993716
"Cheshire Public Library" "104 Main St." "Cheshire" "CT" "06410" -72.901993 41.5019304
"Chester Public Library" "21 West Main St." "Chester" "CT" "06412" -72.4532846 41.4016767
"Henry Carter Hull Library" "10 Killingworth Turnpike" "Clinton" "CT" "06413" -72.530637 41.2910405
"Cragin Memorial Library" "8 Linwood Ave." "Colchester" "CT" "" -72.3333411 41.574584
"Saxton B. Little Free Library" "319 Route 87" "Columbia" "CT" "06237" -72.3032031 41.7039606
"Cornwall Library Association" "30 Pine St." "Cornwall" "CT" "06753" -73.3297873 41.8428048
"Booth Dimock Memorial Library" "1134 Main St." "Coventry" "CT" "06238" -72.2975953 41.767778
"Cromwell Belden Public Library" "39 West St." "Cromwell" "CT" "06416" -72.6523278 41.5980366
"Danbury Public Library" "170 Main St." "Danbury" "CT" "06810" -73.4511301 41.3932927
"Long Ridge Library" "191 Long Ridge Rd." "Danbury" "CT" "06810" -73.442876 41.334217
"Killingly Public Library" "25 Westcott Rd." "Danielson" "CT" "06239" -71.8778775 41.8088406
"Darien Library" "35 Leroy Ave." "Darien" "CT" "06820" -73.475302 41.074423
"Deep River Public Library" "150 Main St." "Deep River" "CT" "06417" -72.4363731 41.3867037
"Derby Neck Library" "307 Hawthorne Avenue" "Derby" "CT" "06418" -73.1007507 41.3308004
"Derby Public Library" "313 Elizabeth St." "Derby" "CT" "06418" -73.0888369 41.3265788
"Durham Public Library" "7 Maple Ave." "Durham" "CT" "06422" -72.6803948 41.471312
"East Granby Public Library" "24 Center Street" "East Granby" "CT" "06026" -72.7298116 41.9425379
"Rathbun Free Memorial Library" "36 Main St." "East Haddam" "CT" "06423" -72.461614 41.455753
"East Hampton Public Library" "105 Main St." "East Hampton" "CT" "06424" -72.5005977 41.5731892
"Middle Haddam Public Library" "2 Knowles Rd." "East Hampton" "CT" "06456" -72.5499148 41.5524341
"East Hartford Public Library" "840 Main St." "East Hartford" "CT" "06108" -72.643473 41.7683649
"Wickham Memorial Library" "656 Burnside Avenue" "East Hartford" "CT" "" -72.6112444 41.7794396
"Hagaman Memorial Library" "227 Main St." "East Haven" "CT" "06512" -72.797872 41.2900319
"Library Association Of Warehouse Point" "107 Main St." "East Windsor" "CT" "06088" -72.6186612 41.9280463
"May Memorial Library" "15 Prospect Street" "East Woodstock" "CT" "06244" -71.9773769 41.9846325
"Eastford Public Library" "179 Eastford Rd." "Eastford" "CT" "06242" -72.079973 41.9015343
"Easton Public Library" "691 Morehouse Rd." "Easton" "CT" "06612" -73.2978219 41.2519663
"Hall Memorial Library" "93 Main St." "Ellington" "CT" "06029" -72.472413 41.9040335
"Enfield Public Library" "104 Middle Road" "Enfield" "CT" "06082" -72.5543223 41.9850542
"Pearl Street Branch Library" "159 Pearl Street" "Enfield" "CT" "" -72.5975997 41.9914323
"Essex Library Association" "33 West Ave." "Essex" "CT" "06426" -72.3966488 41.3542039
"Fairfield Public Library" "1080 Old Post Rd." "Fairfield" "CT" "06824" -73.2554268 41.1418527
"Fairfield Woods Branch Library" "1147 Fairfield Woods Road" "Fairfield" "CT" "" -73.2494116 41.1877954
"Pequot Library Association" "720 Pequot Ave." "Fairfield" "CT" "" -73.2896527 41.1336184
