"Library Name" "Address" "City" "State" "ZIP Code" "Latitude" "Longitude"
"Wilcox County Public Library" "104 North Broad" "Abbeville" "GA" "" -83.3068997 31.9925503
"Acworth Library" "4569 Dallas Street" "Acworth" "GA" "" -84.6784411 34.0651938
"Adairsville Branch Library" "202 North Main Street" "Adairsville" "GA" "" -84.934105 34.370976
"Cook County Library" "213 East Second Street" "Adel" "GA" "" -83.422477 31.140451
"Guam Public Library System" "254 Martyr Street" "Agana" "GA" "96910" 144.7536117 13.4757267
"Wheeler County Library" "203 W. Forest Avenue" "Alamo" "GA" "" -82.7838207 32.1474231
"Central Library" "300 Pine Avenue" "Albany" "GA" "" -84.1539749 31.5781483
"Northwest Branch Library" "2215 Barnesdale Way" "Albany" "GA" "" -84.2008324 31.6090979
"Southside Branch Library" "2114 Habersham" "Albany" "GA" "" -84.1715499 31.5504492
"Tallulah Massey Branch" "2004 Stratford Drive" "Albany" "GA" "" -84.0991632 31.5712809
"Westtown Branch Library" "2124 Waddell Avenue" "Albany" "GA" "" -84.200708 31.5664845
"Alma-Bacon County Public Library" "217 North Pierce Street" "Alma" "GA" "" -82.46208 31.5424165
"Dr. Robert E. Fulton Regional At Ocee" "5090 Abbotts Bridge Rd." "Alpharetta" "GA" "" -84.2096254 34.0646054
"Northeast-Spruill Oaks Regional" "9560 Spruill Road" "Alpharetta" "GA" "" -84.2242155 34.01417
"Ambrose Public Library" "1070 Cypress Avenue" "Ambrose" "GA" "" -83.0139181 31.5957813
"Lake Blackshear Regional Library System" "307 East Lamar Street" "Americus" "GA" "31709" -84.2272286 32.071418
"Victoria Evans Memorial Library" "605 North Street" "Ashburn" "GA" "" -83.65522 31.712323
"Athens Regional Library System" "2025 Baxter Street" "Athens" "GA" "30606" -83.4035953 33.9450079
"East Athens Resource Center" "400 Mckinley Drive" "Athens" "GA" "" -83.35599 33.959985
"Lay Park Resource Center" "297 Hoyt Street" "Athens" "GA" "" -83.3757817 33.9641423
"Adams Park Branch" "2231 Campbellton Road Sw" "Atlanta" "GA" "" -84.4616745 33.7056691
"Adamsville-Collier Heights Branch" "3424 Martin Luther King Jr., Dr." "Atlanta" "GA" "" -84.5001855 33.7550563
"Auburn Avenue Research Library" "101 Auburn Avenue, Ne" "Atlanta" "GA" "" -84.3842751 33.7554722
"Bankhead Courts Branch" "1415 Maynard Road" "Atlanta" "GA" "" -84.4997812 33.7939603
"Bowen Homes Branch" "2880 Yates Drive, N.W." "Atlanta" "GA" "" -84.4827385 33.782299
"Buckhead Branch" "269 Buckhead Avenue" "Atlanta" "GA" "" -84.379144 33.837746
"Carver Homes Branch" "215 Lakewood Way, Suite 104" "Atlanta" "GA" "" -84.3967392 33.7007792
"Cleveland Ave.-Roy Yancy, Sr., Branch" "47 Cleveland Avenue, Sw" "Atlanta" "GA" "" -84.3905627 33.6815324
"College Park Branch" "3647 Main Street" "Atlanta" "GA" "" -84.44974 33.655686
"Dogwood Branch" "1838 Donald Lee Hollowell Pkwy Nw" "Atlanta" "GA" "" -84.4470367 33.7740391
"East Atlanta Branch" "400 Flat Shoals Ave. Se" "Atlanta" "GA" "" -84.3480902 33.7431206
"Georgia Hill Branch" "250 Georgia Avenue, S.E." "Atlanta" "GA" "" -84.3795471 33.7370101
"Kirkwood Branch" "11 Kirkwood Road, Se" "Atlanta" "GA" "" -84.3162086 33.7507904
"Martin Luther King Jr., Branch" "409 John Wesley Dobbs Ave" "Atlanta" "GA" "" -84.373977 33.758569
"Mechanicsville Branch" "400 Formwalt Street Sw" "Atlanta" "GA" "" -84.3950944 33.7437565
"Northside Branch" "3295 Northside Parkway Nw" "Atlanta" "GA" "" -84.4253753 33.8451277
"Peachtree Branch" "1315 Peachtree Street, N.E." "Atlanta" "GA" "" -84.3846492 33.7906557
"Perry Homes Branch" "2121 Hollywood Rd Nw" "Atlanta" "GA" "" -84.4683901 33.813602
"Ponce De Leon Branch" "980 Ponce De Leon Avenue Ne" "Atlanta" "GA" "" -84.3551243 33.7741745
"Sandy Springs Branch" "395 Mount Vernon Hwy Ne" "Atlanta" "GA" "" -84.3742842 33.9239692
"Southwest Regional" "3665 Cascade Road, S.W." "Atlanta" "GA" "" -84.5068224 33.7245501
"Stewart-Lakewood" "2893 Lakewood Avenue" "Atlanta" "GA" "" -84.4019745 33.6971678
"Thomasville Heights Branch" "1700 Thomasville Drive Se" "Atlanta" "GA" "" -84.356266 33.7037685
"Washington Park-Annie L. Mcpheeters Branch" "1116 Martin Luther King, Jr., Dr." "Atlanta" "GA" "" -84.4240721 33.7543161
"West End Branch" "525 Peeples Street, S.W." "Atlanta" "GA" "" -84.4208876 33.7403112
"Auburn Library" "7 Seventh Street" "Auburn" "GA" "" -83.824385 34.011302
"Appleby Branch" "2260 Walton Way" "Augusta" "GA" "" -82.0162183 33.4771777
"Audiovisual-Tbc" "425 Ninth St" "Augusta" "GA" "" -81.9687146 33.4736577
"East Central Georgia Regional Library System" "902 Greene Street" "Augusta" "GA" "30901" -81.969147 33.473604
"Friedman Branch" "1447 Jackson Rd" "Augusta" "GA" "" -82.0689864 33.4716036
"Headquarters Library (Main)" "902 Greene St." "Augusta" "GA" "" -81.969147 33.473604
"Maxwell Branch" "1927 Lumkin Rd." "Augusta" "GA" "" -82.0131744 33.4178274
"Wallace Branch" "1237 Laney Walker Blvd." "Augusta" "GA" "" -81.9803565 33.4662832
"Sweetwater Valley Library" "2773 Sweetwater Street" "Austell" "GA" "" -84.6331892 33.8151348
"Decatur County - Gilbert H. Gragg Library" "301 South Monroe Street" "Bainbridge" "GA" "" -84.5700336 30.9039384
"Southwest Georgia Regional Library System" "301 S. Monroe Street" "Bainbridge" "GA" "39819" -84.5700336 30.9039384
"Barnesville-Lamar County Library" "401 Thomaston Street" "Barnesville" "GA" "" -84.1570719 33.0517144
"Appling County Public Library" "300 City Hall Drive" "Baxley" "GA" "" -81.2099241 32.0857197
"Berlin Community Library" "285 Langford Street" "Berlin" "GA" "" -83.6238012 31.0690876
"Blackshear Memorial Library" "600 South Main Street" "Blackshear" "GA" "" -82.238126 31.3021896
"Marian Anderson Public Library" "424 Lee Street" "Blackshear" "GA" "" -82.2474251 31.300149
"Union County Public Library" "194 Hospital Street" "Blairsville" "GA" "" -83.961924 34.872183
"Lucy Maddox Memorial Library" "628 Columbia Road" "Blakely" "GA" "" -84.9525729 31.3713898
"Fannin County Public Library" "400 West Main Street" "Blue Ridge" "GA" "" -84.3268084 34.864311
"Bogart Branch Library" "200 S. Burson St." "Bogart" "GA" "" -83.531681 33.945783
"Boston Carnegie Library" "250 South Main Street" "Boston" "GA" "" -83.790492 30.790397
"Warren P. Sewell Memorial Library-Bowdon" "450 West Avenue" "Bowdon" "GA" "" -85.2570221 33.5441236
"Bowman Branch" "1 Prince Avenue" "Bowman" "GA" "" -83.032151 34.2052671
"Braselton Library" "65 Frances Street" "Braselton" "GA" "" -83.7636238 34.1077598
"Warren P. Sewell Memorial Library-Bremen" "315 Hamilton Avenue" "Bremen" "GA" "" -85.1478511 33.7245869
"Broxton Public Library" "105 Church Street" "Broxton" "GA" "" -82.8862569 31.6125919
"Brunswick Glynn County Regional Library" "208 Gloucester Street" "Brunswick" "GA" "" -81.4959606 31.1484145
"Three Rivers Regional Library System" "208 Gloucester St" "Brunswick" "GA" "31520" -81.4959606 31.1484145
"Marion County Library" "5th Avenue" "Buena Vista" "GA" "" -84.5158915 32.3185326
