"Library Name" "Address" "City" "State" "ZIP Code" "Latitude" "Longitude"
"Ackley Public Library" "401 State St" "Ackley" "IA" "50601" -93.05096 42.552945
"Adair Public Library" "310 Audubon" "Adair" "IA" "50002" -94.595691 41.561619
"Adel Public Library" "303 S 10th St" "Adel" "IA" "50003" -94.019372 41.6149632
"Agency Public Library" "104 E Main" "Agency" "IA" "52530" -92.3065582 40.9949052
"Akron Public Library" "350 Reed St" "Akron" "IA" "51001" -96.5575852 42.8286994
"Albert City Public Library" "215 Main St" "Albert City" "IA" "50510" -94.9490987 42.7816371
"Carnegie-Evans Public Library" "203 Benton Ave East" "Albia" "IA" "52531" -92.8055746 41.0273829
"Albion Municipal Library" "400 N Main St" "Albion" "IA" "50005" -92.9900719 42.1143509
"Dr. Grace O. Doane Alden Public Library" "1012 Water St" "Alden" "IA" "50006" -93.3745841 42.5193777
"Alexander Public Library" "409 Harriman St" "Alexander" "IA" "50420" -93.476363 42.806378
"Algona Public Library" "210 N Phillips" "Algona" "IA" "50511" -94.2264971 43.0701112
"Allerton Public Library" "103 S Central" "Allerton" "IA" "50008" -93.3650995 40.7065148
"Allison Public Library" "412 3rd St" "Allison" "IA" "50602" -92.7942022 42.7530162
"Alta Community Library" "1009 Main St" "Alta" "IA" "51002" -95.3040361 42.6645924
"Alta Vista Public Library" "203 S White Ave" "Alta Vista" "IA" "50603" -92.4169007 43.1964159
"Alton Public Library" "605 10th St" "Alton" "IA" "51003" -96.0142898 42.9883915
"Altoona Public Library" "700 Eighth St Sw" "Altoona" "IA" "50009" -93.4726468 41.6434301
"Ames Public Library" "515 Douglas Ave" "Ames" "IA" "50010" -93.61254 42.026462
"Anamosa Public Library" "600 E First St" "Anamosa" "IA" "52205" -91.279054 42.10713
"Anita Public Library" "812 3rd St" "Anita" "IA" "50020" -94.7677081 41.4449099
"Central Iowa Library Service Area" "1210 Nw Prairie Ridge Drive" "Ankeny" "IA" "50023" -93.6135001 41.7387472
"Anthon Public Library" "303 E Main" "Anthon" "IA" "51004" -95.8651376 42.3883079
"Hamann Memorial Library" "311 E Main" "Anthon" "IA" "51004" -95.8650295 42.3883079
"Aplington Legion Memorial Library" "929 Parriott St" "Aplington" "IA" "50604" -92.8835374 42.5839514
"Archer Public Library" "203 Sanford St" "Archer" "IA" "51231" -95.7422245 43.1147615
"Arlington Public Library" "711 Main St" "Arlington" "IA" "50606" -91.6715977 42.7492496
"Armstrong Public Library" "308 6th St" "Armstrong" "IA" "50514" -94.4802428 43.3962364
"Arnolds Park Public Library" "156 N Hwy 71" "Arnolds Park" "IA" "51331" -95.1259884 43.3699261
"Arthur Public Library" "224 S Main St" "Arthur" "IA" "51431" -95.3474496 42.3354958
"Ashton Public Library" "3029 3rd St" "Ashton" "IA" "51232" -95.7923957 43.3115277
"Atkins Public Library" "84 Main Ave" "Atkins" "IA" "52206" -91.8620012 41.9967052
"Atlantic Public Library" "507 Poplar St" "Atlantic" "IA" "50022" -95.0144409 41.4059379
"Auburn Public Library" "209 Pine St" "Auburn" "IA" "51433" -94.8777124 42.2505559
"Audubon Public Library" "401 N Park Place" "Audubon" "IA" "50025" -94.9317809 41.7216583
"Aurelia Public Library" "232 Main St" "Aurelia" "IA" "51005" -95.436209 42.7132859
"Aurora Public Library" "401 Woodruff St" "Aurora" "IA" "50607" -91.7293426 42.6188301
"Avoca Public Library" "213 N Elm St" "Avoca" "IA" "51521" -95.339048 41.478429
"Badger Public Library" "211 1st Ave Se" "Badger" "IA" "51516" -94.1450474 42.6148317
"Bagley Public Library" "117 Main" "Bagley" "IA" "50026" -94.4295452 41.8490063
"Bancroft Public Library" "208 E Ramsey St" "Bancroft" "IA" "50517" -94.2164653 43.2929633
"Batavia Public Library" "902 3rd St" "Batavia" "IA" "52533" -92.1673954 40.9916386
"Battle Creek Public Library" "115 Main St" "Battle Creek" "IA" "51006" -95.5990022 42.3159318
"Baxter Public Library" "202 E State St" "Baxter" "IA" "50028" -93.1488202 41.8268542
"Bayard Public Library" "315 Main St" "Bayard" "IA" "50029" -94.558047 41.8509016
"Beaman Community Memorial Library" "223 Main St" "Beaman" "IA" "50609" -92.8234554 42.2202326
"Bedford Public Library" "507 Jefferson St" "Bedford" "IA" "50833" -94.72026 40.6679469
"Belle Plaine Community Library" "904 12th St" "Belle Plaine" "IA" "52208" -92.2746766 41.8963197
"Bellevue Public Library" "106 N 3rd St Suite 1" "Bellevue" "IA" "52031" -90.4254736 42.258212
"Belmond Public Library" "440 E Main St" "Belmond" "IA" "50421" -93.6123789 42.8458932
"Bennett Public Library" "203 Main" "Bennett" "IA" "52721" -90.9739139 41.7392378
"Bettendorf Public Library Information Center" "2950 Learning Campus Drive" "Bettendorf" "IA" "52722" -90.5009777 41.5527364
