"Library Name" "Address" "City" "State" "ZIP Code" "Latitude" "Longitude"
"Aberdeen District" "76 E Central Ave" "Aberdeen" "ID" "83210" -112.8375617 42.9440881
"American Falls District" "308 Roosevelt St" "American Falls" "ID" "83211" -112.852637 42.7823838
"Lost Rivers District" "126 S Front St" "Arco" "ID" "83213" -113.2967062 43.6338755
"Fremont County District" "925 Main" "Ashton" "ID" "83420" -111.4444467 44.0713542
"Community Library Network - Athol" "330399 3rd Street" "Athol" "ID" "" -116.7067618 47.9465678
"Bellevue Public" "115 E Pine" "Bellevue" "ID" "83313" -114.2594001 43.4631615
"Blackfoot Public" "129 N Broadway" "Blackfoot" "ID" "83221" -112.3450144 43.1902959
"Snake River - Junior High School Library" "918 E Hwy 39" "Blackfoot" "ID" "" -112.4777375 43.1969738
"Snake River - Middle School Library" "1060 W 110 S" "Blackfoot" "ID" "" -112.5071944 43.1809718
"Snake River - Moreland Elementary Library" "185 N 750 W" "Blackfoot" "ID" "" -112.3330736 43.305188
"Snake River - Riverside Elementary Library" "16 S 700 W" "Blackfoot" "ID" "" -112.436045 43.1945122
"Snake River - Rockford Elementary" "1152 W Hwy 39" "Blackfoot" "ID" "" -112.525639 43.1993382
"Snake River School-Community" "924 W Hwy 39" "Blackfoot" "ID" "83221" -112.479521 43.1969891
"Ada County District" "10664 W Victory Rd" "Boise" "ID" "83709" -116.314591 43.5760194
"Boise Public" "715 S Capitol Blvd" "Boise" "ID" "83702" -116.2078633 43.6104584
"Towne Square Library" "350 N. Milwaukee" "Boise" "ID" "" -116.2781046 43.6086202
"Boundary County District" "6370 Kootenai" "Bonners Ferry" "ID" "83805" -116.310507 48.696298
"Bovill Public Library" "310 First Ave" "Bovill" "ID" "83806" -116.3965252 46.8585499
"Bruneau Valley District" "32073 Ruth St" "Bruneau" "ID" "83604" -115.799909 42.8814272
"Buhl Public" "215 Broadway N" "Buhl" "ID" "83316" -114.7616419 42.600094
"Burley Public" "1300 Miller Ave" "Burley" "ID" "83318" -113.79624 42.536429
"Caldwell Public" "1010 Dearborn St" "Caldwell" "ID" "83605" -116.6882367 43.6615049
"Cambridge District" "120 N Superior St" "Cambridge" "ID" "83610" -116.6778179 44.5707557
