"Library Name" "Address" "City" "State" "ZIP Code" "Latitude" "Longitude"
"John Mosser Public Library District" "106 West Meek Street" "Abingdon" "IL" "61410" -90.3986668 40.8023705
"Addison Public Library" "2 Friendship Plaza" "Addison" "IL" "60101" -87.9930147 41.9328094
"Albany Public Library District" "302 South Main Street" "Albany" "IL" "61230" -90.2230635 41.7883351
"Albion Public Library" "6 North Fourth Street" "Albion" "IL" "62806" -88.0562403 38.3771016
"Mercer Carnegie Public Library District" "200 North College Avenue" "Aledo" "IL" "61231" -90.7487889 41.2027267
"Alexis Branch Library" "102 West Broadway" "Alexis" "IL" "" -90.5564408 41.0626566
"Algonquin Area Public Library District" "2600 Harnish Drive" "Algonquin" "IL" "60102" -88.349798 42.162245
"Eastgate Branch" "115 Eastgate" "Algonquin" "IL" "" -88.2835264 42.1626802
"Alsip-Merrionette Park Library District" "11960 South Pulaski Road" "Alsip" "IL" "60803" -87.7201684 41.6750373
"Altamont Public Library" "121 West Washington Avenue" "Altamont" "IL" "62411" -88.749482 39.060572
"Alto Pass Branch Library" "25 N. Elm St." "Alto Pass" "IL" "" -89.3195935 37.5713701
"Alton Square Branch Library" "210 Alton Square" "Alton" "IL" "" -90.1763102 38.9256842
"Hayner Public Library District" "326 Belle Street" "Alton" "IL" "62002" -90.187769 38.8919249
"Youth Library" "401 State Street" "Alton" "IL" "" -90.1881082 38.8922967
"Ransom Memorial Public Library" "110 East Main Street" "Altona" "IL" "61414" -90.1632847 41.1144752
"Pankhurst Memorial Library" "3 South Jefferson Avenue" "Amboy" "IL" "61310" -89.327613 41.7144162
"Andalusia Township Library" "503 Second Street West" "Andalusia" "IL" "61232" -90.720431 41.439704
"Stinson Memorial Public Library District" "409 South Main Street" "Anna" "IL" "62906" -89.251804 37.458142
"Annawan-Alba Township Library" "320 West Front Street" "Annawan" "IL" "61234" -89.9089081 41.3976728
"Antioch Public Library District" "757 Main Street" "Antioch" "IL" "60002" -88.0957778 42.4823773
"Arcola Public Library District" "407 East Main Street" "Arcola" "IL" "61910" -88.3032301 39.6840132
"Argenta Public Library" "100 East Water Street" "Argenta" "IL" "62501" -88.8224651 39.9813921
"Arlington Heights Memorial Library" "500 North Dunton Avenue" "Arlington Heights" "IL" "60004" -87.9835063 42.0876093
"Arthur Public Library District" "225 South Walnut Street" "Arthur" "IL" "61911" -88.4734845 39.7157226
"Ashland Public Library" "125 W. Editor" "Ashland" "IL" "" -90.0077642 39.8886846
"Prairie Skies Public Library District" "125 West Editor Street" "Ashland" "IL" "62612" -90.0077642 39.8886846
"Ashley Public Library District" "70 North Second Street" "Ashley" "IL" "62808" -89.1886911 38.3271003
