"Library Name" "Address" "City" "State" "ZIP Code" "Latitude" "Longitude"
"Akron Carnegie Public Library" "205 East Rochester Street" "Akron" "IN" "46910" -86.0271541 41.0386754
"Noble County Public Library" "813 East Main Street" "Albion" "IN" "46701" -85.414266 41.396669
"Alexandria-Monroe Public Library" "117 East Church Street" "Alexandria" "IN" "46001" -85.673599 40.263373
"Anderson Public Library" "111 East 12th Street" "Anderson" "IN" "46016" -85.677673 40.103805
"Andrews-Dallas Township Public Library" "30 East Madison Street" "Andrews" "IN" "46702" -85.6011623 40.857705
"Carnegie Public Library Of Steuben County" "322 South Wayne Street" "Angola" "IN" "46703" -84.9997694 41.6321896
"Argos Public Library" "142 North Michigan Street" "Argos" "IN" "46501" -86.2452945 41.2375757
"Atlanta Branch" "100 South Walnut Street" "Atlanta" "IN" "" -84.4065406 33.7518401
"Attica Public Library" "305 South Perry Street" "Attica" "IN" "47918" -87.249502 40.291809
"Eckhart Public Library" "603 South Jackson Street" "Auburn" "IN" "46706" -85.057397 41.363993
"William H. Willennar Genealogy Center" "700 South Jackson Street" "Auburn" "IN" "" -85.0566755 41.3633737
"Aurora Public Library District" "414 2nd Street" "Aurora" "IN" "47001" -84.9018592 39.0571948
"Austin Branch Library" "26 Union Avenue" "Austin" "IN" "" -85.8055238 38.7446906
"East Branch Library" "1116 West Albion Street" "Avilla" "IN" "" -85.2488156 41.3657635
"Avon-Washington Township Public Library" "498 North State Road 267" "Avon" "IN" "46123" -86.4004492 39.7696408
"Batesville Memorial Public Library" "131 North Walnut Street" "Batesville" "IN" "47006" -85.2226794 39.3005044
"Bedford Public Library" "1323 K Street" "Bedford" "IN" "47421" -86.4859438 38.8636609
"Beech Grove Public Library" "1102 Main Street" "Beech Grove" "IN" "46107" -86.0946411 39.721965
"Berne Public Library" "166 North Sprunger Street" "Berne" "IN" "46711" -84.951865 40.658505
"Bicknell-Vigo Township Public Library" "201 West 2nd Street" "Bicknell" "IN" "47512" -87.3081102 38.7729315
"Bloomfield-Eastern Greene County Public Library" "125 South Franklin Street" "Bloomfield" "IN" "47424" -86.938159 39.025235
"Monroe County Public Library" "303 East Kirkwood Avenue" "Bloomington" "IN" "47408" -86.5304387 39.1670537
"Bluffton-Wells County Public Library" "200 W Washington St" "Bluffton" "IN" "" -85.1733229 40.7384419
"Wells County Public Library" "200 West Washington Street" "Bluffton" "IN" "46714" -85.1733229 40.7384419
"Boonville-Warrick County Public Library" "611 West Main Street" "Boonville" "IN" "47601" -87.281096 38.050586
"Borden Library" "117 West Main Street" "Borden" "IN" "" -85.947676 38.468312
"Boswell-Grant Township Public Library" "101 East Main Street" "Boswell" "IN" "47921" -87.38154 40.518458
"Bourbon Public Library" "307 North Main Street" "Bourbon" "IN" "46504" -86.1162958 41.2972978
"Annex Building" "203 North Walnut Street" "Brazil" "IN" "" -87.128054 39.5242162
"Brazil Public Library" "204 North Walnut Street" "Brazil" "IN" "47834" -87.1284748 39.524313
"Bremen Public Library" "304 North Jackson Street" "Bremen" "IN" "46506" -86.1473809 41.4484956
"Bristol-Washington Township Public Library" "505 West Vistula Street" "Bristol" "IN" "46507" -85.8233669 41.7202504
"Brook-Iroquois-Washington Public Library" "100 West Main Street" "Brook" "IN" "47922" -87.363814 40.865892
"Brooklyn Branch" "6 East Mill Street" "Brooklyn" "IN" "" -86.370186 39.538837
"Brookston-Prairie Township Public Library" "111 West 2nd Street" "Brookston" "IN" "47923" -86.86642 40.6036729
"Brookville Public Library" "919 Main Street" "Brookville" "IN" "" -85.01227 39.424633
