"Library Name" "Address" "City" "State" "ZIP Code" "Latitude" "Longitude"
"Abilene Public Library" "209 Nw 4th" "Abilene" "KS" "67410" -97.2149578 38.9183371
"Agra-F Lee Doctor Library" "222 Main" "Agra" "KS" "67621" -99.1189594 39.7607157
"F. Lee Doctor Public Library, Agra" "330 Main" "Agra" "KS" "" -99.1189573 39.7622855
"Lyon County Library Dist. 1" "421 Main" "Allen" "KS" "66833" -96.169942 38.6556214
"Alma Branch Library" "115 West 3rd" "Alma" "KS" "" -96.2897781 39.0128356
"Almena City Library" "415 Main" "Almena" "KS" "67622" -99.7067096 39.8936485
"Alta Vista Mini Branch" "310 Center" "Alta Vista" "KS" "" -96.4908319 38.8641224
"Altamont Public Library" "407 Huston Ave" "Altamont" "KS" "67330" -95.296931 37.1924004
"Altoona Public Library" "714 Main" "Altoona" "KS" "66710" -95.6623984 37.5231138
"Altoona Public Library" "713 Main St." "Altoona" "KS" "" -95.6623984 37.5231138
"Americus Township Library" "710 Main" "Americus" "KS" "66835" -96.262519 38.507381
"Andale District Library" "328 Main St" "Andale" "KS" "67001" -97.629731 37.791538
"Andover Public Library" "1511 E. Central" "Andover" "KS" "67002" -97.1190661 37.6933562
"Anthony Public Library" "624 E. Main St." "Anthony" "KS" "67003" -98.0232475 37.1522439
"Dixon Township Library" "120 W Walnut" "Argonia" "KS" "67004" -97.7668633 37.2657986
"Arkansas City Public Library" "120 E. 5th Avenue" "Arkansas City" "KS" "67005" -97.0381071 37.0613121
"Arlington City Library" "111 E. Main" "Arlington" "KS" "67514" -98.1754 37.8960999
"Arma City Library" "508 E. Washington Street" "Arma" "KS" "66712" -94.6990295 37.5441374
"Ashland Library" "604 Main" "Ashland" "KS" "67831" -99.7657793 37.1906485
"Atchison Library" "401 Kansas Avenue" "Atchison" "KS" "66002" -95.1180208 39.5632796
"Attica City Library" "125 North Main" "Attica" "KS" "67009" -98.2262294 37.2408561
"Atwood Public Library" "102 S. 6th St." "Atwood" "KS" "67730" -101.0396222 39.8075651
"Augusta Public Library" "1609 State St." "Augusta" "KS" "67010" -96.979637 37.69203
"Axtell Public Library" "401 Maple" "Axtell" "KS" "66403" -96.2591629 39.872545
"Baldwin City Library" "800 7th St." "Baldwin City" "KS" "66006" -95.1871281 38.7745972
"Basehor Community Library, Dist 2, Lv. Co." "1400 158th Street" "Basehor" "KS" "66007" -94.9467607 39.1224273
"Johnston Public Library" "210 W. 10th St." "Baxter Springs" "KS" "66713" -94.7366226 37.0258276
"Belle Plaine Public Library" "222 W. 5th" "Belle Plaine" "KS" "67013" -97.2820455 37.3937576
"Belleville Public Library" "1327 19th Street" "Belleville" "KS" "66935" -97.6305967 39.8226497
"Port Library" "311 W. Main" "Beloit" "KS" "67420" -98.113127 39.4590488
