"Library Name" "Address" "City" "State" "ZIP Code" "Latitude" "Longitude"
"Clinton County Public Library" "302 King Drive" "Albany" "KY" "42602" -85.1348011 36.7108012
"Boyd County Public Library" "1740 Central Avenue" "Ashland" "KY" "41101" -82.6394425 38.4753442
"Summit Branch" "1016 Summit Road" "Ashland" "KY" "" -82.6933217 38.4327172
"Auburn Branch" "344 West Main Street" "Auburn" "KY" "" -86.7120142 36.8625889
"Knox County Public Library" "206 Knox Street" "Barbourville" "KY" "40906" -83.8877643 36.8667168
"Nelson County Public Library" "201 Cathedral Manor" "Bardstown" "KY" "40004" -85.4724797 37.8080169
"Lee County Public Library" "123 Center Street" "Beattyville" "KY" "41311" -83.7097295 37.5735214
"Trimble County Public Library" "112 Highway 42 North" "Bedford" "KY" "40006" -85.31645 38.5946549
"Belfry Branch" "24371 U.S. Highway 119" "Belfry" "KY" "" -82.2690877 37.6186083
"Marshall County Public Library System" "1003 Poplar Street" "Benton" "KY" "42025" -88.3498997 36.8586417
"Berea Branch Library" "319 East Chestnut" "Berea" "KY" "" -84.2956544 37.5686336
"Blackey Public Library" "295 Main Street" "Blackey" "KY" "" -82.9802879 37.1394062
"Bloomfield Branch" "141 Fairfield Hill" "Bloomfield" "KY" "" -85.3317642 37.9129358
"Owsley County Public Library" "2 Booneville Action Pl" "Booneville" "KY" "41314" -83.6749145 37.4761991
"Depot Branch Library" "401 Kentucky Street" "Bowling Green" "KY" "" -86.4382464 37.0001758
"Sugar Maple Branch" "1347 Kentucky Highway 185" "Bowling Green" "KY" "" -86.441313 37.0093969
"The Bowling Green Public Library" "1225 State Street" "Bowling Green" "KY" "" -86.4457405 36.9897498
"Meade County Public Library" "400 Library Place" "Brandenburg" "KY" "40108" -86.1687436 38.0008029
"Bracken County Public Library" "310 West Miami Street" "Brooksville" "KY" "41004" -84.0563577 38.6792143
"Edmonson County Public Library" "280 Ferguson St." "Brownsville" "KY" "42210" -86.255861 37.191624
"Cumberland County Public Library" "114 Hill Street" "Burkesville" "KY" "42717" -85.3716434 36.7908752
"Boone County Public Library District" "1786 Burlington Pike" "Burlington" "KY" "41005" -84.6915861 39.0202261
"John L. Street Public Library" "244 Main Street" "Cadiz" "KY" "42211" -87.8226169 36.8670365
"Calvert City Branch Library" "1315 Fifth Avenue S.E." "Calvert City" "KY" "" -88.3397101 37.0237662
"Taylor County Public Library" "205 North Columbia Avenue" "Campbellsville" "KY" "42718" -85.3455161 37.3411236
"Wolfe County Public Library" "176 Kentucky Highway 15 North" "Campton" "KY" "41301" -83.5151037 37.6968353
"Nicholas County Public Library" "223 North Broadway" "Carlisle" "KY" "40311" -84.0275015 38.3127217
"Carroll County Public Library District" "136 Court Street" "Carrollton" "KY" "41008" -85.1811053 38.6815388
"Catlettsburg Branch" "2704 Louisa Street" "Catlettsburg" "KY" "" -82.598164 38.4164186
"Central City Public Library" "108 East Broad Street" "Central City" "KY" "" -87.124232 37.293308
"Hickman County Memorial Library" "209 Mayfield Road" "Clinton" "KY" "42031" -88.9928536 36.6653112
"Cloverport Branch" "101 4th Street" "Cloverport" "KY" "" -86.6345222 37.8334424
"Campbell County Public Library District" "3920 Alexandria Pike" "Cold Spring" "KY" "41076" -84.444048 39.023978
"Adair County Public Library" "307 Greensburg Street" "Columbia" "KY" "42728" -85.3074333 37.1041755
"South Branch" "727 West Cumberland Gap Parkway" "Corbin" "KY" "" -84.0748527 36.9606284
"Kenton County Public Library" "502 Scott Boulevard" "Covington" "KY" "41011" -84.5085315 39.0857549
"Oldham County Public Library" "5895 West Highway 146" "Crestwood" "KY" "40014" -85.4653072 38.3525793
"South Oldham Library" "6720 West Highway 146" "Crestwood" "KY" "" -85.4781127 38.3196308
"Rebecca Caudill Public Library" "310 West Main Street" "Cumberland" "KY" "" -82.9921407 36.9752301
"Cynthiana-Harrison County Public Library" "104 North Main Street" "Cynthiana" "KY" "41031" -84.2972626 38.3908248
"Boyle County Public Library" "307 West Broadway" "Danville" "KY" "40422" -84.7727071 37.6476384
"Dawson Springs Branch" "103 West Ramsey" "Dawson Springs" "KY" "" -87.69147 37.166098
"Webster County Public Library" "101 State Route 132 East" "Dixon" "KY" "42409" -87.7179077 37.5228739
"Olde Town Branch" "1200 Highway 490" "East Bernstadt" "KY" "" -84.1182167 37.1893343
"Lyon County Public Library" "261 Commerce Street" "Eddyville" "KY" "42038" -88.0864219 37.0915762
"Metcalfe County Public Library" "200 South Main Street" "Edmonton" "KY" "42129" -85.612201 36.9784187
"Hardin County Public Library" "100 Jim Owen Drive" "Elizabethown" "KY" "42701" -85.8853311 37.6972596
"Hardin County Public Library" "201 West Dixie Avenue" "Elizabethtown" "KY" "" -85.8594411 37.6942041
"Elkhorn City Branch Library" "150 East Main Street" "Elkhorn City" "KY" "" -82.3533641 37.3047368
"Todd County Public Library" "302 East Main Street" "Elkton" "KY" "42220" -87.1517828 36.809102
"Henry County Public Library" "172 Eminence Terrace" "Eminence" "KY" "40019" -85.1834776 38.3691023
"Erlanger Branch" "3130 Dixie Highway" "Erlanger" "KY" "" -84.5918411 39.0208098
"Pendleton County Public Library" "228 Main Street" "Falmouth" "KY" "41040" -84.3295591 38.6777485
"Flatwoods Branch" "1705 Argillite Road" "Flatwoods" "KY" "" -82.7154919 38.524191
"Fleming County Public Library" "202 Bypass Boulevard" "Flemingsburg" "KY" "41041" -83.7514398 38.4174891
"Florence Branch" "7425 U.S. 42" "Florence" "KY" "" -84.631248 38.9954009
"Philip N. Carrico Branch" "1000 Highland Avenue" "Fort Thomas" "KY" "" -84.4666018 39.0721465
"Franklin County Library District" "319 Wapping Street" "Frankfort" "KY" "40601" -84.8798689 38.1976497
"Paul Sawyier Public Library" "305 Wapping Street" "Frankfort" "KY" "" -84.8792372 38.1974041
"Goodnight Memorial Library" "203 South Main Street" "Franklin" "KY" "42134" -86.5778623 36.7206297
"Menifee County Public Library" "1585 Main Street" "Frenchburg" "KY" "40322" -83.6408775 37.9511109
"Fulton Public Library" "312 Main Street" "Fulton" "KY" "42041" -88.8740383 36.5032914
"Scott County Public Library" "104 South Bradford Lane" "Georgetown" "KY" "40324" -84.5640871 38.1913242
"Mary Wood Weldon Memorial Public Library" "107 West College Street" "Glasgow" "KY" "42141" -85.9135679 36.9933643
"Mahan-Oldham County Library" "12505 Harmony Landing Road" "Goshen" "KY" "" -85.5846114 38.4008219
"Green County Public Library" "112 West Court Street" "Greensburg" "KY" "42743" -85.5026644 37.261053
"Greenup County Public Library" "614 Main Street" "Greenup" "KY" "41144" -82.8345536 38.5763792
"Muhlenberg County Public Libraries" "117 South Main Street" "Greenville" "KY" "42345" -87.1787789 37.2005399
