"Library Name" "Address" "City" "State" "ZIP Code" "Latitude" "Longitude"
"Cow Island Branch" "19635 Columbus Street" "Abbeville" "LA" "" -92.2686644 29.8674387
"Vermilion Parish Library" "405 East Saint Victor Street" "Abbeville" "LA" "70510" -92.1315424 29.9749594
"Abita Springs Branch" "71683 Leveson Street" "Abita Springs" "LA" "" -90.0390386 30.477425
"Albany Branch" "30051 West School Street" "Albany" "LA" "" -90.5838859 30.5004134
"Fuhrer Branch" "1264 Canterberry Drive" "Alexandria" "LA" "" -92.47818 31.28486
"Martin Luther King Jr. Memorial Branch" "3311 Third Street" "Alexandria" "LA" "" -92.4245694 31.2969067
"Rapides Parish Library" "411 Washington Street" "Alexandria" "LA" "71301" -92.4441842 31.3093343
"Amelia Branch" "625 Lake Palourde Road" "Amelia" "LA" "" -91.1022554 29.6658068
"Tangipahoa Parish Library" "200 E. Mulberry Street" "Amite" "LA" "70422" -90.5068383 30.7280385
"Tangipahoa Parish Main Library" "739 West Oak Street" "Amite" "LA" "" -90.5197019 30.7265889
"Angie Branch" "30303 Railroad" "Angie" "LA" "" -89.8117366 30.9654535
"Varnado Branch" "63086 Main Street" "Angie" "LA" "" -89.8123733 30.9675077
"Bienville Parish Library" "2768 Maple Street" "Arcadia" "LA" "71001" -92.9236729 32.5481814
"Arnaudville Branch" "1021 Overton Street" "Arnaudville" "LA" "" -91.933013 30.3952112
"Atlanta Branch" "110 School Road" "Atlanta" "LA" "" -92.7337525 31.805586
"Baker Branch Library" "3501 Groom Road" "Baker" "LA" "" -91.1637119 30.5879029
"West End Branch" "100 Charenton Road" "Baldwin" "LA" "" -91.5447301 29.838358
"Basile Branch" "3036 East Stagg Avenue" "Basile" "LA" "" -92.5953536 30.4856723
"Dunbar Branch" "1102 Perry Street" "Bastrop" "LA" "" -91.9251833 32.7707836
"Morehouse Parish Library" "524 East Madison St." "Bastrop" "LA" "71220" -91.9093259 32.7772814
"Bluebonnet Regional Branch" "9200 Bluebonnet Boulevard" "Baton Rouge" "LA" "" -91.1052538 30.3653101
"Carver Branch Library" "720 Terrace Street" "Baton Rouge" "LA" "" -91.1831595 30.4362296
"Central Branch Library" "11260 Joor Road" "Baton Rouge" "LA" "" -91.0517059 30.5506304
"Delmont Gardens Branch Library" "3351 Lorraine Street" "Baton Rouge" "LA" "" -91.1569699 30.496721
"East Baton Rouge Parish Library" "7711 Goodwood Boulevard" "Baton Rouge" "LA" "70806" -91.107152 30.4438856
"Eden Park Branch" "5131 Greenwell Springs Road" "Baton Rouge" "LA" "" -91.1383246 30.4643022
"Greenwell Springs Road Regional Branch" "11300 Greenwell Springs Road" "Baton Rouge" "LA" "" -91.057497 30.4938276
"Jones Creek Regional Branch" "6222 Jones Creek Road" "Baton Rouge" "LA" "" -91.0182156 30.3963692
"River Center Branch Library" "120 St. Louis Street" "Baton Rouge" "LA" "" -91.1879103 30.4466649
"Scotlandville Branch" "7373 Scenic Highway" "Baton Rouge" "LA" "" -91.1760315 30.5153001
"Bayou Vista Branch" "1325 Belleview Drive" "Bayou Vista" "LA" "" -91.2703354 29.6964673
"Belcher-Wyche Branch" "409 Charles Street" "Belcher" "LA" "" -93.832951 32.749068
"Bell City Branch" "7085 Highway 14" "Bell City" "LA" "" -92.9625248 30.1156699
"Belle Chasse Branch" "8442 Highway 23" "Belle Chasse" "LA" "70037" -89.9874444 29.8528909
"Benton Branch" "6th Sibley Streets" "Benton" "LA" "" -93.7402353 32.6968913
"Berwick Branch" "3527 Fourth Street" "Berwick" "LA" "" -91.2201923 29.6954356
"Blanchard Branch" "344 Alexander Street" "Blanchard" "LA" "" -93.8873623 32.5842254
"Bogalusa Branch" "304 Avenue F" "Bogalusa" "LA" "" -89.8700805 30.7800882
"Bonita Branch" "15004 Henry Street" "Bonita" "LA" "" -91.6728308 32.9195676
"Bossier Parish" "2206 Beckett Street" "Bossier City" "LA" "71111" -93.7162169 32.5259003
"Henry L. Aulds Jr. Branch" "3950 Wayne Avenue" "Bossier City" "LA" "" -93.6688753 32.4818681
"Bourg Branch" "4455 Grace Street" "Bourg" "LA" "" 2.3520137 48.8639901
"Boyce Branch" "500 A Ulster" "Boyce" "LA" "" -92.6698373 31.3896951
"Breaux Bridge Branch" "102 Courthouse Street" "Breaux Bridge" "LA" "" -91.9003988 30.2743015
"Broussard Branch" "100 West Main Street" "Broussard" "LA" "" -91.9642196 30.1482434
"Bunkie Branch" "107 West Oak Street" "Bunkie" "LA" "" -92.1847591 30.9546605
"Bush Branch" "81597 Highway 41" "Bush" "LA" "" -89.8954416 30.6092221
