"Library Name" "Address" "City" "State" "ZIP Code" "Latitude" "Longitude"
"Abington Public Library" "600 Gliniewicz Way" "Abington" "MA" "02351" -70.9576436 42.1177626
"Acton Memorial Library" "486 Main St." "Acton" "MA" "01720" -71.4333826 42.4866239
"W. Acton Citizens Library" "21 Windsor Ave." "Acton" "MA" "01720" -71.4736029 42.475311
"Russell Memorial Library" "88 Main St." "Acushnet" "MA" "02743" -70.912679 41.68241
"Adams Free Library" "92 Park St." "Adams" "MA" "01220" -73.1203461 42.6238204
"Agawam Public Library" "750 Cooper Street" "Agawam" "MA" "01001" -72.6432893 42.073205
"Alford Free Public Library" "5 Alford Center Road" "Alford" "MA" "01230" -73.4142879 42.2361731
"Honan-Allston Branch" "300 North Harvard St." "Allston" "MA" "" -71.1279858 42.3601156
"Amesbury Public Library" "149 Main St." "Amesbury" "MA" "01913" -70.9328577 42.8553612
"Jones Library, Inc." "43 Amity Street" "Amherst" "MA" "01002" -72.52084 42.376317
"Munson Memorial Library" "1046 South East Street" "Amherst" "MA" "" -72.503409 42.340719
"North Amherst Library" "8 Montague Road" "Amherst" "MA" "" -72.5310168 42.4107891
"Aquinnah Public Library" "1 Church St." "Aquinnah" "MA" "02535" -70.8136728 41.3431392
"Edith M. Fox Library" "175 Massachusetts Avenue" "Arlington" "MA" "" -71.1415957 42.4056745
"Robbins Library" "700 Massachusetts Avenue" "Arlington" "MA" "02476" -71.1550859 42.4156522
"Stevens Memorial Library" "20 Memorial Drive" "Ashburnham" "MA" "01430" -71.909442 42.6378168
"Ashby Free Public Library" "812 Main Street" "Ashby" "MA" "01431" -71.819414 42.6771699
"Belding Memorial Library" "244 Main St." "Ashfield" "MA" "01330" -72.797847 42.526898
"Ashland Public Library" "66 Front St." "Ashland" "MA" "01721" -71.463236 42.260802
"Guilford H. Hathaway Library" "6 North Main Street" "Assonet" "MA" "" -71.0677732 41.7953095
"Athol Public Library" "568 Main St." "Athol" "MA" "01331" -72.2285143 42.5941277
"Attleboro Public Library" "74 North Main Street" "Attleboro" "MA" "02703" -71.2867848 41.9456738
"Auburn Free Public Library" "369 Southbridge St." "Auburn" "MA" "01501" -71.83507 42.2046394
"Auburndale Branch Library" "375 Auburn Street" "Auburndale" "MA" "" -71.2494664 42.3464586
"Avon Public Library" "280 West Main St." "Avon" "MA" "02322" -71.0415851 42.1290942
"Ayer Public Library" "26 East Main St." "Ayer" "MA" "01432" -71.5830004 42.558
"Sturgis Library" "3090 Main St." "Barnstable" "MA" "02630" -70.3071439 41.7032998
