"Library Name" "Address" "City" "State" "ZIP Code" "Latitude" "Longitude"
"Acton Public Library" "35 H Road-Route 109" "Acton" "ME" "04001" -70.9097448 43.5325283
"Mayhew Library Assn" "290 Water Street" "Addison" "ME" "04606" -67.742258 44.6229337
"Albion Public Library" "18 Main Street" "Albion" "ME" "04910" -69.4406589 44.5324276
"Parsons Memorial Library" "27 Saco Road" "Alfred" "ME" "04002" -70.7152625 43.4762509
"Allagash Public Library" "894 Allagash Road" "Allagash" "ME" "" -69.0278284 47.086618
"Faye Oleary Hafford Library" "1063 Allagash Road" "Allagash" "ME" "04774" -69.0414792 47.0828028
"Andover Public Library" "46 Church Street" "Andover" "ME" "04216" -70.7509803 44.6316854
"Milldred Stevens Williams Memorial Library" "2957 Sennebec Road" "Appleton" "ME" "04862" -69.2490904 44.2885805
"Ashland Community Library" "57 Exchange Street" "Ashland" "ME" "04732" -68.4008747 46.6308584
"Auburn Public Library" "49 Spring Street" "Auburn" "ME" "04210" -70.2292564 44.0981429
"Lithgow Public Library" "45 Winthrop Street" "Augusta" "ME" "04330" -69.7777833 44.3155899
"Woodland Public Library" "169 Main Street" "Baileyville" "ME" "04694" -67.4078268 45.1579945
"Bangor Public Library" "145 Harlow Street" "Bangor" "ME" "04401" -68.7715852 44.8044323
"Jesup Memorial Library" "34 Mount Desert Street" "Bar Harbor" "ME" "04609" -68.2066178 44.3867797
"Berry Memorial Library" "93 Main Street" "Bar Mills" "ME" "04004" -70.543089 43.612614
"Patten Free Library" "33 Summer Street" "Bath" "ME" "04530" -69.8148726 43.9157178
"Belfast Free Library" "106 High Street" "Belfast" "ME" "04915" -69.0051865 44.4252263
"Belgrade Public Library" "1 Center Drive" "Belgrade" "ME" "04917" -69.7190134 44.5470018
"Bass Harbor Memorial Library" "89 Main Street" "Bernard" "ME" "04612" -68.3281852 44.2860284
"Berwick Public Library" "103 Old Pine Hill Road North" "Berwick" "ME" "03901" -70.8600534 43.2774007
"Bethel Library Assn" "5 Broad Street" "Bethel" "ME" "04217" -70.7906188 44.4040359
"Mcarthur Public Library" "270 Main Street" "Biddeford" "ME" "04005" -70.457993 43.4945558
"Bingham Union Library" "297 Main Street" "Bingham" "ME" "04920" -69.8831556 45.056728
"Blue Hill Library" "5 Parker Point Road" "Blue Hill" "ME" "" -68.5900689 44.4118843
"Boothbay Harbor Memorial Library" "4 Oak Street" "Boothbay Harbor" "ME" "04538" -69.6284555 43.8516839
"Bowdoinham Public Library" "13a School Street" "Bowdoinham" "ME" "04008" -69.8992605 44.008627
"John B. Curtis Free Public Library" "435 Main Rd" "Bradford" "ME" "04410" -68.9364588 45.0673519
"Bremen Public Library" "204 Waldoboro Rd" "Bremen" "ME" "04551" -69.4153042 44.0367226
"Brewer Public Library" "100 South Main Street" "Brewer" "ME" "04412" -68.7673128 44.7925328
"Bridgton Public Library" "1 Church Street" "Bridgton" "ME" "04009" -70.7093798 44.0544057
"Friend Memorial Public Library" "1 Reach Road" "Brooklin" "ME" "04616" -68.5699422 44.2659197
"Brooksville Free Public Library" "1 Town House Road" "Brooksville" "ME" "04617" -68.7500351 44.3637434
"Brownfield Public Library" "216 Main Street" "Brownfield" "ME" "04010" -70.9068197 43.9387121
"Brownville Public Library" "27 Church Street" "Brownville" "ME" "04414" -69.0332 45.306642
"Curtis Memorial Library" "23 Pleasant Street" "Brunswick" "ME" "04011" -69.9671948 43.9135043
"Whitman Memorial Library" "28 South Main Street" "Bryant Pond" "ME" "04219" -70.6441275 44.3795874
"Zadoc Long Free Library" "5 Turner Street" "Buckfield" "ME" "04220" -70.3647345 44.2894556
"Buck Memorial Library" "47 Main Street" "Bucksport" "ME" "04416" -68.7919509 44.5716204
"West Buxton Public Library" "34 River Road (Route 112)" "Buxton" "ME" "04093" -70.6000716 43.6655412
"Calais Free Library" "9 Union Street" "Calais" "ME" "04619" -67.2775914 45.1895549
"Camden Public Library" "55 Main Street" "Camden" "ME" "04843" -69.0645604 44.2115819
"Canaan Public Library" "288 Main Street" "Canaan" "ME" "04924" -69.5608282 44.7624258
"Cape Elizabeth - Thomas Memorial Library" "6 Scott Dyer Road" "Cape Elizabeth" "ME" "" -70.2292477 43.5956214
"Thomas Memorial Library" "6 Scott Dyer Rd." "Cape Elizabeth" "ME" "04107" -70.2292477 43.5956214
"Cape Porpoise Library" "173 Main Street" "Cape Porpoise" "ME" "04014" -70.4409885 43.3719397
"Caribou Public Library" "30 High Street" "Caribou" "ME" "04736" -68.01103 46.860921
"Simpson Memorial Library" "8 Plymouth Rd" "Carmel" "ME" "04419" -69.0517337 44.796884
"Carrabassett Valley Public Library" "1234 Carrabassett Drive" "Carrabassett" "ME" "04947" -70.2206088 45.0874067
"Casco Public Library" "5 Leach Hill Road" "Casco" "ME" "04015" -70.5227726 44.0040277
"Witherle Memorial Library" "41 School Street" "Castine" "ME" "04421" -68.7983716 44.3899697
"Charleston Public Library" "13 Atkinson Road" "Charleston" "ME" "04422" -69.0403793 45.086446
"Cumberland - Chebeague Island Library" "25 South Road, Rr 1" "Chebeague" "ME" "" -70.1009702 43.7544407
"Chebeague Island Library" "247 South Road, Unit 3" "Chebeague Island" "ME" "04017" -70.1076274 43.7400287
"Cherryfield Public Library" "35 Main Street" "Cherryfield" "ME" "04622" -67.9264825 44.6070792
"Albert Church Brown Memorial Library" "37 Main Street" "China Village" "ME" "04926" -69.5171287 44.4805768
"Cliff Island Library" "119 Sunset Avenue" "Cliff Island" "ME" "04019" -70.1037548 43.7000145
"Brown Memorial Library - Clinton" "53 Railroad Street" "Clinton" "ME" "04927" -69.5049862 44.6408597
"Clinton - Brown Memorial Library" "14 Railroad Street" "Clinton" "ME" "" -69.5032059 44.6384297
"Stewart Free Library" "8 Levi Stewart Drive" "Corinna" "ME" "04928" -69.2629038 44.9209096
"Atkins Memorial Library" "360 Main Street" "Corinth" "ME" "04427" -69.0218853 45.0001111
"Bonney Memorial Library" "36 Main Street" "Cornish" "ME" "04020" -70.8007551 43.805124
"Great Cranberry Library" "13 Main Road" "Cranberry Isles" "ME" "04625" -68.2368929 44.2616921
"Prince Memorial Library" "266 Main Street" "Cumberland" "ME" "04021" -70.2590913 43.7935686
"Cushing Public Library" "39 Cross Road" "Cushing" "ME" "04563" -69.2498687 44.0210606
"Louise Clements Library" "2655 Cutler Road" "Cutler" "ME" "04626" -67.2103509 44.6581179
"Skidompha Public Library" "184 Main Street" "Damariscotta" "ME" "04543" -69.5305914 44.0325941
"Danforth Public Library" "46 Central Street" "Danforth" "ME" "04424" -67.8665291 45.6575172
"Chase Emerson Memorial Library" "17 Main Street" "Deer Isle" "ME" "04627" -68.6800379 44.223898
"Denmark Public Library" "121 East Main Street" "Denmark" "ME" "04022" -70.792235 43.973313
"Lincoln Memorial Library - Dennysville" "17 King Street" "Dennysville" "ME" "04628" -67.2295201 44.9039867
"Anna Field Fernald Library" "35 South Main Street" "Detroit" "ME" "04929" -69.2892505 44.78989
"Ludden Memorial Library" "42 Main Street" "Dixfield" "ME" "04224" -70.4557699 44.5311371
"Thompson Free Library" "186 East Main St." "Dover-Foxcroft" "ME" "04426" -69.2176574 45.1798156
"Bridge Academy Public Library" "44 Middle Road" "Dresden" "ME" "04342" -69.7263996 44.1051144
"Waterboro Public Library" "187 Main St." "E. Waterboro" "ME" "04030" -70.7195831 43.4880426
"Brown Memorial Library - Baldwin" "2 Norton Place" "East Baldwin" "ME" "04024" -70.6779011 43.8019071
"East Blue Hill Public Library" "9 Curtis Cove Road" "East Blue Hill" "ME" "04629" -68.5219046 44.4174712
"Sturdivant Public Library" "514 Main Street" "East Machias" "ME" "04630" -67.3901687 44.7380275
"East Millinocket Public Library" "53 Main Street" "East Millinocket" "ME" "04430" -68.5750669 45.6254271
"Vassalboro Public Library" "930 Bog Road" "East Vassalboro" "ME" "04935" -69.6205644 44.44986
"Peavey Memorial Library" "26 Water Street" "Eastport" "ME" "04631" -66.9852138 44.9036613
"William Fogg Public Library" "116 Old Road" "Eliot" "ME" "03903" -70.7976197 43.1282258
"Ellsworth Public Library" "20 State Street" "Ellsworth" "ME" "04605" -68.4256443 44.542102
"Cole Memorial Library" "789 Hammett Road" "Enfield" "ME" "04493" -68.5893476 45.2482172
"Lawrence Public Library" "33 Lawrence Avenue" "Fairfield" "ME" "04937" -69.596121 44.587756
"Falmouth Memorial Library" "5 Lunt Road" "Falmouth" "ME" "04105" -70.2360144 43.7233212
"Farmington Public Library" "117 Academy Street" "Farmington" "ME" "04938" -70.1482166 44.6694082
"Underwood Memorial Library" "2006 Main Street" "Fayette" "ME" "04349" -70.0083129 44.4060783
"Fort Fairfield Public Library" "339 Main Street" "Fort Fairfield" "ME" "04742" -67.8337755 46.7720894
"Fort Kent Public Library" "1 Monument Square" "Fort Kent" "ME" "04743" -68.5945872 47.2505555
"Waldo Peirce Reading Room" "11a Main Road South" "Frankfort" "ME" "04438" -68.8431221 44.641201
"Freeport Community Library" "10 Library Drive" "Freeport" "ME" "04032" -70.1017236 43.8633594
"Friendship Public Library" "3 Main Street" "Friendship" "ME" "04547" -69.333841 43.983787
"Fryeburg Public Library" "515 Main Street" "Fryeburg" "ME" "04037" -70.9820564 44.0156266
"Gardiner Public Library" "152 Water Street" "Gardiner" "ME" "04345" -69.7710368 44.2286659
"Lyndon Oak Memorial Library" "5 Dexter Road" "Garland" "ME" "04939" -69.1601377 45.0387689
"Laura E. Richards Library" "863 Five Islands Road" "Georgetown" "ME" "04548" -69.7492899 43.803655
"Glenburn Library" "991 Hudson Road" "Glenburn" "ME" "04401" -68.8461778 44.9171705
"Baxter Memorial Library" "71 South Street" "Gorham" "ME" "04038" -70.442031 43.677112
"North Gorham Public Library" "2 Standish Neck Road" "Gorham" "ME" "04038" -70.455349 43.798507
"South Windham Public Library" "857 Gray Road" "Gorham" "ME" "04038" -70.4256255 43.7333682
"Gray Public Library" "5 Hancock Street" "Gray" "ME" "04039" -70.3270812 43.8844686
"Julia Adams Morse Memorial Library" "105 Main Street" "Greene" "ME" "04236" -70.1434406 44.1893258
"Shaw Public Library - Greenville" "9 Lily Bay Road" "Greenville" "ME" "04441" -69.5913795 45.4594991
"Guilford Memorial Library" "4 Library Street" "Guilford" "ME" "04443" -69.3830878 45.1706531
"Hubbard Free Library" "115 Second Street" "Hallowell" "ME" "04347" -69.7912049 44.2860844
"Edythe Dyer Community Library" "269 Main Road North" "Hampden" "ME" "04444" -68.819429 44.7509109
"Cundys Harbor Library" "935 Cundys Harbor Road" "Harpswell" "ME" "04079" -69.892994 43.791491
"Gallison Memorial Library" "1292 Main Street" "Harrington" "ME" "04643" -67.8069516 44.6199255
"Bolsters Mills Village Library" "659 Bolsters Mills Road" "Harrison" "ME" "04040" -70.598213 44.11594
"Harrison Village Library" "4 Front Street" "Harrison" "ME" "04040" -70.6795762 44.108606
"Hartland Public Library" "16 Mill Street" "Hartland" "ME" "04943" -69.451555 44.8829436
"Soldiers Memorial Library" "85 Main Street" "Hiram" "ME" "04041" -70.7976844 43.8821666
"Hollis Center Public Library" "14 Little Falls Road" "Hollis" "ME" "04042" -70.5955101 43.6000842
"Salmon Falls Library" "322 Old Alfred Road" "Hollis" "ME" "04042" -70.5632085 43.5937951
"Hope Library" "443 Camden Road" "Hope" "ME" "04847" -69.1575765 44.2645818
"Cary Library-Houlton" "107 Main Street" "Houlton" "ME" "04730" -67.837499 46.1254822
"Thomas Free Library" "8 Main Street" "Howland" "ME" "04448" -68.6567263 45.2413199
"Katahdin Public Library" "20 Library Street" "Island Falls" "ME" "04747" -68.269595 46.0091536
"Alice L. Pendleton Library" "309 Main Road" "Islesboro" "ME" "04848" -68.900728 44.3029579
"Islesford Library" "10 Mosswood Road" "Islesford" "ME" "04646" -68.2350341 44.2625877
"Jackman Public Library" "604 Main Street" "Jackman" "ME" "04945" -70.3365276 45.7753117
"Jefferson Public Library" "48 Washington Road" "Jefferson" "ME" "04348" -69.4546915 44.2041022
"Peabody Memorial Library" "162 Main Street" "Jonesport" "ME" "04649" -67.6048901 44.5315356
"Case Memorial Library" "911 Stetson Road" "Kenduskeag" "ME" "04450" -68.9328368 44.9193012
"Kennebunk Free Library" "112 Main Street" "Kennebunk" "ME" "04043" -70.537885 43.3878563
"Graves Memorial Library" "18 Maine Street" "Kennebunkport" "ME" "04046" -70.4747738 43.3617123
"Webster Free Library" "22 Depot Street" "Kingfield" "ME" "04947" -70.1570374 44.9579878
"Rice Public Library" "8 Wentworth Street" "Kittery" "ME" "03904" -70.7425464 43.0867713
