"Library Name" "Address" "City" "State" "ZIP Code" "Latitude" "Longitude"
"Addison Branch Library" "102 South Talbot Street" "Addison" "MI" "" -84.346954 41.986399
"Adrian Public Library" "143 East Maumee Street" "Adrian" "MI" "49221" -84.0347993 41.8986679
"Lenawee County Library" "4459 West Us 223" "Adrian" "MI" "49221" -84.0835493 41.9054894
"Alanson Area Public Library" "7631 Burr Avenue" "Alanson" "MI" "49706" -84.789711 45.440092
"Albion District Library" "501 South Superior Street" "Albion" "MI" "49224" -84.7525767 42.2419499
"Helena Township Public Library" "8751 Helena Road" "Alden" "MI" "49612" -85.2674319 44.8812468
"Algonac-Clay Township Library" "2011 Saint Clair River Drive" "Algonac" "MI" "" -82.523888 42.626733
"Allegan Public Library" "331 Hubbard Street" "Allegan" "MI" "49010" -85.8514111 42.5277226
"Allen Park Public Library" "8100 Allen Road" "Allen Park" "MI" "" -83.2187569 42.2497806
"Allendale Township Library" "6175 Library Lane" "Allendale" "MI" "49401" -85.9387763 42.9741655
"Alma Public Library" "351 North Court Street" "Alma" "MI" "48801" -84.6548062 43.3786173
"Almont District Library" "213 West Saint Clair Street" "Almont" "MI" "48003" -83.0473398 42.920499
"Alpena County Library" "211 North First Avenue" "Alpena" "MI" "49707" -83.4310953 45.0619772
"Kent District Library - Alto" "071 Linfield Ave." "Alto" "MI" "49302" -85.382949 42.8555969
"Ann Arbor District Library" "343 South Fifth Avenue" "Ann Arbor" "MI" "48104" -83.7456585 42.2781936
"Malletts Creek Branch Library" "3090 E. Eisenhower Parkway" "Ann Arbor" "MI" "" -83.7179922 42.2436533
"Pittsfield Branch Library" "2359 Oak Valley Drive" "Ann Arbor" "MI" "" -83.7780154 42.2526001
"Washtenaw Library For The Blind And Physically Disabled" "343 S. Fifth Ave." "Ann Arbor" "MI" "48104" -83.7456585 42.2781936
"West Branch Library" "2503 Jackson Avenue" "Ann Arbor" "MI" "" -83.7827306 42.2786067
"Arcadia Township Branch Library" "3422 Lake St." "Arcadia" "MI" "" -86.2326988 44.4932477
"Armada Free Public Library" "73930 Church Street" "Armada" "MI" "48005" -82.882878 42.842048
"Ashley District Library" "104 New Street" "Ashley" "MI" "48806" -84.4738437 43.1865955
"Athens Community Library" "106 East Burr Oak Street" "Athens" "MI" "49011" -85.2354438 42.0884141
"Montmorency County Public Libraries" "11901 Haymeadow" "Atlanta" "MI" "49709" -84.1551996 45.0085867
"Attica Township Library" "4302 Peppermill Road" "Attica" "MI" "" -83.1730381 43.0317941
