"Library Name" "Address" "City" "State" "ZIP Code" "Latitude" "Longitude"
"Ada Public Library" "107 4th Avenue E" "Ada" "MN" "56510" -96.511009 47.3005818
"Adrian Branch Library" "214 Maine Avenue" "Adrian" "MN" "" -95.9331177 43.6346305
"Aitkin Public Library" "110 1st Avenue Ne" "Aitkin" "MN" "" -93.7046646 46.5326296
"Great River Regional Library - Albany" "400 Railroad Avenue" "Albany" "MN" "" -94.568801 45.62953
"Albert Lea Public Library" "211 E Clark St" "Albert Lea" "MN" "56007" -93.3664103 43.6501866
"Douglas County Library" "720 Fillmore Street" "Alexandria" "MN" "56308" -95.3792711 45.8845436
"Great River Regional Library - Annandale Branch" "30 Cedar Street East" "Annandale" "MN" "" -94.1233636 45.2638168
"Rum River Library" "4201 6th Avenue N" "Anoka" "MN" "" -93.3821588 45.2296871
"Galaxie Library" "14955 Galaxie Avenue" "Apple Valley" "MN" "" -93.2075834 44.7319947
"Appleton Public Library" "323 W Schlieman Avenue" "Appleton" "MN" "" -96.0215185 45.2001993
"Arden Hills Library" "1941 W County Rd E-2" "Arden Hills" "MN" "" -93.1797612 45.0465958
"Arlington Public Library" "321 West Main Street" "Arlington" "MN" "" -94.080975 44.607344
"Atwater Public Library" "318 Atlantic Avenue West" "Atwater" "MN" "" -94.7811543 45.1371163
"Aurora Public Library" "14 West Second Avenue No" "Aurora" "MN" "55705" -92.2377082 47.5289014
"Austin Public Library" "323 Fourth Ave Ne" "Austin" "MN" "55912" -92.9719454 43.6699434
"Babbitt Public Library" "71 South Drive" "Babbitt" "MN" "55706" -91.9394326 47.7076351
"Bagley Public Library" "21 Main Avenue N" "Bagley" "MN" "" -95.3986916 47.5222748
"Balaton Community Library" "134 3rd Street" "Balaton" "MN" "" -95.871701 44.2338293
"Barnesville Public Library" "104 N. Front Street" "Barnesville" "MN" "" -96.419594 46.653815
"Baudette Public Library" "110 1st Avenue Sw" "Baudette" "MN" "56623" -94.6016092 48.711467
"Bayport Public Library" "582 N 4th Street" "Bayport" "MN" "55003" -92.7814115 45.0212902
"Great River Regional Library - Becker Branch" "1150 Sherburne Avenue" "Becker" "MN" "" -93.8719968 45.3875969
"Great River Regional Library - Belgrade (Myrtle Mabee Library)" "324 Washburn Ave." "Belgrade" "MN" "56312" -95.004171 45.454029
"Belle Plaine Branch Library" "125 W Main" "Belle Plaine" "MN" "" -93.76945 44.622711
"Bemidji Public Library" "509 America Avenue" "Bemidji" "MN" "" -94.8846511 47.4732582
"Benson Public Library" "200 13th Street North" "Benson" "MN" "" -95.5998643 45.3152872
"Great River Regional Library - Big Lake" "160 Lake Street North" "Big Lake" "MN" "" -93.7451254 45.3331538
"Bird Island Public Library" "260 S. Main" "Bird Island" "MN" "" -94.8949761 44.7654027
"Blackduck Public Library" "1st Street East" "Blackduck" "MN" "" -94.5468515 47.731835
"Anoka County Library" "707 County Rd 10 Ne" "Blaine" "MN" "55434" -93.252007 45.127277
"Johnsville Branch Library" "12461 Oak Park Blvd Ne" "Blaine" "MN" "" -93.2441051 45.1964405
"Northtown Library" "711 County Rd 10 Ne" "Blaine" "MN" "" -93.2522438 45.1273157
"Blooming Prairie Public Library" "138 Highway Ave South" "Blooming Prairie" "MN" "" -93.049186 43.866221
"Hennepin County Library - Oxboro" "8801 Portland Avenue South" "Bloomington" "MN" "55420" -93.2676153 44.8440419
"Hennepin County Library - Penn Lake" "8800 Penn Avenue South" "Bloomington" "MN" "55431" -93.3095801 44.8439682
"Blue Earth Community Library" "124 West 7th Street" "Blue Earth" "MN" "56013" -94.1031982 43.637594
"Faribault County Library" "120 S Main St, Suite C" "Blue Earth" "MN" "56013" -94.1027718 43.637968
"Bovey Public Library" "402 2nd Street" "Bovey" "MN" "55709" -93.4164174 47.2955257
"Brainerd Public Library" "416 S 5th Street" "Brainerd" "MN" "" -94.2028238 46.3542096
"Breckenridge Public Library" "205 7th Street N" "Breckenridge" "MN" "" -96.585283 46.2650359
"Hennepin County Library - Brookdale" "6125 Shingle Creek Pkwy" "Brooklyn Center" "MN" "55430" -93.3108668 45.0660601
