"Library Name" "Address" "City" "State" "ZIP Code" "Latitude" "Longitude"
"Advance Community Library" "308 Gabriel Ave" "Advance" "MO" "63730" -89.9113106 37.1039611
"Albany Carnegie Public Library" "101 West Clay" "Albany" "MO" "64402" -94.3317625 40.2478708
"Altenburg Branch" "66 Poplar St." "Altenburg" "MO" "" -89.5888962 37.6295379
"Oregon County Library District" "po box 158" "Alton" "MO" "65606" -91.3993039 36.6942252
"Annapolis Branch Library" "204 School Street" "Annapolis" "MO" "" -90.6990936 37.3594239
"Appleton City Library" "105 W. 4th Street" "Appleton City" "MO" "64724" -94.0282086 38.1905336
"Arbyrd Branch Library" "100 Douglas St." "Arbyrd" "MO" "" -90.2354669 36.050902
"Archie Branch" "315 S. Main" "Archie" "MO" "" -94.353693 38.480892
"Fox Branch" "2103 Jeffco Blvd." "Arnold" "MO" "" -90.3751819 38.4209401
"Southern Boone County Public Library" "117 E. Broadway" "Ashland" "MO" "" -92.261221 38.774996
"South County Branch" "5577 Walnut St." "Augusta" "MO" "" -90.8828974 38.5732685
"Aurora Branch" "202 Jefferson" "Aurora" "MO" "" -93.7194806 36.9740453
"Douglas County Public Library" "301 Sw 3rd Ave" "Ava" "MO" "65608" -92.6612398 36.9507981
"Windsor Branch" "7479 Metropolitan Blvd." "Barnhart" "MO" "" -90.4011572 38.331847
"Maries County Library Belle Branch" "206 B South Alvarado" "Belle" "MO" "" -91.7209697 38.286132
"Belton Branch" "422 Main St." "Belton" "MO" "" -94.53177 38.811032
"Benton Branch" "44 N. Winchester" "Benton" "MO" "" -89.5625982 37.0988227
"Bernie Public Library" "111 N Allen" "Bernie" "MO" "63822" -89.9696322 36.6703384
"Bethany Public Library" "3105 Miller Street" "Bethany" "MO" "64424" -94.0208431 40.2652427
"Birch Tree City Library" "box 2" "Birch Tree" "MO" "" -91.4926376 36.9911648
"Bloomfield Public Library" "200 Seneca" "Bloomfield" "MO" "63825" -89.929962 36.8853252
"Mid-Continent Public Library - Blue Springs North" "850 Nw Hunter Drive" "Blue Springs" "MO" "" -94.2732334 39.0502423
"Mid-Continent Public Library - Blue Springs South" "2220 South 7 Hwy." "Blue Springs" "MO" "" -94.2724222 38.9970765
"Polk County Library" "1690 W. Broadway" "Bolivar" "MO" "65613" -93.428407 37.6119099
"Bonne Terre Memorial Library" "5 Southwest Main Street" "Bonne Terre" "MO" "63628" -90.551084 37.9215833
"Boonville-Cooper Branch" "618 Main St." "Boonville" "MO" "" -92.7431217 38.9732845
"Bourbon Branch Library" "575 Elm St." "Bourbon" "MO" "" -91.2470122 38.1544808
"Bowling Green Public Library" "201 W. Locust Street" "Bowling Green" "MO" "63334" -91.1952979 39.3446369
"Taneyhills Community Library" "200 South Fourth Street" "Branson" "MO" "" -93.2204577 36.6430031
"Breckenridge Public Library" "3 Main" "Breckenridge" "MO" "" -93.8105054 39.7618812
"Brentwood Public Library" "8765 Eulalie Ave" "Brentwood" "MO" "63144" -90.3477679 38.6179263
"Bridgeton Trails Branch" "3455 Mckelvey Rd." "Bridgeton" "MO" "" -90.4309363 38.7492369
"Brookfield Public Library" "102 East Boston Street" "Brookfield" "MO" "64628" -93.073407 39.785882
"Brunswick Public Library" "115 West Broadway" "Brunswick" "MO" "65236" -93.1306621 39.423416
"Mid-Continent Public Library - Buckner" "19 East Jefferson" "Buckner" "MO" "" -94.1984738 39.1352923
"Dallas County Library" "219 West Main Street" "Buffalo" "MO" "65622" -93.0934907 37.6440427
"Bunker Branch" "303 Main St." "Bunker" "MO" "" -91.211357 37.4522565
"Butler Public Library" "100 W. Atkison" "Butler" "MO" "" -94.3334035 38.252887
"Texas County Library - Cabool Branch" "418 Walnut" "Cabool" "MO" "65689" -92.0977242 37.1225832
"Wood Place Library" "102 South East Street" "California" "MO" "" -92.564503 38.6256756
"Mid-Continent Public Library - Camden Point" "401 Hardesty St." "Camden Point" "MO" "" -94.7433298 39.4543265
"Camden County Library" "89 Rodeo Road" "Camdenton" "MO" "65020" -92.7386562 38.0029714
"Cameron Public Library" "312 N. Chestnut" "Cameron" "MO" "64429" -94.2384778 39.7414452
"Campbell Branch Library" "104 South Ash" "Campbell" "MO" "" -90.0760899 36.493494
"Canton Public Library" "403 Lewis Street" "Canton" "MO" "63435" -91.5188258 40.1303108
"Municipal Library District Of The City Of Cape Girardeau" "711 N Clark" "Cape Girardeau" "MO" "63701" -89.548104 37.314728
"Cardwell Branch Library" "110 N Main St." "Cardwell" "MO" "" -90.2932349 36.0482867
"Carthage Public Library" "612 S. Garrison Avenue" "Carthage" "MO" "64836" -94.3132084 37.1744509
