"Library Name" "Address" "City" "State" "ZIP Code" "Latitude" "Longitude"
"Evans Memorial Library" "105 North Long Street" "Aberdeen" "MS" "" -88.5486029 33.8255242
"Wren Public Library" "32655 Hwy 45 North" "Aberdeen" "MS" "" -88.6179558 33.982544
"Amory Municipal Library" "401 2nd Ave. N. At 4th Street" "Amory" "MS" "" -88.4879402 33.9875518
"Arcola Public Library" "106 Martin Luther King Dr." "Arcola" "MS" "" -90.8782304 33.2699531
"Artesia Public Library" "323 Front Street" "Artesia" "MS" "" -88.6437998 33.412582
"Benton County Library" "6 Main Street" "Ashland" "MS" "38603" -91.3817663 31.8065313
"Avon Public Library" "874 Riverside Rd." "Avon" "MS" "" -91.0409968 33.2267379
"Anne Spencer Cox Library" "303 North Third Street" "Baldwyn" "MS" "" -88.6337739 34.5112519
"Dr. Frank L. Leggett Public Library" "161 General Robert E. Blount Blvd." "Bassfield" "MS" "" -89.7416357 31.496521
"Batesville Public Library" "206 Hwy 51 North" "Batesville" "MS" "" -89.943136 34.316298
"Bay Springs Municipal Library" "815 South Court Street" "Bay Springs" "MS" "" -89.2881731 31.9691593
"Hancock County Library" "312 Hwy. 90" "Bay St. Louis" "MS" "39520" -89.339811 30.3186944
"William Estes Powell Memorial Library" "1502 Bolton Avenue" "Beaumont" "MS" "" -88.9208801 31.1676631
"Belmont Public Library" "102 South Third Street" "Belmont" "MS" "" -88.213119 34.5124866
"Humphreys County Library System" "105 South Hayden Street" "Belzoni" "MS" "39038" -90.4886986 33.1750087
"Benoit Public Library" "109 Preston St" "Benoit" "MS" "" -91.0100131 33.6523949
"Biloxi Public Library" "580 Howard Avenue" "Biloxi" "MS" "39530" -88.8810785 30.3963661
"Margaret S. Sherry Memorial Library" "2141 Popps Ferry Road" "Biloxi" "MS" "39532" -88.9662797 30.4363046
"St. Martin Public Library" "15004 Lemoyne Blvd." "Biloxi" "MS" "" -88.8584879 30.4437709
"West Biloxi Public Library" "2047 Pass Road" "Biloxi" "MS" "39531" -88.9580715 30.402148
"Woolmarket Library" "8455 Woolmarket Rd" "Biloxi" "MS" "39532" -88.9783883 30.4705225
"Blue Mountain Public Library" "110 Mill Street" "Blue Mountain" "MS" "" -89.027682 34.669509
"Annie Thompson Jeffers Library" "111 Madison" "Bolton" "MS" "" -90.4601816 32.3488181
"George E. Allen Library" "500 W. Church Street" "Booneville" "MS" "" -88.5672101 34.6564977
"Brandon Public Library" "1475 W. Government Street" "Brandon" "MS" "" -90.01691 32.2836536
"Central Mississippi Regional Library" "104 Office Park Drive" "Brandon" "MS" "39042" -90.02836 32.2826
"Northwest Point Reservoir Library" "2300 Spillway Road" "Brandon" "MS" "" -90.0247503 32.3756564
"Lincoln-Lawrence-Franklin Regional Library" "100 South Jackson Street" "Brookhaven" "MS" "39601" -90.4446157 31.5798774
"Brooksville Public Library" "100 West Main Street" "Brooksville" "MS" "" -88.5823771 33.2344947
"Jesse Yancy Memorial Library" "314 N. Newberger Street" "Bruce" "MS" "" -89.3470972 33.99475
"Bude Public Library" "903 Railroad Avenue" "Bude" "MS" "" -90.8429775 31.4624805
"Ruth B. French Library" "161 Hwy 309" "Byhalia" "MS" "" -89.6891825 34.8775203
"Beverly Brown Library" "7395 South Siwell Road" "Byram" "MS" "" -90.2606905 32.1862456
"Caledonia Public Library" "754 Main Street" "Caledonia" "MS" "" -88.32441 33.682719
"Calhoun City Public Library" "113 East Burkitt Street" "Calhoun City" "MS" "" -89.3113189 33.857364
"Madison County Library System" "102 Priestley Street" "Canton" "MS" "39046" -90.0326053 32.6122395
"Carroll County Public Library" "1102 Lexington Avenue" "Carrollton" "MS" "38947" -90.0487054 33.1274592
"Carthage-Leake County Library" "114 East Franklin" "Carthage" "MS" "" -89.5327634 32.7378265
"Kevin Poole Vancleave Memorial Library" "141 West Park" "Centreville" "MS" "" -91.0665099 31.0894287
"Charleston Public Library" "102 Walnut Street" "Charleston" "MS" "" -90.0581637 34.0060815
"Tallahatchie County Library" "102 Walnut" "Charleston" "MS" "38921" -90.0581637 34.0060815
"Carnegie Public Library" "114 Delta Avenue" "Clarksdale" "MS" "38614" -90.5753602 34.2039604
"Bolivar County Library" "104 South Leflore Avenue" "Cleveland" "MS" "38732" -90.7262762 33.7439917
"Cleveland Depot Library" "101 S. Bayou Ave." "Cleveland" "MS" "" -90.7223439 33.744227
"A. E. Wood Library" "111 Clinton Blvd." "Clinton" "MS" "" -90.3163141 32.3349708
"Coffeeville Public Library" "714 Main Street" "Coffeeville" "MS" "" -89.6732279 33.9769472
"Yalobusha County Library" "14432 Main Street" "Coffeeville" "MS" "38922" -89.6727428 33.976484
"Jessie J. Edwards Public Library" "610 East Central Avenue" "Coldwater" "MS" "" -89.9714862 34.6859496
"R. E. Blackwell Memorial Library" "403 South Fir Avenue" "Collins" "MS" "" -89.5579563 31.6429594
"Columbia-Marion County Library" "900 Broad Street" "Columbia" "MS" "" -89.8233019 31.2507277
"Columbus-Lowndes Public Library" "314 North 7th Street" "Columbus" "MS" "39701" -88.425514 33.49799
"Emily Jones Pointer Library" "104 Main Street Se" "Como" "MS" "" -89.9409213 34.5109809
"Corinth Public Library" "1023 Fillmore Street" "Corinth" "MS" "" -88.5182405 34.9387447
"Crawford Public Library" "320 Main Street" "Crawford" "MS" "" -88.620299 33.302391
"Sam Lapidus Memorial Public Library" "108 Missouri Street" "Crenshaw" "MS" "" -90.193316 34.5033997
"J.T. Biggs Jr. Memorial Library" "200 S. Jackson Street" "Crystal Springs" "MS" "" -90.3567384 31.9871968
"Jerry Lawrence Memorial Library" "10391 Auto Mall Parkway" "Diberville" "MS" "" -88.9004648 30.436508
"Dlo Public Library" "4 Poplar Street" "Dlo" "MS" "" -89.9003793 31.9845857
"Drew Public Library" "290 West Park Avenue" "Drew" "MS" "" -90.5324675 33.8121529
