"Library Name" "Address" "City" "State" "ZIP Code" "Latitude" "Longitude"
"Alberton Branch Library" "701 Railroad Avenue" "Alberton" "MT" "" -114.4775636 47.0029822
"Hearst Free Library" "401 Main Street" "Anaconda" "MT" "59711" -112.9536538 46.1273471
"Augusta Branch Library" "205 Main St" "Augusta" "MT" "" -112.392084 47.492148
"Fallon County Library" "6 West Fallon Ave" "Baker" "MT" "59313" -104.2757896 46.3608834
"Belgrade Community Library" "106 N Broadway St." "Belgrade" "MT" "59714" -111.1752371 45.7776362
"Belt Public Library" "404 Millard St" "Belt" "MT" "59412" -110.9243895 47.3842426
"Big Sandy Branch Library" "230 1st Ave N" "Big Sandy" "MT" "" -110.1187912 48.1799373
"Carnegie Public Library" "314 Mcleod" "Big Timber" "MT" "59011" -109.953036 45.832409
"Bigfork Branch Library" "525 Electric Ave" "Bigfork" "MT" "" -114.0732773 48.0623035
"Parmly Billings Library" "510 North Broadway" "Billings" "MT" "59101" -108.5097778 45.7855486
"Boulder Community Library" "202 S Main" "Boulder" "MT" "59632" -112.1196777 46.2352071
"Bozeman Public Library" "626 E Main Street" "Bozeman" "MT" "59715" -111.0271324 45.678392
"Bridger Public Library" "119 West Broadway" "Bridger" "MT" "59014" -108.9171192 45.2957083
"Henry A Malley Memorial Library" "102 South Lincoln" "Broadus" "MT" "59317" -105.406301 45.443186
"Browning Branch Library" "9 2nd St Nw" "Browning" "MT" "" -113.0182592 48.5559529
"Butte-Silver Bow Public Library" "226 West Broadway" "Butte" "MT" "59701" -112.5402352 46.0131279
"Wedsworth Memorial Library" "13 Front Street North" "Cascade" "MT" "59421" -111.6996245 47.2706219
"Liberty County Library" "100 East 1st Street" "Chester" "MT" "59522" -110.964877 48.515414
"Blaine County Library" "112 4th St West" "Chinook" "MT" "59523" -109.23194 48.592169
"Choteau-Teton Public Library" "17 Main Avenue North" "Choteau" "MT" "59422" -112.182487 47.811756
"George Mccone Memorial County Library" "1101 C Avenue" "Circle" "MT" "59215" -108.543864 45.7861819
"Bicentennial Library Of Colstrip" "417 Willow Ave" "Colstrip" "MT" "" -106.6194105 45.8841348
"Columbia Falls Branch Library" "130 6th St W C" "Columbia Falls" "MT" "" -114.1829823 48.3732804
"Stillwater County Library" "27 N 4th St" "Columbus" "MT" "59019" -109.2590391 45.6426155
"Swan Valley Branch Library" "6811 Hwy 83" "Condon" "MT" "" -113.6751236 47.479996
"Conrad Public Library" "15 4th Avenue Sw" "Conrad" "MT" "59425" -111.947549 48.169434
"Culbertson Public Library" "202 Broadway Ave S" "Culbertson" "MT" "" -104.5174272 48.145561
"Glacier County Library" "21 1st Avenue Se" "Cut Bank" "MT" "59427" -112.331508 48.634813
"Darby Community Public Library" "101 1-2 South Marshall Street" "Darby" "MT" "59829" -114.1767997 46.020801
"William K. Kohrs Memorial Library" "501 Missouri Ave" "Deer Lodge" "MT" "59722" -112.731711 46.3989199
"Denton Public Library" "515 Broadway" "Denton" "MT" "59430" -109.9501873 47.3195942
"Dillon Public Library" "121 S Idaho Street" "Dillon" "MT" "59725" -112.637586 45.2162638
"Dodson Branch Library" "121 2nd St East" "Dodson" "MT" "" -108.2456088 48.3960288
"Drummond School Community Library" "108 W Edwards" "Drummond" "MT" "59832" -113.148608 46.670746
"Dutton Public Library" "22 Main St W" "Dutton" "MT" "59433" -111.7152203 47.8481527
"East Helena Branch Library" "400 North Kalispell" "East Helena" "MT" "" -111.9063482 46.5935137
"Ekalaka Public Library" "115 So. Main St." "Ekalaka" "MT" "59324" -104.5487378 45.8892168
"Madison Valley Public Library" "210 East Main Street" "Ennis" "MT" "59729" -111.7284079 45.3488129
"Eureka Branch Library" "318 Dewey Avenue" "Eureka" "MT" "" -115.053534 48.8813037
"Fairfield Public Library" "14 North 4th St" "Fairfield" "MT" "59436" -111.9817033 47.6144853
"Rosebud County Library" "201 North 9th Avenue" "Forsyth" "MT" "59327" -106.6797939 46.2663331
"Chouteau County Library" "1518 Main" "Fort Benton" "MT" "59442" -110.667963 47.818333
"Froid Branch Library" "110 Main St" "Froid" "MT" "" -104.3762181 48.2460636
"Geraldine Branch Library" "603 Main St" "Geraldine" "MT" "" -110.2658682 47.6006473
"Glasgow City-County Library" "408 Third Avenue South" "Glasgow" "MT" "59230" -106.6362177 48.1927013
"Glendive Public Library" "200 South Kendrick" "Glendive" "MT" "59330" -104.716179 47.104047
"Great Falls Public Library" "301 2nd Ave North" "Great Falls" "MT" "59401" -111.301947 47.50783
"Bitterroot Public Library" "306 State Street" "Hamilton" "MT" "59840" -114.1585713 46.2458722
"Big Horn County Public Library" "419 North Custer Avenue" "Hardin" "MT" "59034" -107.60707 45.733225
"Harlem Public Library" "37 1st Avenue" "Harlem" "MT" "59526" -108.7833898 48.5320095
