"Library Name" "Address" "City" "State" "ZIP Code" "Latitude" "Longitude"
"Page Memorial Library" "100 S. Poplar Street" "Aberdeen" "NC" "" -79.4284844 35.132355
"Ahoskie Public Library" "210 East Church Street" "Ahoskie" "NC" "" -76.985391 36.283609
"Stanly County Public Library" "133 East Main Street" "Albemarle" "NC" "28001" -80.4224682 35.2607296
"Andrews Public Library" "871 Main Street" "Andrews" "NC" "" -83.827153 35.200454
"Angier Public Library" "28 N. Raleigh Rd." "Angier" "NC" "" -78.7404878 35.5075778
"Eva Perry Regional Library" "2100 Shepherds Vineyard Drive" "Apex" "NC" "" -78.825125 35.743253
"Archdale Public Library" "10433 South Main Street" "Archdale" "NC" "" -79.9377698 35.893239
"Asheboro Public Library" "201 Worth Street" "Asheboro" "NC" "" -79.8114386 35.7061842
"Buncombe County Law Library" "60 Court Plaza" "Asheville" "NC" "28801" -82.5485999 35.5959908
"East Asheville Library" "902 Tunnel Road" "Asheville" "NC" "28805" -82.503175 35.58775
"North Asheville Library" "1030 Merrimon Ave." "Asheville" "NC" "28804" -82.5556024 35.6326297
"Oakley-South Asheville Library" "749 Fairview Road" "Asheville" "NC" "28803" -82.5135623 35.5641726
"Pack Memorial Library" "67 Haywood Street" "Asheville" "NC" "28801" -82.5549528 35.5965877
"Skyland-South Buncombe Library" "260 Overlook Road" "Asheville" "NC" "28803" -82.5370626 35.4880966
"West Asheville Library" "942 Haywood Road" "Asheville" "NC" "28806" -82.6016551 35.5808072
"Sallie H. Jenkins Memorial Library" "302 Broad Street" "Aulander" "NC" "" -77.11197 36.226877
"Hazel W. Guilford Memorial Library" "524 Main Street" "Aurora" "NC" "" -76.7874722 35.304603
"Badin Branch Library" "62 Pine Street" "Badin" "NC" "" -80.113532 35.405015
"Mitchell County Library" "18 North Mitchell Avenue" "Bakersville" "NC" "" -82.1579512 36.0153291
"Currituck County Library" "4261 Caratoke Highway" "Barco" "NC" "" -75.9697149 36.369253
"Bath Community Library" "100 Carteret Street" "Bath" "NC" "" -76.8139504 35.4775492
"Pamlico County Library" "603 Main Street" "Bayboro" "NC" "" -76.8136683 35.1456232
"Carteret County Public Library" "1702 Live Oak St., Ste. 100" "Beaufort" "NC" "28516" -76.6390535 34.7285454
"Belhaven Public Library" "333 East Main Street" "Belhaven" "NC" "" -76.6182548 35.536061
"Belmont Branch Library" "111 Central Avenue" "Belmont" "NC" "" -81.0411154 35.2370366
"Mary Duncan Public Library" "100 W. Main Street" "Benson" "NC" "" -78.547929 35.38172
"Bessemer City Branch Library" "207 North 12th Street" "Bessemer City" "NC" "" -81.28369 35.28652
"Margaret Little Blount Library" "201 Ives Street" "Bethel" "NC" "" -77.3784217 35.8085399
"Phillip Leff Memorial Library" "807 East Broad St" "Beulaville" "NC" "" -77.765524 34.9211956
"Biscoe Branch Library (Allen Library)" "307 Page Street" "Biscoe" "NC" "" -79.7804481 35.3618641
"Black Creek Branch Library" "103 Central Avenue" "Black Creek" "NC" "" -77.934367 35.635318
"Black Mountain Branch Library" "105 N. Dougherty Street" "Black Mountain" "NC" "28711" -82.322797 35.616155
"Bridger Memorial Library" "313 S. Main St." "Bladenboro" "NC" "" -78.789169 34.5375961
"Watauga County Public Library" "140 Queen Street" "Boone" "NC" "" -81.68288 36.219601
"Boonville Community Public Library" "121 West Main Street" "Boonville" "NC" "" -80.710099 36.232508
"Transylvania County Library" "212 South Gaston Street" "Brevard" "NC" "28712" -82.7348053 35.23136
"Broadway Branch Library" "206 S Main St" "Broadway" "NC" "" -79.0522579 35.4553555
"Fontana Regional Library" "33 Fryemont Street" "Bryson City" "NC" "28713" -83.444659 35.426136
"Bunn Branch Library" "610 Main Street" "Bunn" "NC" "" -78.2466295 35.9536952
"Anderson Creek Public Library" "914 Anderson Creek School Rd" "Bunnlevel" "NC" "" -78.9174683 35.2817479
"Pender County Public Library" "103 S. Cowan St." "Burgaw" "NC" "28425" -77.9241767 34.5514941
"Alamance County Public Library" "342 S. Spring Street" "Burlington" "NC" "27215" -79.436457 36.0927863
"North Park Library-Community Center" "849 Sharpe Rd" "Burlington" "NC" "" -79.4208956 36.112726
"Avery-Mitchell-Yancey Regional Library" "289 Burnsville School Road" "Burnsville" "NC" "28714" -82.262372 35.915491
"Yancey County Library" "18 Town Square" "Burnsville" "NC" "" -82.299848 35.916769
"Enka-Candler" "1404 Sandhill Road" "Candler" "NC" "28715" -82.6520991 35.5389263
"Currie Memorial Library" "138 S School St" "Candor" "NC" "" -79.7465651 35.2934422
"Canton Branch Library" "11 Pennsylvania Avenue" "Canton" "NC" "" -82.8356346 35.5291721
"Carolina Beach Library" "300 Cape Fear Boulevard" "Carolina Beach" "NC" "" -77.8962018 34.0343017
"Carrboro Branch Library" "900 Fayetteville Road" "Carrboro" "NC" "" -79.0989661 35.9291079
"Moore County Library" "101 Saunders Street" "Carthage" "NC" "" -79.4180061 35.3449104
"Cary Branch Library" "310 South Academy Street" "Cary" "NC" "" -78.7816231 35.784208
"West Regional Library" "4000 Louis Stephens Drive" "Cary" "NC" "" -78.8646832 35.8146787
"Albert Carlton-Cashiers Community Library" "249 Frank Allen Road" "Cashiers" "NC" "" -83.103245 35.110301
"Chadbourn Community Library" "301 North Wilson St" "Chadbourn" "NC" "" -78.825247 34.324878
"Chapel Hill Public Library" "100 Library Drive" "Chapel Hill" "NC" "27514" -79.0357973 35.9321299
"Beatties Ford Road Branch Library" "2412 Beatties Ford Rd" "Charlotte" "NC" "" -80.8533522 35.2676379
"Belmont Center Branch" "700 Parkwood Avenue" "Charlotte" "NC" "" -80.819517 35.234492
"Carmel Branch Library" "6624 Walsh Blvd" "Charlotte" "NC" "" -80.853368 35.0898449
"Cityview Branch Library" "1516 Alleghany St" "Charlotte" "NC" "" -80.894824 35.240237
"Coulwood Branch Library" "8410 Bellhaven Blvd." "Charlotte" "NC" "" -80.9367454 35.3047709
"Freedom Regional Branch" "1230 Alleghany St" "Charlotte" "NC" "" -80.890467 35.23829
"Independence Branch Library" "6015 Conference Drive" "Charlotte" "NC" "" -80.7551975 35.1787089
"Mint Hill Branch Library" "6840 Matthews Mint Hill Rd." "Charlotte" "NC" "" -80.6588999 35.1716041
"Morrison Regional Library" "7015 Morrison Blvd." "Charlotte" "NC" "" -80.8229005 35.1517049
"Myers Park Branch Library" "1361 Queens Road" "Charlotte" "NC" "" -80.827398 35.1964493
"Plaza Midwood Branch Library" "1623 Central Avenue" "Charlotte" "NC" "" -80.8110558 35.220619
"Public Library Of Charlotte Mecklenburg County" "310 North Tryon Street" "Charlotte" "NC" "28202" -80.839928 35.2285169
"Scaleybark Branch Library" "101 Scaleybark Road" "Charlotte" "NC" "" -80.8751954 35.1890868
"South County Regional Library" "8140-100 Providence Road" "Charlotte" "NC" "" -80.7744415 35.0801084
"Steele Creek Branch" "9124-F South Tryon Street" "Charlotte" "NC" "" -80.9406549 35.1337067
"Sugar Creek Branch Library" "4045 North Tryon Street" "Charlotte" "NC" "" -80.7975355 35.2575175
"University City Regional" "301 North E.W.T. Harris Road" "Charlotte" "NC" "" -80.746597 35.3029425
"West Boulevard Branch Library" "2157 West Boulevard" "Charlotte" "NC" "" -80.896174 35.211217
"Cherryville Branch Library" "605 East Main Street" "Cherryville" "NC" "" -81.373482 35.381079
"Claremont Branch Library" "3288 East Main Street" "Claremont" "NC" "" -81.1460794 35.7156533
"Clarkton Public Library" "10413 N. College St." "Clarkton" "NC" "" -78.6552749 34.4886001
"Hocutt Ellington Memorial Library" "100 South Church St" "Clayton" "NC" "" -78.4593017 35.6522422
"Clemmons Branch Library" "3554 Clemmons Road" "Clemmons" "NC" "" -80.3767254 36.0222592
"J.C. Holliday Library" "217 Graham Street" "Clinton" "NC" "" -78.322154 34.9976569
"Coats Public Library" "243 S. Mckinley St." "Coats" "NC" "" -78.6719691 35.4043521
"Tyrrell County Library" "414 Main Street" "Columbia" "NC" "" -76.251217 35.9180647
