"Library Name" "Address" "City" "State" "ZIP Code" "Latitude" "Longitude"
"Carnegie Regional Library" "503 Briggs Ave., Adams, Nd 58210" "Adams" "ND" "" -98.0789893 48.4213852
"Ashley Public Library" "113 First Avenue Nw" "Ashley" "ND" "58413" -99.3732404 46.0355714
"Golden Valley County Library" "54 Central Avenue" "Beach" "ND" "58621" -104.0061837 46.9144302
"Beulah Public Library" "116 Central Avenue N" "Beulah" "ND" "58523" -101.7779228 47.2636393
"Bismarck Veterans Memorial Public Library" "515 N 5th Street" "Bismarck" "ND" "58501" -100.783778 46.810103
"Bottineau County Library" "314 West 5th Street" "Bottineau" "ND" "58318" -100.4493871 48.8273359
"Bowman Regional Public Library" "18 Divide Street East" "Bowman" "ND" "58623" -103.394722 46.1822209
"Margaret Fraase Public Library" "204 Wilcox Ave N" "Buffalo" "ND" "58011" -97.5517069 46.921436
"Cando Community Library" "523 Main" "Cando" "ND" "58324" -99.203316 48.4898865
"Carrington City Library" "55 Ninth Ave S" "Carrington" "ND" "58421" -99.1248524 47.4489773
"Casselton Public Library" "702 1st Street North" "Casselton" "ND" "58012" -97.210709 46.901981
"Cavalier Public Library" "106 West 2nd Ave South" "Cavalier" "ND" "58220" -97.6255674 48.7933202
"Griggs County Library" "902 Burrel Ave Se" "Cooperstown" "ND" "58425" -98.1236505 47.4445481
"Divide County Public Library" "204 First Street Ne" "Crosby" "ND" "58730" -103.2933502 48.9138032
"Lake Region Public Library" "423 7th Street Ne" "Devils Lake" "ND" "58301" -98.8592841 48.1151472
"Dickinson Public Library" "139 Third Street West" "Dickinson" "ND" "58601" -102.7871675 46.8819445
"Drake Public Library" "5th Avenue Main Street, Drake, Nd 58736" "Drake" "ND" "" -100.3723605 47.9241692
"Dunn Center Public Library" "150 2nd Street West" "Dunn Center Nd" "ND" "58626" -102.622581 47.3546274
"Edgeley Public Library" "530 Main Street" "Edgeley" "ND" "58433" -98.7112844 46.3602013
"Ellendale Public Library" "67 1st Ave. South" "Ellendale" "ND" "58436" -98.5271811 46.0008847
"Enderlin Municipal Library" "303 Railway Street" "Enderlin" "ND" "58027" -97.602136 46.6246185
"Fargo Public Library" "102 North 3rd Street" "Fargo" "ND" "58102" -96.7837511 46.8773063
"Northport Library" "2714 Broadway, Fargo, Nd 58102" "Fargo" "ND" "" -96.7873948 46.9116379
"Southpointe Library" "3051 25th St S, Fargo, Nd 58103" "Fargo" "ND" "" -96.8220489 46.8344739
"Flasher Public Library" "104 5th Avenue East" "Flasher" "ND" "58535" -101.2304798 46.4574698
"Forman Public Library" "347 Main Street" "Forman" "ND" "58032" -97.6363719 46.1069712
"Sioux County Library" "300 Second Ave" "Fort Yates" "ND" "58538" -100.6307446 46.0853821
"Gackle Public Library" "302 Main" "Gackle" "ND" "58442" -99.1425519 46.6278485
"Garrison Public Library" "32 South Main Street" "Garrison" "ND" "58540" -101.4174208 47.6510915
"Goodrich Public Library" "122 Mckinley Ave., Goodrich, Nd 58444" "Goodrich" "ND" "" -100.1254828 47.4765096
