"Library Name" "Address" "City" "State" "ZIP Code" "Latitude" "Longitude"
"Adams Public Library" "300 8th Street" "Adams" "NE" "68301" -96.5110538 40.4595517
"Ainsworth Public Library" "445 North Main Street" "Ainsworth" "NE" "69210" -99.8625468 42.5504403
"Albion Public Library" "437 South 3rd Street" "Albion" "NE" "68620" -97.9996662 41.6894585
"Tucker Memorial Library" "313 Harbine Street" "Alexandria" "NE" "68303" -97.3896315 40.245292
"Springbank Township Library" "100 East 2nd Street" "Allen" "NE" "68710" -96.8451828 42.4160308
"Alliance Public Library" "1750 Sweetwater Avenue" "Alliance" "NE" "69301" -102.8689123 42.1113662
"Hoesch Memorial Library" "po box 438" "Alma" "NE" "68920" -99.3620427 40.0975108
"Winters Memorial Library" "101 North Dorr Street" "Anselmo" "NE" "68813" -99.8634855 41.6206027
"Ansley Township Library" "619 Main Street" "Ansley" "NE" "68814" -99.381232 41.2879128
"Arapahoe Public Library" "302 Nebraska Avenue" "Arapahoe" "NE" "68922" -99.8976466 40.3010977
"Arcadia Township Library" "100 South Reynolds" "Arcadia" "NE" "68815" -81.8624147 27.2071175
"Arlington Public Library" "410 West Elm Street" "Arlington" "NE" "68002" -96.3525237 41.4537742
"Finch Memorial Library" "205 North Walnut" "Arnold" "NE" "69120" -100.1947204 41.4240312
"Arthur County Library" "205 First Street" "Arthur" "NE" "69121" -97.2174775 47.1049168
"Ashland Public Library" "207 North 15th Street" "Ashland" "NE" "68003" -96.3695419 41.0401706
"Atkinson Public Library" "210 West State Street" "Atkinson" "NE" "68713" -98.9796172 42.5312768
"Auburn Memorial Library" "1810 Courthouse Avenue" "Auburn" "NE" "68305" -95.8423233 40.3864309
"Alice M Farr Library" "1603 L Street" "Aurora" "NE" "68818" -97.9974766 40.8675104
"Axtell Public Library" "305 North Main Street" "Axtell" "NE" "68924" -99.1266798 40.4786566
"Bancroft Public Library" "103 E. Poplar" "Bancroft" "NE" "68004" -96.5700034 42.0122628
"H. R. Jordan Memorial Library" "103 Poplar" "Bancroft" "NE" "" -96.5716613 42.0129649
"Bartley Public Library" "411 Commercial" "Bartley" "NE" "69020" -100.3060025 40.2521214
"Rock County Public Library" "400 State Street" "Bassett" "NE" "68714" -99.5365117 42.589685
"Lied Battle Creek Public Library" "103 East Main Street" "Battle Creek" "NE" "68715" -97.5968708 41.9995056
"Bayard Public Library" "509 Avenue A" "Bayard" "NE" "69334" -103.3256228 41.7555573
"Beatrice Public Library" "100 North 16th Street" "Beatrice" "NE" "68310" -96.7315919 40.2663295
"Beaver City Public Library" "408 10th Street" "Beaver City" "NE" "68926" -99.827027 40.1363838
"Beaver Crossing Community Library" "436 434th Road" "Beaver Crossing" "NE" "68313" -97.2822684 40.7786191
"Karlen Memorial Library" "215 Blaine Street" "Beemer" "NE" "68716" -96.8068111 41.9287594
"Bellevue Public Library" "1003 Lincoln Road" "Bellevue" "NE" "68005" -95.906925 41.1503126
"Dundy County Library" "126 7th Avenue East" "Benkelman" "NE" "69021" -101.5327491 40.0501746
"Bennington Public Library" "15505 Warehouse Street" "Bennington" "NE" "68007" -96.1579935 41.3633253
"Big Springs Public Library" "400 Pine Street" "Big Springs" "NE" "69122" -102.074608 41.0630172
"Blair Public Library" "210 South 17th Street" "Blair" "NE" "68008" -96.1372531 41.5425837
"Bloomfield Public Library" "121 South Broadway" "Bloomfield" "NE" "68718" -97.6458652 42.5978508
"Blue Hill Public Library" "317 West Gage Street" "Blue Hill" "NE" "68930" -98.4464232 40.3325364
"Village Of Brady Public Library" "107 Commercial St" "Brady" "NE" "69123" -100.3669081 41.0228978
"Bridgeport Public Library" "722 Main Street" "Bridgeport" "NE" "69336" -103.0995589 41.6679016
"Broadwater Public Library" "106 E. Guthrie Street" "Broadwater" "NE" "69125" -102.8533085 41.5961083
"Broken Bow Public Library" "626 South D Street" "Broken Bow" "NE" "68822" -99.637396 41.4026505
"Bruning Public Library" "141 Main Street" "Bruning" "NE" "68322" -97.5683786 40.3361992
"Brunswick Public Library" "303 Franklin St." "Brunswick" "NE" "68720" -97.9706214 42.3374986
"Garfield County Library" "217 G Street" "Burwell" "NE" "68823" -99.1273207 41.782036
"Davies Memorial Library" "612 Thayer Street" "Butte" "NE" "68722" -98.8490865 42.9142744
"Byron Public Library" "119 Kansas Ave." "Byron" "NE" "68325" -97.7690359 40.0058633
"Nigel Sprouse Memorial Library" "102 East Kimball" "Callaway" "NE" "68825" -99.925369 41.2908303
"Butler Memorial Library" "621 Penn" "Cambridge" "NE" "69022" -100.1675467 40.2822018
"Campbell Public Library" "721 Broad Street" "Campbell" "NE" "68932" -98.7319549 40.2992466
"Carrol Public Library" "506 Main Street" "Carroll" "NE" "68723" -97.1893232 42.276261
"Cedar Rapids Public Library" "423 West Main Street" "Cedar Rapids" "NE" "68627" -98.1481083 41.5599566
"Central City Public Library" "1604 15th Avenue" "Central City" "NE" "68826" -97.9989531 41.1160692
"Ceresco Community Library" "425 South 2nd Street" "Ceresco" "NE" "68017" -96.6449485 41.0568575
"Chadron Public Library" "507 Bordeaux Street" "Chadron" "NE" "69337" -102.9999202 42.8262398
