"Library Name" "Address" "City" "State" "ZIP Code" "Latitude" "Longitude"
"Acworth Silsby Free Library" "5 Lynn Hill Road" "Acworth" "NH" "03601" -72.278302 43.221326
"Haynes Library" "33 Washburn Road" "Alexandria" "NH" "03222" -71.7942975 43.612006
"Shedd-Porter Memorial Library" "3 Main St" "Alstead" "NH" "03601" -72.3616902 43.149135
"Gilman Library" "100 Main Street" "Alton" "NH" "03809" -71.219583 43.455215
"Amherst Town Library" "14 Main Street" "Amherst" "NH" "03031" -71.627492 42.862495
"Andover Public Library" "11 School Street" "Andover" "NH" "03216" -71.8207933 43.4353861
"James A. Tuttle Library" "45 Main Street" "Antrim" "NH" "03440" -71.9378431 43.0279416
"Ashland Town Library" "41 Main Street" "Ashland" "NH" "03217" -71.6305727 43.6949873
"Thayer Public Library" "3 Main Street" "Ashuelot" "NH" "03441" -72.4241801 42.7781176
"Kimball Library" "5 Academy Ave" "Atkinson" "NH" "03811" -71.1479442 42.8387464
"Griffin Free Public Library" "22 Hooksett Road" "Auburn" "NH" "03032" -71.3483818 43.0059306
"Barrington Public Library" "39 Province Lane" "Barrington" "NH" "03825" -70.9820128 43.1954559
"Bartlett Public Library" "1313 Us Rte 302" "Bartlett" "NH" "03812" -71.2796354 44.078173
"Bath Public Library" "4 West Bath Road" "Bath" "NH" "03740" -71.9866221 44.174525
"Bedford Public Library" "3 Meetinghouse Road" "Bedford" "NH" "03110" -71.516209 42.9461054
"Belmont Public Library" "146 Main Street" "Belmont" "NH" "03220" -71.4819959 43.4431429
"G. E.P. Dodge Library" "2 Main Street" "Bennington" "NH" "" -71.9233855 43.0009834
"Berlin Public Library" "270 Main Street" "Berlin" "NH" "03570" -71.1782385 44.4714066
"Bethlehem Public Library" "2155 Main Street" "Bethlehem" "NH" "03574" -71.6867418 44.2805639
"Boscawen Public Library" "116 North Main St" "Boscawen" "NH" "03303" -71.6034298 43.2893601
"Baker Free Library" "509 South Street" "Bow" "NH" "03304" -71.5342327 43.1718807
"Brown Memorial Library" "78 West Main Street" "Bradford" "NH" "03221" -71.9612871 43.2695542
"Mary E. Bartlett Library" "22 Dalton Road" "Brentwood" "NH" "03833" -71.0686092 42.9822497
"Bridgewater Public Library" "1032 River Road" "Bridgewater" "NH" "03264" -71.6557219 43.6529338
"Minot-Sleeper Library" "35 Pleasant Street" "Bristol" "NH" "03222" -71.737763 43.590964
"Brookline Public Library" "16 Main Street" "Brookline" "NH" "03033" -71.659431 42.733036
"Campton Public Library" "1110 Nh Route 175" "Campton" "NH" "03223" -71.6342096 43.8513274
"Canaan Town Library" "1173 U.S. Rt 4" "Canaan" "NH" "03741" -72.0115925 43.6464421
"Smyth Public Library" "55 High Street" "Candia" "NH" "03034" -71.2894471 43.0617419
"Elkins Library" "9 Center Road" "Canterbury" "NH" "03224" -71.5717494 43.3381734
"Oscar Foss Memorial Library" "111 South Barnstead Road" "Center Barnstead" "NH" "03225" -71.2596423 43.3396127
"James E. Nichols Memorial Library" "35 Plymouth Street" "Center Harbor" "NH" "03226" -71.4627501 43.7089788
"Ossipee Public Library" "74 Main Street" "Center Ossipee" "NH" "03814" -71.1418766 43.7534718
"Samuel H. Wentworth Library" "35 Main Street" "Center Sandwich" "NH" "03227" -71.4370475 43.8056553
"Silsby Free Public Library" "226 Main Street" "Charlestown" "NH" "03603" -72.4240554 43.2338003
"Chester Public Library" "3 Chester Street" "Chester" "NH" "03036" -71.2577217 42.9571322
"Chesterfield Public Library" "524 Route 63" "Chesterfield" "NH" "03443" -72.4705638 42.8878807
"Chichester Town Library" "161 Main Street" "Chichester" "NH" "03258" -71.3858652 43.2522537
"Chocorua Public Library" "25 Deer Hill Road" "Chocorua" "NH" "03817" -71.2192734 43.8782639
"Fiske Free Library" "108 Broad Street" "Claremont" "NH" "03743" -72.336177 43.3718303
"Colebrook Public Library" "126 Main St." "Colebrook" "NH" "03576" -71.4913068 44.9091301
"Concord Public Library" "45 Green Street" "Concord" "NH" "03301" -71.5403811 43.2066825
"New Hampshire Historical Society Tuck Library" "30 Park Street" "Concord" "NH" "" -71.5396113 43.2072467
"Hopkinton Town Library" "61 Houston Drive" "Contoocook" "NH" "03229" -71.7200011 43.2228674
"Conway Public Library" "15 Main Street" "Conway" "NH" "03818" -71.11923 43.9787389
"George H. Stowell Free Library" "24 School Street" "Cornish Flat" "NH" "03746" -72.2751999 43.4968924
"Tuftonboro Free Library" "221 Middle Rd." "Ctr. Tuftonboro" "NH" "03816" -71.2546109 43.6645687
"Dalton Public Library" "741 Dalton Road" "Dalton" "NH" "03598" -71.694327 44.4154753
