"Library Name" "Address" "City" "State" "ZIP Code" "Latitude" "Longitude"
"Absecon Public Library" "305 New Jersey Avenue" "Absecon" "NJ" "08201" -74.5045078 39.4281891
"Lee Memorial Library" "500 W. Crescent Avenue" "Allendale" "NJ" "07401" -74.1383312 41.0299414
"W.H. Walters Free Public Library" "1001 East Blvd" "Alpha" "NJ" "08865" -75.160951 40.6633349
"Asbury Park Free Public Library" "500 First Avenue" "Asbury Park" "NJ" "07712" -74.0074599 40.220238
"Waterford Township Public Library" "2204 Atco Avenue" "Atco" "NJ" "08004" -74.8871702 39.769905
"Atlantic City Free Public Library" "1 N. Tennessee Avenue" "Atlantic City" "NJ" "08401" -74.4280869 39.3621695
"Atlantic Highlands Public Library" "100 First Avenue" "Atlantic Highlands" "NJ" "07716" -74.0379003 40.4126501
"Audubon Free Public Library" "239 Oakland Avenue" "Audubon" "NJ" "08106" -75.0693128 39.8909808
"Avalon Free Public Library" "235 32nd Street" "Avalon" "NJ" "08202" -74.7250529 39.0957237
"Libraries Of Middlesex Automation Consortium" "1030 St. Georges Ave Suite 203" "Avenel" "NJ" "07001" -74.2934752 40.5741767
"Bernards Township Library" "32 South Maple Avenue" "Basking Ridge" "NJ" "07920" -74.5476893 40.7060141
"Bayonne Free Public Library" "697 Avenue C" "Bayonne" "NJ" "07002" -74.1155687 40.6717093
"Bedminster-Far Hills" "2336 Lamington Road" "Bedminster" "NJ" "07921" -74.6509279 40.6782139
"Belleville Public Library" "221 Washington Avenue" "Belleville" "NJ" "07109" -74.1527577 40.788446
"Belmar Public Library" "517 Tenth Avenue" "Belmar" "NJ" "07719" -74.0234093 40.1785535
"Belvidere Free Public Library" "301 Second Street" "Belvidere" "NJ" "07823" -75.078659 40.827251
"Warren County Library" "199 Hardwick Street" "Belvidere" "NJ" "07823" -75.0756694 40.8279551
"Bergenfield Free Public Library" "50 W. Clinton Avenue" "Bergenfield" "NJ" "07621" -73.9996079 40.9233384
"Berkeley Heights Free Public Library" "290 Plainfield Avenue" "Berkeley Heights" "NJ" "07922" -74.439609 40.6789083
"Marie Fleche Memorial Library" "49 South White Horse Pike" "Berlin" "NJ" "08009" -74.9320525 39.7959723
"Bernardsville Public Library" "1 Anderson Hill Road" "Bernardsville" "NJ" "07924" -74.5690234 40.7194435
"Beverly Free Library" "441 Cooper St." "Beverly" "NJ" "08010" -74.9189458 40.0642686
"Bloomfield Public Library" "90 Broad Street" "Bloomfield" "NJ" "07003" -74.1981795 40.7966252
"Bloomingdale Free Public Library" "101 Hamburg Turnpike" "Bloomingdale" "NJ" "07403" -74.3392042 41.0077642
"Bogota Public Library" "375 Larch Avenue" "Bogota" "NJ" "07603" -74.029769 40.8793147
"Boonton Holmes Public Library" "621 Main Street" "Boonton" "NJ" "07005" -74.4109676 40.9051125
"Bradley Beach Public Library" "511 Fourth Avenue" "Bradley Beach" "NJ" "07720" -74.0162107 40.2003899
"Bridgeton Free Public Library" "150 E. Commerce Street" "Bridgeton" "NJ" "08302" -75.2318444 39.428565
"Cumberland County Library" "800 E. Commerce Street" "Bridgeton" "NJ" "08302" -75.2064581 39.4235901
"Somerset County Library" "1 Vogt Drive" "Bridgewater" "NJ" "08807" -74.6076021 40.58792
"Brielle Public Library" "610 South Street" "Brielle" "NJ" "08730" -74.0619267 40.1142299
"Mendham Township Library" "2 East Main Street" "Brookside" "NJ" "07926" -74.5682723 40.7947117
"Library Company Of Burlington" "23 W. Union Street" "Burlington" "NJ" "08016" -74.8602724 40.079059
"Caldwell Free Public Library" "268 Bloomfield Avenue" "Caldwell" "NJ" "07006" -74.2744388 40.8381718
"Camden Free Public Library" "418 Federal Street" "Camden" "NJ" "08103" -75.12245 39.943865
"Cape May County Library" "30 Mechanic Street" "Cape May Court House" "NJ" "08210" -74.8251458 39.0831871
"William E. Dermody Free Public Library" "420 Hackensack Street" "Carlstadt" "NJ" "07072" -74.0915767 40.8379983
"Carteret Free Public Library" "100 Cooke Avenue" "Carteret" "NJ" "07008" -74.2191347 40.5789837
"Chathams Joint Free Public Library" "214 Main Street" "Chatham" "NJ" "07928" -74.3807786 40.7406222
"Cherry Hill Free Public Library" "1100 Kings Highway North" "Cherry Hill" "NJ" "08034" -75.0044077 39.920517
"Chester Library" "250 West Main Street" "Chester" "NJ" "07930" -74.7066139 40.7814945
"Clark Public Library" "303 Westfield Avenue" "Clark" "NJ" "07066" -74.3102877 40.6217537
"Clementon Memorial Library" "195 Gibbsboro Road" "Clementon" "NJ" "08021" -74.9876691 39.8091395
