"Library Name" "Address" "City" "State" "ZIP Code" "Latitude" "Longitude"
"El Pueblo De Abiquiu Library And Community Center" "p.o. box 838" "Abiquiu" "NM" "87510" -106.3186397 36.207241
"Alamogordo Public Library" "920 Oregon Avenue" "Alamogordo" "NM" "88310" -105.944516 32.8990858
"Alamosa-Robert L. Murphy Memorial Library" "6900 Gonzales Rd. Sw" "Albuquerque" "NM" "" -106.7103233 35.071366
"Albuquerque-Bernalillo County Library System" "501 Copper Ave. Nw" "Albuquerque" "NM" "87102" -106.6531118 35.0861328
"Cherry Hills Library" "6901 Barstow Ne" "Albuquerque" "NM" "" -106.5563423 35.1589489
"Erna Fergusson Library" "3401-A Monroe Ne" "Albuquerque" "NM" "" -106.5909166 35.1217394
"Ernie Pyle Library" "900 Girard Blvd. Se" "Albuquerque" "NM" "" -106.6131332 35.0702243
"Esperanza Branch" "5600 Esperanza Dr., Nw" "Albuquerque" "NM" "" -106.7003834 35.083153
"Juan Tabo Library" "3407 Juan Tabo Blvd. Ne" "Albuquerque" "NM" "" -106.5165625 35.1206525
"Lomas Tramway Library" "908 Eastridge Ne" "Albuquerque" "NM" "" -106.4979318 35.0857184
"Los Griegos Library" "1000 Griegos Rd Nw" "Albuquerque" "NM" "" -106.6493603 35.1322928
"North Valley Library" "7704 2nd St. Nw" "Albuquerque" "NM" "" -106.6281215 35.1673382
"San Pedro Library" "5600 Trumbull Se" "Albuquerque" "NM" "" -106.5778395 35.0688593
"South Broadway-Frances Parrish Library" "1025 Broadway Se" "Albuquerque" "NM" "" -106.6461001 35.0728412
"South Valley Library" "3904 Isleta Blvd Sw" "Albuquerque" "NM" "" -106.6824074 35.0187712
"Special Collections Library" "423 Central Ave. Ne" "Albuquerque" "NM" "" -106.6424318 35.083824
"Taylor Ranch Library" "5700 Bogart Nw" "Albuquerque" "NM" "" -106.7167597 35.1491215
"Westgate Library" "1300 Delgado Sw" "Albuquerque" "NM" "" -106.7515645 35.0511771
"Wyoming Library" "8205 Apache Ne" "Albuquerque" "NM" "" -106.5526815 35.1078527
"Shuter Library Of Angel Fire" "11 South Angel Fire Road" "Angel Fire" "NM" "87710" -105.278266 36.389591
"Valley Public Library" "635 Church Street" "Anthony" "NM" "88021" -106.600689 32.0029955
"Artesia Public Library" "306 W. Richardson Ave." "Artesia" "NM" "88210" -104.399965 32.8400177
"Aztec Public Library" "319 S. Ash" "Aztec" "NM" "87410" -107.9995867 36.8202549
"Bayard Public Library" "1120 Central Ave." "Bayard" "NM" "88023" -108.1389731 32.7577229
"Belen Public Library" "333 Becker Avenue" "Belen" "NM" "87002" -106.7710303 34.6599415
"Town Of Bernalillo Public Library" "124 Calle Malinche" "Bernalillo" "NM" "87004" -106.5500558 35.304135
"Bloomfield Public Library" "333 South First Street" "Bloomfield" "NM" "87413" -107.979827 36.708754
"Bosque Farms Public Library" "1455 W. Bosque Loop" "Bosque Farms" "NM" "87068" -106.706053 34.8533672
"Capitan Public Library" "101 E. 2nd Street" "Capitan" "NM" "88316" -105.5723811 33.5446431
"Carlsbad Public Library" "101 S. Halagueno" "Carlsbad" "NM" "88220" -104.2311149 32.4197492
"Eleanor Daggett Memorial Library" "299 4th Street" "Chama" "NM" "87520" -106.5799611 36.9042087
"Albert W. Thompson Memorial Library" "17 Chestnut Street" "Clayton" "NM" "88415" -103.1856686 36.4521885
"Michael Nivison Public Library" "90 Swallow Place" "Cloudcroft" "NM" "88317" -105.7427681 32.9568653
"Clovis Carver Public Library" "701 Main" "Clovis" "NM" "88101" -103.2045342 34.4051993
"Irene S. Sweetkind Public Library" "6515 Hoochaneetsa Blvd." "Cochiti Lake" "NM" "87083" -106.3365128 35.6465578
"Cochiti Pueblo Community Library" "245 Cochiti St." "Cochiti Pueblo" "NM" "" -106.3500419 35.6085626
"Pueblo De Cochiti Library" "255 Cochiti St." "Cochiti Pueblo" "NM" "87072" -106.3500419 35.6085626
"Columbus Village Library" "112 W. Broadway" "Columbus" "NM" "88029" -107.6395155 31.8305064
"Village Of Corona Public Library" "521 Main Street" "Corona" "NM" "88318" -105.5949114 34.2489861
"Corrales Community Library" "84 West La Entrada Road" "Corrales" "NM" "87048" -106.6178157 35.2230486
"Cuba Public Library" "6382 U.S. 550" "Cuba" "NM" "87013" -106.961432 36.016385
"Marshall Memorial Library" "110 S Diamond Street" "Deming" "NM" "88030" -107.7548973 32.2689178
"Dexter Public Library" "115 E. Second Street" "Dexter" "NM" "" -104.369977 33.1968517
"Embudo Valley Library Community Center" "217 Hwy 75 Dixon" "Dixon" "NM" "87527" -105.888532 36.1988885
"Jicarilla Public Library" "165 Hawks Drive" "Dulce" "NM" "87528" -106.9876769 36.9402762
"Eagle Nest Public Library" "74 N Tomboy Dr" "Eagle Nest" "NM" "87718" -105.2636179 36.554754
