"Library Name" "Address" "City" "State" "ZIP Code" "Latitude" "Longitude"
"Adams Free Library" "2 North Main Street" "Adams" "NY" "13605" -76.0236089 43.8096729
"Adams Center Free Library" "18267 State Route 177" "Adams Center" "NY" "13606" -76.0063766 43.8609647
"Addison Public Library" "6 South Street" "Addison" "NY" "14801" -77.233874 42.104562
"Afton Free Library" "105 A Main Street" "Afton" "NY" "13730" -75.5281428 42.2252174
"Newstead Public Library" "33 Main Street" "Akron" "NY" "14001" -78.501521 43.019712
"Albany Public Library - Arbor Hill-West Hill Branch" "148 Henry Johnson Boulevard" "Albany" "NY" "12210" -73.7603585 42.6616334
"Albany Public Library - Delaware Branch" "331 Delaware Avenue" "Albany" "NY" "12209" -73.7781442 42.6429554
"Albany Public Library - John A. Howe Branch" "105 Schuyler Street" "Albany" "NY" "12202" -73.7582799 42.6413468
"Albany Public Library - John J. Bach Branch" "455 New Scotland Avenue" "Albany" "NY" "12208" -73.7961464 42.6550065
"Albany Public Library - Main Library" "161 Washington Avenue" "Albany" "NY" "12210" -73.7621341 42.6565786
"Albany Public Library - North Albany Branch" "616 North Pearl Street" "Albany" "NY" "12204" -73.7400929 42.6739878
"Upper Hudson Library System" "28 Essex Street" "Albany" "NY" "12206" -73.7789144 42.6774339
"Shelter Rock Public Library" "165 Searingtown Road" "Albertson" "NY" "11507" -73.6563237 40.7625586
"Swan Library" "4 North Main Street" "Albion" "NY" "14411" -78.194193 43.246425
"Alden Ewell Free Library" "13280 Broadway" "Alden" "NY" "14004" -78.493244 42.9006
"Macsherry Library" "112 Walton Street" "Alexandria Bay" "NY" "13607" -75.9079227 44.3364074
"Alfred Box Of Books Library" "1 West University Street" "Alfred" "NY" "14802" -77.790679 42.253791
"Allegany Public Library" "90 West Main Street" "Allegany" "NY" "14706" -78.496725 42.092032
"Almond Twentieth Century Club Library" "p o box d" "Almond" "NY" "14804" -77.738327 42.3222916
"Altamont Free Library" "105 Park Street" "Altamont" "NY" "12009" -74.0318502 42.7013037
"Altona Reading Center" "3124 Rt. 191" "Altona" "NY" "12910" -73.5494112 44.895915
"Amagansett Free Library" "215 Main Street" "Amagansett" "NY" "11930" -72.1407877 40.9755453
"Amenia Free Library" "3309 Route 343" "Amenia" "NY" "12501" -73.555751 41.850086
"Audubon Branch" "350 John James Audubon Parkway" "Amherst" "NY" "14228" -78.7807217 43.0155382
"Amsterdam Free Library" "28 Church Street" "Amsterdam" "NY" "12010" -74.1908781 42.9376472
"Andes Public Library" "242 Main Street" "Andes" "NY" "13731" -74.78156 42.190473
"Andover Free Library" "40 Main Street" "Andover" "NY" "14806" -77.795251 42.15644
