"Library Name" "Address" "City" "State" "ZIP Code" "Latitude" "Longitude"
"Ada Public School District Library" "320 N. Main St." "Ada" "OH" "45810" -83.822766 40.7730215
"Akron-Summit County Public Library" "60 S. High St." "Akron" "OH" "44326" -81.5169097 41.0833864
"Alexandria Public Library" "10 Maple Dr." "Alexandria" "OH" "43001" -82.6136512 40.0900485
"Alger Public Library" "100 W. Wagner St" "Alger" "OH" "45812" -83.8440312 40.7071098
"Rodman Public Library" "215 E. Broadway" "Alliance" "OH" "44601" -81.1022698 40.9188696
"Amherst Public Library" "221 Spring St." "Amherst" "OH" "44001" -82.222329 41.3979412
"Andover Public Library" "142 W. Main St." "Andover" "OH" "44003" -80.5731205 41.6072027
"Arcanum Public Library" "101 North St." "Arcanum" "OH" "45304" -84.554378 39.992418
"Archbold Community Library" "205 Stryker St." "Archbold" "OH" "43502" -84.3080119 41.5215435
"Ashland Public Library" "224 Claremont Ave." "Ashland" "OH" "44805" -82.3187872 40.8675055
"Wornstaff Memorial Public Library" "302 E. High St." "Ashley" "OH" "43003" -82.951691 40.409234
"Ashtabula County District Library" "335 W. 44th St." "Ashtabula" "OH" "44004" -80.78466 41.868
"Harbor-Topky Memorial Library" "1633 Walnut Blvd." "Ashtabula Harbor" "OH" "44004" -80.8058079 41.8995984
"Seneca East Public Library" "14 N. Main St." "Attica" "OH" "44807" -82.8873938 41.0649316
"Avon Lake Public Library" "32649 Electric Blvd." "Avon Lake" "OH" "44012" -82.0126808 41.5098636
"Barberton Public Library" "602 W. Park Avenue" "Barberton" "OH" "44203" -81.6118244 41.0134769
"Barnesville Hutton Memorial Public Library" "308 E. Main St." "Barnesville" "OH" "43713" -81.1742582 39.9868676
"Clermont County Public Library" "326 Broadway" "Batavia" "OH" "45103" -84.177532 39.07455
"Bellaire Public Library" "330 32nd Street" "Bellaire" "OH" "43906" -80.7434577 40.0141042
"Belle Center Free Public Library" "103 S. Elizabeth St." "Belle Center" "OH" "43310" -83.7522584 40.507636
"Logan County District Library" "220 N Main St" "Bellefontaine" "OH" "43311" -83.7589034 40.3636432
"Bellevue Public Library" "224 E. Main St." "Bellevue" "OH" "44811" -82.838145 41.2729181
"Bettsville Public Library" "233 State St." "Bettsville" "OH" "44815" -83.2353293 41.2458794
"Bexley Public Library" "2411 E. Main St." "Bexley" "OH" "43209" -82.934339 39.95674
"Blanchester Public Library" "110 N. Broadway" "Blanchester" "OH" "45107" -83.9886102 39.2937105
"Bliss Memorial Public Library" "20 S. Marion St." "Bloomville" "OH" "44818" -83.0153541 41.0516655
"Bluffton Public Library" "145 S. Main St." "Bluffton" "OH" "45817" -83.7948956 41.0043358
"Bowerston Public Library" "200 Main St." "Bowerston" "OH" "44695" -81.1900337 40.4266085
"Northwest Regional Library System" "181 1-2 S. Main St." "Bowling Green" "OH" "43402" -83.6501904 41.3734748
"Wood County District Public Library" "251 N. Main St." "Bowling Green" "OH" "43402" -83.6510245 41.3764812
"Bradford Public Library" "138 E. Main St." "Bradford" "OH" "45308" -84.429507 40.132211
"Bristol Public Library" "1855 Greenville Rd. N.W." "Bristolville" "OH" "44402" -80.867625 41.38698
"Williams Co Public Library" "107 E. High St." "Bryan" "OH" "43506" -84.550051 41.4749538
"Bucyrus Public Library" "200 E. Mansfield" "Bucyrus" "OH" "44820" -82.9737686 40.8089852
"Burton Public Library" "14588 W. Park St." "Burton" "OH" "44021" -81.146439 41.471657
"Puskarich Public Library" "200 E. Market St" "Cadiz" "OH" "43907" -80.995808 40.271899
"Caldwell Public Library" "517 Spruce St." "Caldwell" "OH" "43724" -81.5177466 39.7486229
"Guernsey County District Public Library" "800 Steubenville Ave." "Cambridge" "OH" "43725" -81.5899193 40.0259225
"Canal Fulton Public Library" "154 Market St. Ne" "Canal Fulton" "OH" "44614" -81.5978115 40.8909305
"Stark County District Library" "715 Market Ave North" "Canton" "OH" "44702" -81.3736381 40.8033439
"Cardington-Lincoln Public Library" "128 E. Main St." "Cardington" "OH" "43315" -82.8931999 40.5005588
"Dorcas Carey Public Library" "236 E. Findlay St." "Carey" "OH" "43316" -83.3807501 40.9522476
"Carroll County District Library" "70 Second St." "Carrollton" "OH" "44615" -81.0857739 40.5739605
"Mercer County District Public Library" "303 N. Main St." "Celina" "OH" "45822" -84.5713143 40.5512186
"Centerburg Public Library" "49 E. Main St." "Centerburg" "OH" "43011" -82.694956 40.304951
"Washington-Centerville Public Library" "111 W. Spring Valley Road" "Centerville" "OH" "45458" -84.1625897 39.6138047
"Geauga County Public Library" "12701 Ravenwood Dr." "Chardon" "OH" "44024" -81.1830441 41.5077667
"Selover Public Library" "31 State Route 95" "Chesterville" "OH" "43317" -82.6838171 40.4802144
"Chillicothe And Ross County Public Library" "140 S. Paint St." "Chillicothe" "OH" "45601" -82.9816277 39.3297788
"The PL Of Cincinnati And Hamilton County" "800 Vine St." "Cincinnati" "OH" "45202" -84.5133093 39.105276
"Southwest Ohio And Neighboring Libraries" "10901 Reed Hartman Highway Suite 120" "Cincinnati" "OH" "45242" -84.3810203 39.2641781
"Pickaway Cnty District Public Library" "1160 North Court Street" "Circleville" "OH" "43113" -82.9403751 39.6208926
"Cleveland Public Library" "325 Superior Ave." "Cleveland" "OH" "44114" -81.691775 41.501174
"Cleveland Heights-University Heights Pl" "2345 Lee Road" "Cleveland Hts." "OH" "44118" -81.5646573 41.4957369
"Clyde Public Library" "222 W. Buckeye St." "Clyde" "OH" "43410" -82.977622 41.303849
"Coldwater Public Library" "305 W. Main St." "Coldwater" "OH" "45828" -84.631286 40.479586
"Columbiana Public Library" "332 N. Middle St." "Columbiana" "OH" "44408" -80.6960003 40.8937986
"Columbus Metropolitan Library" "96 S. Grant Avenue" "Columbus" "OH" "43215" -82.9894763 39.961237
"Conneaut Public Library" "304 Buffalo Street" "Conneaut" "OH" "44030" -80.556753 41.9452811
"Coshocton Public Library" "655 Main St." "Coshocton" "OH" "43812" -81.8597892 40.2730619
"J.R. Clarke Public Library" "102 E. Spring St." "Covington" "OH" "45318" -84.353151 40.117014
"Crestline Public Library" "324 N. Thoman St." "Crestline" "OH" "44827" -82.7390659 40.787185
"Cuyahoga County Public Library" "2111 Snow Rd." "Cuy. Co.-Parma" "OH" "44134" -81.6973464 41.4029292
"Cuyahoga Falls Library" "2015 Third St." "Cuyahoga Falls" "OH" "44221" -81.4854053 41.1347382
"Dayton Metro Library" "215 E. Third St." "Dayton" "OH" "45402" -84.1878269 39.7605486
"Defiance Public Library" "320 Fort St." "Defiance" "OH" "43512" -84.3579676 41.2876669
"Delaware County District Library" "84 E. Winter St." "Delaware" "OH" "43015" -83.0649228 40.2996717
"Delphos Public Library" "309 W. 2nd St." "Delphos" "OH" "45833" -84.3429129 40.8433665
"Delta Public Library" "402 Main St." "Delta" "OH" "43515" -84.00585 41.57355
"Patrick Henry School District Public Library" "208 N. East Ave." "Deshler" "OH" "43516" -83.898822 41.2075574
"Dover Public Library" "525 N. Walnut St." "Dover" "OH" "44622" -81.4808174 40.5242865
"Hardin Northern Public Library" "153 N. Main St." "Dunkirk" "OH" "45836" -83.6435769 40.788867
"East Cleveland Public Library" "14101 Euclid Ave." "East Cleveland" "OH" "44112" -81.5847901 41.5283383
"Carnegie Public Library" "219 E. Fourth St." "East Liverpool" "OH" "43920" -80.5775782 40.617797
"East Palestine Memorial Public Library" "309 N. Market St." "East Palestine" "OH" "44413" -80.5402727 40.8367874
"Preble County District Library" "450 S. Barron St." "Eaton" "OH" "45320" -84.6359226 39.7387265
"Harris-Elmore Public Library" "328 Toledo St." "Elmore" "OH" "43416" -83.2938902 41.4752021
"Elyria Public Library" "320 Washington Ave." "Elyria" "OH" "44035" -82.1070455 41.3725911
"Euclid Public Library" "631 E. 222nd St." "Euclid" "OH" "44123" -81.5257873 41.597965
