"Library Name" "Address" "City" "State" "ZIP Code" "Latitude" "Longitude"
"Ada Public Library" "124 S. Rennie" "Ada" "OK" "74820" -96.676739 34.7737672
"Allen Public Library" "214 East Broadway" "Allen" "OK" "74825" -96.4143919 34.8791307
"Altus Public Library" "421 N. Hudson" "Altus" "OK" "" -99.3352599 34.6415178
"Alva Public Library" "504 Seventh Street" "Alva" "OK" "73717" -98.6684541 36.8036147
"Anadarko Community Library" "215 W Broadway" "Anadarko" "OK" "73005" -98.2460605 35.0750952
"Antlers Public Library" "104 S.E. 2nd Street" "Antlers" "OK" "74523" -95.6202779 34.2302708
"Apache Public Library" "111 E. Evans" "Apache" "OK" "73006" -98.3653748 34.8935279
"Ardmore Public Library" "320 E Street Nw" "Ardmore" "OK" "73401" -97.1240599 34.1651411
"Chickasaw Regional Library System" "601 Railway Express" "Ardmore" "OK" "73401" -97.16386 34.1702717
"Arkoma Public Library" "101 Main Street" "Arkoma" "OK" "74901" -94.4327909 35.3612585
"Atoka County Library" "215 East A Street" "Atoka" "OK" "" -96.1263353 34.3869623
"Barnsdall - Ethel Briggs Memorial Library" "410 S Fifth" "Barnsdall" "OK" "74002" -96.16181 36.5598611
"Bartlesville Public Library" "600 S Johnstone" "Bartlesville" "OK" "74003" -95.9778918 36.7470642
"Beaver County Pioneer Library" "201 Douglas Ave" "Beaver" "OK" "73932" -100.5195515 36.8130158
"Bethany Public Library" "3510 N Mueller" "Bethany" "OK" "" -97.6321846 35.5063937
"Bixby Public Library" "20 E Breckenridge" "Bixby" "OK" "" -95.8828082 35.9412932
"Blackwell Public Library" "123 West Padon" "Blackwell" "OK" "74631" -97.2832885 36.8022781
"Blanchard Public Library" "205 NE 10th Street" "Blanchard" "OK" "73010" -97.6567979 35.1465516
"Soutar Memorial Library" "7 South Ellis Ave." "Boise City" "OK" "73933" -102.5175699 36.728688
"Boswell Reading Center" "610 Valliant" "Boswell" "OK" "74727" -95.868809 34.0285086
"Bristow - Montfort Allie Jones Mem Library" "111 W. 7th Ave" "Bristow" "OK" "74010" -96.391837 35.834119
"Broken Arrow Library" "300 W Broadway" "Broken Arrow" "OK" "" -95.7936721 36.0530385
"South Broken Arrow Library" "3600 S Chestnut" "Broken Arrow" "OK" "" -95.8184378 36.0166288
"Broken Bow Public Library" "404 N. Broadway" "Broken Bow" "OK" "" -94.7383008 34.0303894
"Buffalo Public Library" "11 E Turner" "Buffalo" "OK" "73834" -99.629283 36.8353458
"Carmen Public Library" "421 West Main Street" "Carmen" "OK" "73726" -98.4503031 36.5789127
"Carnegie Public Library" "22 S Broadway" "Carnegie" "OK" "73015" -98.6048684 35.1091339
"Catoosa Public Library" "105 E Oak" "Catoosa" "OK" "74015" -95.7459242 36.1855205
"Chandler Public Library" "1021 S Manvel" "Chandler" "OK" "74834" -96.8810955 35.6996601
"Checotah - Jim Lucas Checotah Public Library" "626 W Gentry" "Checotah" "OK" "" -95.5268063 35.4709721
"Jim Lucas Checotah Public Library" "626 West Gentry" "Checotah" "OK" "74426" -95.5268063 35.4709721
"Chelsea Public Library" "618 Pine Street" "Chelsea" "OK" "74016" -95.4326298 36.5352309
"Cherokee City- County Library" "123 South Grand" "Cherokee" "OK" "73728" -98.3571072 36.7571548
"Cheyenne - Minnie R Slief Memorial Library" "200 S. Don Cearlock" "Cheyenne" "OK" "" -99.6714939 35.6139371
"Minnie R Slief Library" "201 Don Cearlock Ave." "Cheyenne" "OK" "73628" -99.6730936 35.6145
"Chickasha Public Library" "527 Iowa Avenue" "Chickasha" "OK" "73018" -97.9393602 35.0472959
"Choctaw Library" "2525 North Muzzy" "Choctaw" "OK" "" -97.2698985 35.4949388
"Claremore - Will Rogers Library" "1515 North Florence Ave" "Claremore" "OK" "74017" -95.6043392 36.324997
"Jay C. Byers Memorial Library" "215 E. Wichita" "Cleveland" "OK" "74020" -96.4620167 36.3111535
"Bookmobile" "501 S. 28th St." "Clinton" "OK" "73601" -98.9932756 35.5080539
"Clinton Public Library" "721 Frisco" "Clinton" "OK" "" -98.9691702 35.5144006
"Western Plains Library System" "501 S 28th Street" "Clinton" "OK" "73601" -98.9932756 35.5080539
"Coal County Public Library" "115 W. Ohio" "Coalgate" "OK" "" -96.2198239 34.5395491
"Collinsville Library" "1223 Main" "Collinsville" "OK" "" -95.8401929 36.3642547
"Cordell Public Library" "208 S College" "Cordell" "OK" "" -98.9903168 35.2900978
"Coweta Public Library" "120 East Sycamore" "Coweta" "OK" "74429" -95.6495721 35.9506796
"Crescent Community Library" "205 N. Grand" "Crescent" "OK" "73028" -97.5955444 35.9537028
"Cushing Public Library" "215 North Steele" "Cushing" "OK" "74023" -96.769064 35.981194
"Davis Public Library" "209 E Benton" "Davis" "OK" "" -97.1205208 34.5058107
"Del City Branch Library" "4509 S E 15" "Del City" "OK" "" -97.436221 35.4504741
"Dewey - Tyler Memorial Library" "821 N Shawnee" "Dewey" "OK" "74029" -95.93693 36.7993799
"Drumright Public Library" "104 East Broadway" "Drumright" "OK" "74030" -96.6012371 35.9884947
"Duncan Public Library" "2211 N. Highway 81" "Duncan" "OK" "73533" -97.9676563 34.5729792
"Durant - Robert L Williams Public Library" "323 West Beech" "Durant" "OK" "74701" -96.3786499 33.993338
"Edmond Branch Library" "10 S Boulevard" "Edmond" "OK" "" -97.4778451 35.6544931
"El Reno Carnegie Library" "215 E Wade" "El Reno" "OK" "73036" -97.9525111 35.5313956
"Elk City Carnegie Library" "221 West Broadway" "Elk City" "OK" "73644" -99.40679 35.4107039
"Enid-Public Library Of Enid And Garfield Co" "120 West Maine" "Enid" "OK" "73701" -97.8791617 36.395798
"Eufaula Memorial Library" "301 South First St." "Eufaula" "OK" "74432" -95.583636 35.284101
"Fairfax Public Library" "158 East Elm" "Fairfax" "OK" "74637" -96.7034798 36.573425
"Fairview City Library" "115 S. 6th" "Fairview" "OK" "73737" -98.4785656 36.2689008
"Frederick Public Library" "200 East Grand" "Frederick" "OK" "73542" -99.0157154 34.3896345
"Ft. Gibson - Q.B. Boydstun Library" "200 Hickory" "Ft. Gibson" "OK" "" -95.2501315 35.7989423
"Q. B. Boydstun Library" "201 E. South Ave." "Ft. Gibson" "OK" "74434" -95.2463832 35.7925877
"Geary Public Library" "106 Main St" "Geary" "OK" "73040" -98.317909 35.630653
"Glenpool Library" "730 E 141 St" "Glenpool" "OK" "" -95.9990339 35.9587531
"Grandfield Public Library" "101 W 2nd" "Grandfield" "OK" "73546" -98.6883331 34.230798
"Grove Public Library" "1140 Neo Loop" "Grove" "OK" "" -94.7538689 36.5848966
"Guthrie Public Library" "201 N Division" "Guthrie" "OK" "73044" -97.327478 35.66331
"Guymon Public Library" "206 Nw 5th Street" "Guymon" "OK" "73942" -101.4831919 36.6828795
"Harrah Public Library" "1971 N Church Ave" "Harrah" "OK" "" -97.1623813 35.4882331
"Hartshorne Public Library" "720 Penn Avenue" "Hartshorne" "OK" "" -95.5612438 34.8464974
"Haskell - Rieger Memorial Library" "116 N Broadway" "Haskell" "OK" "" -95.6749797 35.8187687
"Rieger Memorial Library" "116 North Broadway" "Haskell" "OK" "74436" -95.6749797 35.8187687
"Healdton Community Library" "18 South 4th" "Healdton" "OK" "" -97.4877458 34.2244447
"Heavener Public Library" "203 East Ave C" "Heavener" "OK" "" -94.6006952 34.8895732
"Hennessey Public Library" "525 S. Main" "Hennessey" "OK" "73742" -97.8986826 36.1045822
"Henryetta Public Library" "518 W. Main" "Henryetta" "OK" "74437" -95.9880824 35.4400664
"Hinton - Norman Smith Memorial Library" "115 E Main" "Hinton" "OK" "73047" -98.3548517 35.4714068
"Hobart Public Library" "200 S Main" "Hobart" "OK" "73651" -99.092875 35.027009
"Holdenville - Grace Pickens Public Library" "209 E 9th" "Holdenville" "OK" "74848" -96.3975949 35.0837278
"Hollis Public Library" "201 W. Broadway" "Hollis" "OK" "" -99.9198958 34.6817653
"Hominy Public Library" "121 West Main" "Hominy" "OK" "74035" -96.3950857 36.4159122
"Hooker - Olive Warner Memorial Library" "111 S Broadway" "Hooker" "OK" "73945" -101.2138842 36.8607012
"Hugo - Choctaw County Public Library" "208 E Jefferson" "Hugo" "OK" "" -95.5115485 34.0087343
"Hulbert Community Library" "210 North Broadway" "Hulbert" "OK" "74441" -95.1438145 35.9327417
"Hydro Public Library" "518 S. Broadway" "Hydro" "OK" "73048" -98.5770611 35.5494605
"Idabel Public Library" "103 East Main" "Idabel" "OK" "74745" -94.8267105 33.8954897
"Inola Public Library" "15 North Broadway" "Inola" "OK" "74036" -95.509764 36.152159
"Delaware County Library" "429 South 9th St." "Jay" "OK" "74346" -94.8027158 36.4196701
"Jay - Delaware County Library" "429 So. 9th" "Jay" "OK" "" -94.8027158 36.4196701
"Jenks Library" "523 West B St" "Jenks" "OK" "" -95.9754855 36.0249169
"Jones Library" "111 E. Main" "Jones" "OK" "" -97.2859199 35.5658504
"Kansas Public Library" "200 West Tulsa Avenue" "Kansas" "OK" "74347" -94.7999176 36.205184
"Kaw City - J.A. Walker Memorial Library" "900 Morgan Square" "Kaw City" "OK" "74641" -96.8597615 36.7659857
"Kellyville Public Library" "230 E Buffalo" "Kellyville" "OK" "74039" -96.213669 35.943391
"Kingfisher Memorial Library" "505 West Will Rogers" "Kingfisher" "OK" "73750" -97.9370797 35.842227
