"Library Name" "Address" "City" "State" "ZIP Code" "Latitude" "Longitude"
"Abington Township Public Library" "1030 Old York Rd" "Abington" "PA" "19001" -75.1235584 40.1126463
"Adamstown Area Library" "3000 North Reading Road Route 272" "Adamstown" "PA" "19501" -76.058301 40.241001
"Albion Area Public Library" "111 East Pearl Street" "Albion" "PA" "16401" -80.361212 41.891895
"Beaver County Library System" "109 Pleasant Drive, Suite 101" "Aliqiuipa" "PA" "15001" -80.31599 40.6338114
"B F Jones Memorial Library" "663 Franklin Ave" "Aliquippa" "PA" "15001" -80.2511954 40.6134127
"Center Express Branch Library" "109 Pleasant Dr Suite 101" "Aliquippa" "PA" "15001" -80.31599 40.6338114
"Allentown Public Library" "1210 Hamilton St" "Allentown" "PA" "18102" -75.4821354 40.5989864
"Parkland Community Library" "4422 Walbert Avenue" "Allentown" "PA" "18104" -75.5648838 40.6112425
"Hampton Community Library" "3101 Mccully Road" "Allison Park" "PA" "15101" -79.9337361 40.5855956
"Altoona Area Public Library" "1600 Fifth Avenue" "Altoona" "PA" "16602" -78.3992939 40.5081781
"Laughlin Memorial Free Library" "99 Eleventh St" "Ambridge" "PA" "15003" -80.2318268 40.593035
"Annville Free Library" "216 E Main St" "Annville" "PA" "17003" -76.5120963 40.3296151
"Apollo Memorial Library" "219 North Pennsylvania Ave" "Apollo" "PA" "15613" -79.565709 40.583899
"Ardmore Library" "108 Ardmore Avenue" "Ardmore" "PA" "19003" -75.2961022 40.0076114
"Lower Merion Library System" "75 East Lancaster Ave" "Ardmore" "PA" "19003" -75.2879292 40.0069062
"Ashland Public Library" "1229 Centre St" "Ashland" "PA" "17921" -76.3466124 40.7817434
"Aston Public Library" "3270 Concord Road" "Aston" "PA" "19014" -75.4207322 39.8676189
"Atglen Public Library" "413 Valley Avenue" "Atglen" "PA" "19310" -75.9748478 39.9490837
"Spalding Memorial Library" "724 S Main St" "Athens" "PA" "18810" -76.5163844 41.951244
"Avalon Public Library" "317 South Home Ave." "Avalon" "PA" "15202" -80.0628739 40.497138
"Avella Area Library Center" "11 School Court" "Avella" "PA" "15312" -80.4657288 40.2724814
"Avonmore Public Library" "619 Allegheny Ave" "Avonmore" "PA" "15618" -79.462086 40.528756
"Baden Memorial Library" "385 State St" "Baden" "PA" "15005" -80.2284317 40.6352792
"Bala Cynwyd Library" "131 Old Lancaster Road" "Bala Cynwyd" "PA" "19004" -75.2391061 40.0017321
"Belmont Hills Library" "120 Mary Watersford Road" "Bala Cynwyd" "PA" "19004" -75.2404821 40.0239202
"Bangor Public Library" "39 South Main St" "Bangor" "PA" "18013" -75.2042061 40.8659374
"Beaver Area Memorial Library" "100 College Ave" "Beaver" "PA" "15009" -80.3019072 40.6923412
"Beaver County Bookmobile Schedule" "2811 Darlington Road" "Beaver Falls" "PA" "15010" -80.393743 40.779182
"Carnegie Free Library - Beaver Falls" "1301 7th Ave" "Beaver Falls" "PA" "15010" -80.319904 40.7542516
"Beaverdale Public Library" "506 Jefferson Ave" "Beaverdale" "PA" "15921" -78.6993342 40.3206304
"Beavertown Community Library" "111 W. Walnut Street" "Beavertown" "PA" "17813" -77.170823 40.754919
"Bedford County Library" "240 South Wood Street" "Bedford" "PA" "15522" -78.4958587 40.0168549
"Friendship Library" "P.O. Box 478" "Beech Creek" "PA" "16822" -77.5886026 41.0758987
"Belle Vernon Public Library" "505 Speer St" "Belle Vernon" "PA" "15012" -79.8658062 40.1296649
"Rostraver Public Library" "700 Plaza Drive" "Belle Vernon" "PA" "15012" -79.8097315 40.1871024
"Centre County Library Historical Museum" "203 North Allegheny St" "Bellefonte" "PA" "16823" -77.7784345 40.9134626
"Andrew Bayne Memorial Library" "34 North Balph Ave" "Bellevue" "PA" "15202" -80.0543584 40.4964671
"Bellwood Antis Public Library" "526 Main St" "Bellwood" "PA" "16617" -78.3322686 40.6013094
"Bucks County Free Library - Bensalem Branch" "3700 Hulmeville Road" "Bensalem" "PA" "19020" -74.9391947 40.1069454
"Bentleyville Public Library" "931 Main St" "Bentleyville" "PA" "15314" -80.0054704 40.1224205
"Bernville Area Community Library" "6721 Bernville Rd." "Bernville" "PA" "19506" -76.1191858 40.4392671
"Mcbride Memorial Library" "500 Market Street" "Berwick" "PA" "18603" -76.2361548 41.0578869
"Easttown Library Info Center" "720 First Avenue" "Berwyn" "PA" "19312" -75.4414224 40.0440902
"F D Campbell Memorial Library" "17 South Main Street" "Bessemer" "PA" "16112" -80.4937824 40.9735717
"Bethany Public Library" "8 Court Street" "Bethany" "PA" "18431" -75.2846471 41.6142178
"Bethel-Tulpehocken Public Library" "8601 Lancaster Ave" "Bethel" "PA" "19507" -76.294691 40.4776216
"Bethel Park Public Library" "5100 West Library Ave" "Bethel Park" "PA" "15102" -80.0314612 40.3325638
"Bethlehem Area Public Library" "11 West Church St" "Bethlehem" "PA" "18018" -75.3790404 40.6183089
"Harbaugh Thomas Library" "59 W. York Street" "Biglerville" "PA" "17307" -77.249623 39.930603
"Boone Area Library" "129 N. Mill St." "Birdsboro" "PA" "19508" -75.806295 40.264902
"Burrell Township Library" "190 Park Drive" "Black Lick" "PA" "15716" -79.1919744 40.4726864
"Community Library Of Western Perry County" "104 E. Main St." "Blain" "PA" "17006" -77.5103186 40.3362689
"Blairsville Public Library" "113 N. Walnut St." "Blairsville" "PA" "15717" -79.264707 40.4320297
"Bloomsburg Public Library" "225 Market St" "Bloomsburg" "PA" "17815" -76.45721 41.002346
"Columbia County Traveling Library Authority" "15 Perry Ave" "Bloomsburg" "PA" "17815" -76.477426 40.995271
"Blossburg Memorial Library" "307 Main St" "Blossburg" "PA" "16912" -77.065022 41.681626
"Wissahickon Valley Pub Library" "650 Skippack Pike" "Blue Bell" "PA" "19422" -75.2691337 40.1529973
"Blue Ridge Summit Free Library" "P.O. Box 34" "Blue Ridge Summit" "PA" "17214" -77.4713782 39.7242616
"Boyertown Community Library" "29 E Philadelphia Ave" "Boyertown" "PA" "19512" -75.6363833 40.3332182
"Braddock Carnegie Library" "419 Library Street" "Braddock" "PA" "15104" -79.8655137 40.4018615
"Bradford Area Public Library" "67 W Washington St" "Bradford" "PA" "16701" -78.654258 41.957172
"Bridgeville Public Library" "441 Station St" "Bridgeville" "PA" "15017" -80.110759 40.3580759
"Bucks County Free Library - Margaret R. Grundy Memorial Library" "680 Radcliffe Street" "Bristol" "PA" "19007" -74.8500349 40.0977266
"Mengle Memorial Library" "324 Main Street" "Brockway" "PA" "15824" -78.8004695 41.2493254
"Western Pocono Community Library" "2000 Pilgrim Way" "Brodheadsville" "PA" "18322" -75.4074556 40.9277359
"Rebecca M Arthurs Memorial Library" "223 Valley St" "Brookville" "PA" "15825" -79.085642 41.166027
"Brownsville Free Public Library" "100 Seneca St" "Brownsville" "PA" "15417" -79.887052 40.02135
"Ludington Library" "5. S. Bryn Mawr Avenue" "Bryn Mawr" "PA" "19010" -75.3176323 40.0207672
"Burgettstown Community Library" "2 Kerr St" "Burgettstown" "PA" "15021" -80.3897898 40.3792385
"Butler Area Public Library" "218 North Mckean St" "Butler" "PA" "16001" -79.8936928 40.85918
"Butler County Federated Library System" "218 N. Mckean St." "Butler" "PA" "16001" -79.8940295 40.8630688
"California Area Public Library" "100 Wood Street" "California" "PA" "15419" -79.889051 40.0682626
"Cambridge Springs Public Library" "158 Mcclellan St" "Cambridge Springs" "PA" "16403" -80.0541208 41.8059406
"Pine Creek Link" "145 Railroad St." "Cammal" "PA" "17723" -77.4613249 41.4020429
"Cleve J. Fredricksen Library" "100 North 19th Street" "Camp Hill" "PA" "17011" -76.9169945 40.2416644
"Greater Canonsburg Pub Library" "68 East Pike St" "Canonsburg" "PA" "15317" -80.1848399 40.2588002
"Green Free Library" "14 North Center St" "Canton" "PA" "17724" -76.851604 41.6544899
"Carbondale Public Library" "5 North Main St" "Carbondale" "PA" "18407" -75.5308043 41.5505902
"Bosler Free Library" "158 West High St" "Carlisle" "PA" "17013" -77.193362 40.2015629
"Flenniken Public Library" "102 East George St" "Carmichaels" "PA" "15320" -79.9746117 39.8974965
"Andrew Carnegie Free Library" "300 Beechwood Ave" "Carnegie" "PA" "15106" -80.0857689 40.4068031
"Carrolltown Public Library" "140 East Carroll Street" "Carrolltown" "PA" "15722" -78.7056212 40.6028277
"Community Library Of Castle Shannon" "3677 Myrtle Ave" "Castle Shannon" "PA" "15234" -80.0222582 40.3677735
"Catasauqua Public Library" "PO Box 127" "Catasauqua" "PA" "18032" -75.4746273 40.6548191
"Southern Lehigh Public Library" "3200 Preston Lane" "Center Valley" "PA" "18034" -75.3885183 40.5359812
"Coyle Free Library" "102 North Main St" "Chambersburg" "PA" "17201" -77.6606277 39.9392327
"Franklin County Library System" "101 Ragged Edge Road South" "Chambersburg" "PA" "17201" -77.5927888 39.918467
"Franklin County Library System Bookmobile - Outreach" "101 Ragged Edge Rd S" "Chambersburg" "PA" "17202" -77.5927888 39.918467
"Grove Family Library" "101 Ragged Edge Rd South" "Chambersburg" "PA" "17202" -77.5927888 39.918467
"John K Tener Library" "638 Fallowfield Ave" "Charleroi" "PA" "15022" -79.9002326 40.1397828
"J. Lewis Crozer Library" "620 Engle St" "Chester" "PA" "19013" -75.3876369 39.837908
"Chester Springs Library" "1685a Art School Road" "Chester Springs" "PA" "19425" -75.6221908 40.1002579
"Moores Memorial Library" "326 N Bridge St" "Christiana" "PA" "17509" -75.99789 39.95852
"Clairton Public Library" "616 Miller Ave" "Clairton" "PA" "15025" -79.883347 40.291923
"Clarion County Library System" "644 Main Street" "Clarion" "PA" "" -79.3828902 41.2132202
"Clarion Free Library" "644 Main St." "Clarion" "PA" "16214" -79.3828902 41.2132202
"Abington Community Library" "1200 West Grove Street" "Clarks Summit" "PA" "18411" -75.7187334 41.4855315
"Claysburg Area Public Library Inc" "p.o.box 189" "Claysburg" "PA" "16625" -78.449737 40.2967427
"Joseph Elizabeth Shaw Library" "1 South Front St" "Clearfield" "PA" "16830" -78.440443 41.021769
"Coatesville Area Public Library" "501 E Lincoln Highway" "Coatesville" "PA" "19320" -75.815943 39.9845692
"Cochranton Area Public Library" "107 Pine St" "Cochranton" "PA" "16314" -80.0494971 41.5186734
"Collingdale Public Library" "823 Macdade Blvd" "Collingdale" "PA" "19023" -75.2786294 39.9114857
"Columbia Public Library" "24 South Sixth St" "Columbia" "PA" "17512" -76.4976454 40.0344807
"Margaret Shontz Memorial Library" "145 Second St" "Conneaut Lake" "PA" "16316" -80.3028767 41.603903
"James A Stone Memorial Library" "1101 Main Street" "Conneautville" "PA" "16406" -80.3625827 41.7506457
"Carnegie Free Library - Connellsville" "299 S Pittsburgh St" "Connellsville" "PA" "15425" -79.588255 40.015774
"Conshohocken Free Library" "301 Fayette Street" "Conshohocken" "PA" "19428" -75.3041448 40.0754865
"Cooperstown Public Library" "182 N. Main Street" "Cooperstown" "PA" "16317" -79.873376 41.5009049
"Coplay Public Library" "49 South Fifth St" "Coplay" "PA" "18037" -75.4935976 40.6702101
"Coraopolis Memorial Library" "601 School St" "Coraopolis" "PA" "15108" -80.1618972 40.5153648
"Corry Public Library" "117 W Washington St." "Corry" "PA" "16407" -79.643264 41.922042
"Coudersport Public Library" "502 Park Ave" "Coudersport" "PA" "16915" -78.0142413 41.7722986
"Potter-Tioga Library System" "502 Park Avenue" "Coudersport" "PA" "16915" -78.0142413 41.7722986
"Cranberry Public Library" "2525 Rochester Rd Suite 300" "Cranberry Twp" "PA" "16066" -80.1079972 40.6979597
"Barrett Paradise Friendly Library" "box 1010" "Cresco" "PA" "18326" -75.2804597 41.1539795
"Cresson Public Library" "231 Laurel Ave" "Cresson" "PA" "16630" -78.5890096 40.4621559
"Clearfield County Public Library" "601 Beech St" "Curwensville" "PA" "16833" -78.520911 40.96738
"Back Mountain Memorial Library" "96 Huntsville Rd" "Dallas" "PA" "18612" -75.961105 41.332788
"Dalton Community Library" "113 East Main St" "Dalton" "PA" "18414" -75.737001 41.5348034
"Thomas Beaver Free Library" "205 Ferry Street" "Danville" "PA" "17821" -76.6174145 40.9601684
"Darby Library" "1001 Main St" "Darby" "PA" "19023" -75.2630932 39.9202416
"Brownfield Community Public Library" "291 Banning Road" "Dawson" "PA" "15428" -79.660309 40.063382
"Delmont Public Library" "77 Greensburg St" "Delmont" "PA" "15626" -79.5717216 40.4104416
"Caldwell Memorial Library" "988 N Chestnut St Ext" "Derry" "PA" "15627" -77.5601914 40.6019208
"Dillsburg Area Public Library" "17 South Baltimore Street" "Dillsburg" "PA" "17019" -77.035075 40.110499
"Donora Public Library" "510 Meldon Ave" "Donora" "PA" "15033" -79.8554659 40.1763552
"Dover Area Community Library" "3700-3 Davidsburg Rd." "Dover" "PA" "17315" -76.8368445 39.9793662
"Downingtown Library Company" "330 East Lancaster Ave" "Downingtown" "PA" "19335" -75.6984148 40.0083179
"Bucks County Free Library - Doylestown District Center Library" "150 South Pine St" "Doylestown" "PA" "18901" -75.1254169 40.3081779
"Dubois Public Library" "31 S Brady St" "Dubois" "PA" "15801" -78.7627449 41.1178349
"Dunbar Community Library" "60 Connellsville Street" "Dunbar" "PA" "15431" -79.6158167 39.9751937
"Carnegie Library Of Mckeesport - Duquesne" "300 Kennedy Avenue" "Duquesne" "PA" "15110" -79.8474576 40.371674
"Sullivan County Library" "206 Center Street" "Dushore" "PA" "18614" -76.4021526 41.5240441
"Lower Providence Community Library" "50 Parklane Dr" "Eagleville" "PA" "19403" -75.4077748 40.162357
"East Berlin Community Library" "105 Locust Street" "East Berlin" "PA" "17316" -76.980283 39.937131
"Easton Area Public Library" "515 Church St" "Easton" "PA" "18042" -75.2136442 40.6921216
"Mary Meuser Memorial Library" "1803 Northampton St" "Easton" "PA" "18042" -75.237458 40.6898536
"Ebensburg Free Public Library" "225 W Highland Ave" "Ebensburg" "PA" "15931" -78.7262587 40.4897555
"Carnegie Library Of Mckeesport - Elizabeth Forward" "401 Rock Run Road" "Elizabeth" "PA" "15037" -79.8258168 40.2762391
"Elizabethtown Public Library" "10 South Market Street" "Elizabethtown" "PA" "17022" -76.6059922 40.1509426
"Elizabethville Area Library" "80 North Market Street" "Elizabethville" "PA" "17023" -76.8132583 40.551544
"Elkland Area Community Library" "110 E Parkway Ave" "Elkland" "PA" "16920" -77.3112773 41.9922895
"Ellwood City Area Pub Library" "510 Crescent Ave" "Ellwood City" "PA" "16117" -80.2881293 40.8574185
"Ralpho Township Public Library" "206 S. Market St. Suite 6" "Elysburg" "PA" "17824" -76.5431906 40.8549437
"Emmaus Public Library" "11 East Main St" "Emmaus" "PA" "18049" -75.4868087 40.5412001
"Barbara Moscato Brown Memorial Library" "27 West 4th. Street" "Emporium" "PA" "15834" -78.2388089 41.5114544
"Ephrata Public Library" "550 South Reading Rd" "Ephrata" "PA" "17522" -76.195363 40.1734291
"Tinicum Memorial Public Library" "620 Seneca St" "Essington" "PA" "19029" -75.2932789 39.8686191
"Red Land Community Library" "48 Robin Hood Dr" "Etters" "PA" "17319" -76.8202061 40.1546834
"Evans City Public Library" "204 S. Jackson Street" "Evans City" "PA" "16033" -80.061144 40.7680603
"Everett Free Library" "137 East Main St" "Everett" "PA" "15537" -78.3709844 40.0118461
"Chester County Library" "450 Exton Square Parkway" "Exton" "PA" "19341" -75.620791 40.0321235
"Factoryville Public Library" "163 College Avenue" "Factoryville" "PA" "18419" -75.7871765 41.5677846
"Bucks County Free Library - Fallsington Library" "139 Yardley Avenue" "Fallsington" "PA" "19054" -74.8191157 40.1889659
"Stey Nevant Public Library" "1000 Roemer Blvd" "Farrell" "PA" "16121" -80.49652 41.2121627
"Bucks County Free Library - Township Library Of Lower Southampton (Feasterville)" "1983 Bridgetown Pike" "Feasterville" "PA" "19053" -74.9843816 40.1629324
"Fleetwood Area Public Library" "110 W Arch St" "Fleetwood" "PA" "19522" -75.82062 40.456103
"Borough Of Folcroft Public Library" "1725 Delmar Dr" "Folcroft" "PA" "19032" -75.2788707 39.8940724
"Folcroft Public Library" "1725 Delmar Drive" "Folcroft" "PA" "19032" -75.2788707 39.8940724
"Ridley Township Public Library" "100 E Macdade Blvd" "Folsom" "PA" "19033" -75.3293095 39.8863533
"Ford City Public Library" "1136 Fourth Ave" "Ford City" "PA" "16226" -79.5284435 40.7734924
"Susquehanna County Library - Forest City Branch Library" "531 Main St." "Forest City" "PA" "18421" -75.4663432 41.6496187
"Fort Loudon Community Library" "210 Mullen Street" "Fort Loudon" "PA" "17224" -77.906399 39.9151728
"Upper Dublin Public Library" "805 Loch Alsh Ave" "Fort Washington" "PA" "19034" -75.201349 40.1524351
"Foxburg Free Library Association" "31 Main Street" "Foxburg" "PA" "16036" -79.6789576 41.1400902
"Frackville Free Public Library" "56 N. Lehigh Avenue" "Frackville" "PA" "17931" -76.2314007 40.785938
"Frackville Free Public Library" "56 North Lehigh Avenue" "Frackville" "PA" "17931" -76.2314007 40.785938
"Franklin Public Library" "421 12th St" "Franklin" "PA" "16323" -79.8284327 41.3964616
"Matthews Public Library" "102 West Main Street" "Fredericksburg" "PA" "17026" -76.431106 40.444533
"Fredericktown Area Public Library" "38 Water St." "Fredericktown" "PA" "15333" -79.9966885 39.9997947
"Galeton Public Library" "5 Park Lane" "Galeton" "PA" "16922" -77.6471026 41.7343747
"Gallitzin Public Library" "411 Convent Street, Suite 30" "Gallitzin" "PA" "16641" -78.5516773 40.4822122
"Pequea Valley Public Library - Gap Branch" "875 Houston Run Dr., Suite 220" "Gap" "PA" "17527" -76.0382282 39.9866028
"Genesee Area Library" "301 Main Street" "Genesee" "PA" "16923" -77.86972 41.9908078
"Adams County Library System" "140 Baltimore St" "Gettysburg" "PA" "17325" -77.2307074 39.8288113
"Northern Tier Regional Library - Pine Center" "700 Warrendale Road" "Gibsonia" "PA" "15044" -80.014114 40.658544
