"Library Name" "Address" "City" "State" "ZIP Code" "Latitude" "Longitude"
"Barrington Public Library" "281 County Road" "Barrington" "RI" "02806" -71.3071069 41.7404848
"Rogers Free Library" "525 Hope Street" "Bristol" "RI" "02809" -71.277086 41.671259
"Jesse M. Smith Memorial Library" "100 Tinkham Lane" "Burrillville" "RI" "02830" -71.6745487 41.964994
"Central Falls Free Public Library" "205 Central Street" "Central Falls" "RI" "02863" -71.38787 41.8858842
"Cross Mills Public Library" "4417 Old Post Road" "Charlestown" "RI" "02813" -71.6408378 41.3825525
"Coventry Public Library" "1672 Flat River Road" "Coventry" "RI" "02816" -71.5929287 41.7001867
"Arlington Branch" "1064 Cranston St., Cranston, Ri 02920" "Cranston" "RI" "" -71.4480209 41.7973868
"Auburn Branch" "396 Pontiac Ave., Cranston, Ri 02910" "Cranston" "RI" "" -71.4372417 41.7770303
"Cranston Public Library" "140 Sockanosset Cross Road" "Cranston" "RI" "02920" -71.456979 41.754401
"Knightsville Branch" "1847 Cranston St., Cranston, Ri 02920" "Cranston" "RI" "" -71.4670533 41.7787519
"Oak Lawn Branch" "230 Wilbur Ave., Cranston, Ri 02920" "Cranston" "RI" "" -71.4863869 41.7496856
"William Hall Library" "1825 Broad St., Cranston, Ri 02905" "Cranston" "RI" "" -71.3997855 41.7754389
"Cumberland Public Library" "1464 Diamond Hill Road" "Cumberland" "RI" "02864" -71.4042438 41.9340888
"East Greenwich Free Library" "82 Peirce Street" "East Greenwich" "RI" "02818" -71.4508134 41.6613663
"East Providence Public Library" "41 Grove Avenue" "East Providence" "RI" "02914" -71.375259 41.818466
"Fuller Branch" "260 Dover Ave., East Providence, Ri 02914" "East Providence" "RI" "" -71.358963 41.803654
"Riverside Branch" "475 Bullocks Point Avenue, Riverside, Ri 02915" "East Providence" "RI" "" -71.3615243 41.7654741
"Exeter Public Library" "773 Ten Rod Road" "Exeter" "RI" "02822" -71.5871447 41.5802329
"Foster Public Library" "184 Howard Hill Road" "Foster" "RI" "02825" -71.7227416 41.7706194
"Tyler Free Library" "81a Moosup Valley Rd., Foster, Ri 02825" "Foster" "RI" "" -71.752722 41.736232
"Glocester Manton Free Public Library" "1137 Putnam Pike" "Glocester" "RI" "02814" -71.668492 41.911793
"Harmony Library" "195 Putnam Pike" "Glocester" "RI" "02829" -71.595937 41.888566
"Greene Public Library" "179 Hopkins Hollow Road" "Greene" "RI" "02827" -71.749493 41.688079
"Ashaway Free Library" "15 Knight Street" "Hopkinton" "RI" "02804" -71.7883601 41.4243566
"Langworthy Public Library" "24 Spring Street" "Hopkinton" "RI" "02832" -71.7180055 41.5088603
"Jamestown Philomenian Library" "26 North Road" "Jamestown" "RI" "02835" -71.3741462 41.4976298
"Marian J. Mohr Memorial Library" "1 Memorial Avenue" "Johnston" "RI" "02919" -71.5023777 41.8305254
"Kingston Free Library" "2605 Kingstown Rd., Kingston, Ri 02881" "Kingston" "RI" "" -71.525217 41.480657
"Lincoln Public Library" "145 Old River Road" "Lincoln" "RI" "02865" -71.4528456 41.9380127
"Brownell Library, Home Of Little Compton" "44 Commons" "Little Compton" "RI" "02837" -71.170832 41.509954
"Middletown Public Library" "700 West Main Road" "Middletown" "RI" "02842" -71.2996047 41.5215957
"Narragansett Public Library" "35 Kingstown Road" "Narragansett" "RI" "02882" -71.4597953 41.431381
"Island Free Library" "po box 1830" "New Shoreham" "RI" "02807" -71.5576073 41.172137
"Newport Public Library" "300 Spring Street" "Newport" "RI" "02840" -71.3124233 41.4825897
"Davisville Free Library" "481 Davisville Road" "North Kingstown" "RI" "02852" -71.4774356 41.6166862
"North Kingstown Free Library" "100 Boone Street" "North Kingstown" "RI" "02852" -71.4560542 41.5701002
"Willett Free Library" "45 Ferry Road" "North Kingstown" "RI" "02874" -71.423812 41.507733
