"Library Name" "Address" "City" "State" "ZIP Code" "Latitude" "Longitude"
"Abbeville County Library System" "201 South Main Street" "Abbeville" "SC" "29620" -82.3774021 34.1763622
"Abbe Regional Library System" "314 Chesterfield Street Sw" "Aiken" "SC" "29801" -81.72089 33.5559839
"Aiken County Library" "314 Chesterfield Street, Sw" "Aiken" "SC" "29801" -81.72089 33.5559839
"Allendale County Library" "158 Mcnair Street" "Allendale" "SC" "29810" -81.3058622 33.012567
"Anderson County Library" "300 N Mcduffie Street" "Anderson" "SC" "29621" -82.6486189 34.5059588
"Anderson County Library - Westside Community Center Library" "1100 West Franklin Street" "Anderson" "SC" "" -82.6645758 34.496686
"Georgetown County Library - Andrews Branch Library" "105 North Morgan Avenue" "Andrews" "SC" "29510" -79.5606007 33.452608
"Horry County Memorial Library - Aynor Library" "500 9th Ave." "Aynor" "SC" "29511" -79.2000904 33.998338
"Bamberg County Public Library" "3156 Railroad Avenue" "Bamberg" "SC" "29003" -81.0328952 33.2971177
"Barnwell County Public Library" "40 Burr Street" "Barnwell" "SC" "29812" -81.3637954 33.2431932
"Lexington County Library - Batesburg-Leesville" "203 Armory Street" "Batesburg" "SC" "29006" -81.5349688 33.9180017
"Beaufort County Library" "311 Scott Street" "Beaufort" "SC" "29902" -80.6703411 32.4321848
"Anderson County Library - Belton Branch Library" "91 Breazeale Street" "Belton" "SC" "29627" -82.4951552 34.5238157
"Marian Wright Edelman Public Library" "203 Fayetteville Avenue" "Bennettsville" "SC" "29512" -79.681511 34.615317
"Marlboro County Library System" "200 John Corry Road" "Bennettsville" "SC" "29512" -79.6795881 34.6208539
"Bethune Public Library" "206 Main Street" "Bethune" "SC" "29009" -80.346491 34.4130193
"Lee County Public Library System" "200 North Main Street" "Bishopville" "SC" "29010" -80.2475013 34.2189073
"Blacksburg Library" "201 S. Rutherford Street" "Blacksburg" "SC" "29702" -81.5163253 35.1194052
"Barnwell County Public Library - Blackville Branch Library" "19420 Sol Blatt Avenue" "Blackville" "SC" "29817" -81.2705864 33.3600537
"Beaufort County Library - Bluffton Branch Library" "120 Palmetto Way" "Bluffton" "SC" "29910" -80.857213 32.241563
"Richland County Public Library - Blythewood Branch Library" "218 Mcnulty Road" "Blythewood" "SC" "29016" -80.9737568 34.2158626
"Spartanburg County Public Library - Boiling Springs Branch Library" "871 Double Bridge Road" "Boiling Springs" "SC" "29316" -81.9813689 35.0432841
"Abbeville County Library - Calhoun Falls Branch Library" "409 N. Tugaloo St." "Calhoun Falls" "SC" "29628" -82.5894391 34.090706
"Kershaw County Library - Camden Branch Library" "1304 Broad Street" "Camden" "SC" "29020" -80.6068821 34.2500021
"Kershaw County Library System" "632 W. Dekalb Street Suite 109" "Camden" "SC" "29020" -80.6087686 34.2465572
"Pickens County Library - Central-Clemson Branch Library" "105 Commons Way" "Central" "SC" "29630" -82.7890472 34.7139706
"Lexington County Library - Chapin" "129 N.W. Columbia Avenue" "Chapin" "SC" "29036" -81.3560149 34.1683179
"Berkeley County Library - Daniel Island" "2301 Daniel Island Drive" "Charleston" "SC" "29492" -79.9096206 32.8505269
