"Library Name" "Address" "City" "State" "ZIP Code" "Latitude" "Longitude"
"Alexander Mitchell Library" "519 South Kline Street" "Aberdeen" "SD" "57401" -98.4817774 45.4593757
"Alcester Public Library" "500 Dakota" "Alcester" "SD" "57001" -96.6295904 43.0247565
"Alexandria Public Library" "421 Main St" "Alexandria" "SD" "57311" -97.782819 43.6534446
"Arlington Community Library" "306 S. Main Street" "Arlington" "SD" "57212" -97.1378182 44.3616131
"Armour-Carnegie Public Library" "915 Main St" "Armour" "SD" "57313" -98.3465815 43.3200208
"Avon Public Library" "116 N. Main Street" "Avon" "SD" "57315" -98.0601595 43.0039048
"Baltic Branch Library" "po box 326" "Baltic" "SD" "" -96.7403289 43.7613629
"Belle Fourche Public Library" "905 5th Ave" "Belle Fourche" "SD" "57717" -103.8535926 44.6678162
"Beresford Public Library" "115 South Third Street" "Beresford" "SD" "57004" -96.7740582 43.0804491
"Grant County Mini Library" "655 Walnut St" "Big Stone City" "SD" "" -96.4649378 45.2941803
"Bison Public Library" "300 W Carr St" "Bison" "SD" "57620" -102.466429 45.5234886
"Bonesteel Public Library" "502 Central Ave" "Bonesteel" "SD" "57317" -98.9461488 43.0763153
"Reverend Martin Bieber Public Lib" "1075 3rd Ave N." "Bowdle" "SD" "57428" -99.65375 45.4522624
"Brandon Branch Library" "305 S Splitrock Blvd" "Brandon" "SD" "" -96.5737463 43.5923223
"Bristol Community-School Library" "500 South Third Street" "Bristol" "SD" "" -97.7486069 45.3423764
"Britton Public Library" "759 7th St" "Britton" "SD" "57430" -97.7516932 45.7920073
"Brookings Public Library" "515 Third Street" "Brookings" "SD" "57006" -96.7964233 44.3086057
"Northwest Regional Library" "410 Ramsland St" "Buffalo" "SD" "57720" -103.5493944 45.5833463
"Burke Public Library" "704 Main" "Burke" "SD" "57523" -99.2922024 43.1834537
"Canova Public Library" "111 W Main" "Canova" "SD" "57321" -97.5028745 43.8810938
"Canton Public Library" "225 N Broadway" "Canton" "SD" "57013" -96.592127 43.302193
"Carthage Public Library" "110 Main St." "Carthage" "SD" "57323" -97.7164228 44.1712274
"Castlewood Public Library" "po box 137" "Castlewood" "SD" "57223" -97.0300678 44.7227424
"Centerville Community Library" "421 Florida" "Centerville" "SD" "57014" -96.9569759 43.1193141
"Cozard Memorial Library" "110 E Lawler Ave" "Chamberlain" "SD" "57325" -99.3301549 43.8108942
"Delker Memorial Library" "400 4th St" "Chester" "SD" "57016" -96.9277021 43.8949055
"Emil M Larson Library" "120 N Commercial" "Clark" "SD" "57225" -97.7332993 44.8778945
"Clear Lake City Library" "125 3rd Ave S" "Clear Lake" "SD" "57226" -96.6825479 44.7569887
"Colman Branch Library" "po box 18" "Colman" "SD" "" -96.8144973 43.9824719
"Colome Branch Library" "po box 285" "Colome" "SD" "" -99.7151134 43.2605567
"Colton Branch Library" "po box 338" "Colton" "SD" "" -96.9275557 43.7860862
"Priscilla Club Library" "335 E Main St" "Corsica" "SD" "57328" -98.4062955 43.4236906
"Crooks Branch" "900 N West Ave" "Crooks" "SD" "" -96.810533 43.667202
"Custer County Library" "447 Crook Street Suite 4" "Custer" "SD" "57730" -103.601485 43.7675264
"Hazel L Meyer Memorial Library" "114 1st Street" "De Smet" "SD" "57231" -97.5491697 44.3873778
"Deadwood Public Library" "435 Williams St" "Deadwood" "SD" "57732" -103.729248 44.378819
"Dell Rapids Carnegie Public Library" "513 N Orleans" "Dell Rapids" "SD" "57022" -96.7102044 43.8243964
"Sherwood Memorial Library" "204 Humphrey Dr N" "Doland" "SD" "57436" -98.1018429 44.8904739
"Dakota Club Library" "219 Main" "Eagle Butte" "SD" "57625" -101.2347597 44.9968466
"Edgemont Public Library" "412 2nd Ave" "Edgemont" "SD" "57735" -103.8251846 43.30075
"Elk Point-Jefferson Community-School Li" "402 S Douglas" "Elk Point" "SD" "57025" -96.6881572 42.6814208
"Elkton Community Library" "508 Buffalo St" "Elkton" "SD" "57026" -96.4826223 44.2327129
"Holbrook Library" "2650 Doolittle Drive" "Ellsworth Afb" "SD" "57706" -103.0749725 44.1464274
"Estelline Public Library" "115 Main St N" "Estelline" "SD" "" -96.9025065 44.5738023
"Kathryn Schulkoski Public Library" "613 7th St" "Eureka" "SD" "57437" -99.6197567 45.7695387
"Faith Public Library" "204 W Fifth St" "Faith" "SD" "57626" -102.0384011 45.0191352
"Faulk County Library" "810 Court St" "Faulkton" "SD" "57438" -99.1272278 45.0338412
"Moody County Resource Center" "610 West Community Drive" "Flandreau" "SD" "57028" -96.6030961 44.0512646
"Emma Burnham Public Library" "403 Main St" "Frederick" "SD" "57441" -98.5063324 45.8322832
"Freeman Public Library" "322 S Main St" "Freeman" "SD" "57029" -97.4370265 43.3520278
"Garretson Branch Library" "po drawer n" "Garretson" "SD" "" -96.5028209 43.7174725
"Gary Public Library" "1113 Summit Street" "Gary" "SD" "57237" -96.4550276 44.7924988
"Potter County Free Library" "106 E Commercial Ave" "Gettysburg" "SD" "57442" -99.955558 45.0114256
"Gregory Public Library" "112 East Fifth Street" "Gregory" "SD" "57533" -99.430501 43.231256
"Wage Memorial Library" "209 N Main" "Groton" "SD" "57445" -98.0986727 45.447648
"Harrisburg Community Library" "600 S Cliff Ave" "Harrisburg" "SD" "57032" -96.704575 43.4260639
"Hartford Branch Library" "705 East 2nd" "Hartford" "SD" "" -96.9351584 43.6224049
"Hecla Public Library" "206 Main Street" "Hecla" "SD" "57446" -98.1539905 45.8826511
"Hyde County Library" "107 Commercial Ave Se" "Highmore" "SD" "57345" -99.4401835 44.5198428
"Hill City Community Library" "488 Main St" "Hill City" "SD" "57745" -103.5754277 43.9288029
"Hot Springs Public Library" "2005 Library Drive" "Hot Springs" "SD" "57747" -103.4761557 43.4225323
"Howard Public Library" "103 E Farmer Ave" "Howard" "SD" "57349" -97.5260779 44.0110985
"Hudson Public Library" "316 Wheelock" "Hudson" "SD" "57034" -96.4535668 43.1300585
"Humboldt Branch Library" "3rd And Main" "Humboldt" "SD" "" -97.073875 43.64447
"Hurley Public Library" "603 Center Ave" "Hurley" "SD" "57036" -97.0894516 43.2829245
"Huron Public Library" "521 Dakota Ave South" "Huron" "SD" "57350" -98.2141584 44.3605096
