"Library Name" "Address" "City" "State" "ZIP Code" "Latitude" "Longitude"
"Abernathy Public Library" "811 Avenue D" "Abernathy" "TX" "79311" -101.8435785 33.8319618
"Abilene Library Consortium" "3305 N. 3rd St." "Abilene" "TX" "79603" -99.762436 32.45272
"Abilene Public Library" "202 Cedar St" "Abilene" "TX" "79601" -99.7357361 32.4509175
"Big Country Library System" "202 Cedar Street" "Abilene" "TX" "79601" -99.7357361 32.4509175
"Alamo Public Library" "416 N Tower Rd" "Alamo" "TX" "78516" -98.1100378 26.1862124
"Fernando De La Rosa Memorial Library" "416 N. Tower Rd." "Alamo" "TX" "78516" -98.1100378 26.1862124
"Sergeant Fernando De La Rosa Memorial Library" "416 North Tower Road" "Alamo" "TX" "78516" -98.1100378 26.1862124
"Shackelford County Library" "402 N 2nd St" "Albany" "TX" "76430" -99.296051 32.7274339
"East Parker County Library" "201 N Fm 1187" "Aledo" "TX" "76008" -97.6037068 32.6989467
"Alice Public Library" "401 E 3rd St" "Alice" "TX" "78332" -98.0733234 27.7531453
"Allen Public Library" "300 N Allen Dr" "Allen" "TX" "75013" -96.6708911 33.1054481
"Alpine Public Library" "203 N 7th St" "Alpine" "TX" "79830" -103.664061 30.35805
"Stella Hill Memorial Library" "200 W San Antonio St" "Alto" "TX" "75925" -95.0718025 31.6510051
"Alvarado Public Library" "210 N Baugh St" "Alvarado" "TX" "76009" -97.2082102 32.4085864
"Alvord Public Library" "117 N Wickham St" "Alvord" "TX" "76225" -97.6948236 33.3590032
"Amarillo Public Library" "413 E 4th Ave" "Amarillo" "TX" "79101" -101.8290725 35.2087347
"Harrington Library Consortium" "413 E. Fourth Avenue" "Amarillo" "TX" "79189" -101.8290725 35.2087347
"Chambers County Library System" "202 Cummings St" "Anahuac" "TX" "77514" -94.6852541 29.7708523
"Andrews County Library" "109 Nw 1st St" "Andrews" "TX" "79714" -102.5482923 32.3190158
"Brazoria County Library System" "451 N Velasco St Ste 250" "Angleton" "TX" "77515" -95.4329689 29.1679937
"Anson Public Library" "1137 12th St" "Anson" "TX" "79501" -99.896841 32.755895
"Ed And Hazel Richmond Public Library" "110 N Lamont St" "Aransas Pass" "TX" "78336" -97.1488901 27.9089728
"Archer Public Library" "105 N Center" "Archer City" "TX" "76351" -98.6255685 33.5960586
"Arlington Public Library System" "101 E Abram St" "Arlington" "TX" "76010" -97.1063497 32.7360371
"Stonewall County Library" "516 S Washington Ave" "Aspermont" "TX" "79502" -100.2288545 33.1386789
"Henderson Cnty Clint W Murchison Memorial Library" "121 S Prairieville St" "Athens" "TX" "75751" -95.8547381 32.2035522
"Atlanta Public Library" "101 W Hiram St" "Atlanta" "TX" "75551" -94.1655962 33.1150866
"Aubrey Area Library" "226 Countryside" "Aubrey" "TX" "76227" -96.98913 33.290116
"Austin Public Library" "800 Guadalupe St" "Austin" "TX" "78701" -97.7460168 30.2713021
"Austin Public Library - Austin History Center" "810 Guadalupe St." "Austin" "TX" "78701" -97.7458906 30.2717033
"Austin Public Library - Carver Branch" "1161 Angelina St., 78702" "Austin" "TX" "78702" -97.7240278 30.2695584
"Austin Public Library - Cepeda Branch" "651 N. Pleasant Valley Rd." "Austin" "TX" "78702" -97.7088905 30.2590471
"Austin Public Library - Faulk Central Library" "800 Guadalupe St." "Austin" "TX" "78701" -97.7460168 30.2713021
"Austin Public Library - Hampton Branch At Oak Hill" "5125 Convict Hill Rd." "Austin" "TX" "78749" -97.8550267 30.2176045
"Austin Public Library - Howson Branch" "2500 Exposition Blvd." "Austin" "TX" "78703" -97.7675915 30.2982508
"Austin Public Library - Little Walnut Creek Branch" "835 W. Rundberg Ln." "Austin" "TX" "78758" -97.6984619 30.3632362
"Austin Public Library - Manchaca Road Branch" "5500 Manchaca Rd." "Austin" "TX" "78745" -97.7973369 30.2166039
"Austin Public Library - Milwood Branch" "12500 Amherst Dr." "Austin" "TX" "78727" -97.7161692 30.4223444
"Austin Public Library - North Village Branch" "2505 Steck Ave." "Austin" "TX" "78757" -97.7305032 30.362144
"Austin Public Library - Oak Springs Branch" "3101 Oak Springs Dr." "Austin" "TX" "78702" -97.699748 30.2729762
"Austin Public Library - Old Quarry Branch" "7051 Village Center Dr." "Austin" "TX" "78731" -97.7551561 30.3529975
"Austin Public Library - Pleasant Hill Branch" "211 E. William Cannon Dr." "Austin" "TX" "78745" -97.7771661 30.1922461
"Austin Public Library - Recycled Reads Bookstore" "5335 Burnet Rd." "Austin" "TX" "78756" -97.7393012 30.3270694
"Austin Public Library - Ruiz Branch" "1600 Grove Blvd." "Austin" "TX" "78741" -97.7070109 30.2298616
"Austin Public Library - Southeast Austin Community Branch" "5803 Nuckols Crossing Rd." "Austin" "TX" "78744" -97.7419319 30.1876256
"Austin Public Library - Spicewood Springs Branch" "8637 Spicewood Springs Rd." "Austin" "TX" "78759" -97.7730809 30.4337083
"Austin Public Library - St. John Branch" "7500 Blessing Ave." "Austin" "TX" "78752" -97.6937014 30.3328231
"Austin Public Library - Terrazas Branch" "1105 East Csar Chvez St." "Austin" "TX" "78702" -97.7334621 30.2599154
"Austin Public Library - Twin Oaks Branch" "1800 S. Fifth St." "Austin" "TX" "78704" -97.7623975 30.2486884
"Austin Public Library - University Hills Branch" "4721 Loyola Ln." "Austin" "TX" "78723" -97.6665407 30.3086669
"Austin Public Library - Windsor Park Branch" "5833 Westminster Dr." "Austin" "TX" "78723" -97.6902298 30.3116523
"Austin Public Library - Yarborough Branch" "2200 Hancock Dr." "Austin" "TX" "78756" -97.7407213 30.3234684
"Central Texas Library System, Inc" "1005 West 41st Street" "Austin" "TX" "78756" -97.7415032 30.3091326
"Wells Branch Community Library" "15001 Wells Port Dr" "Austin" "TX" "78728" -97.6755865 30.4457273
"Azle Memorial Library" "333 W Main St" "Azle" "TX" "76020" -97.5480434 32.8954243
"Callahan County Library" "100 W 4th Ste B1" "Baird" "TX" "79504" -99.4016909 32.3949607
"Balch Springs Library-Learning Center" "12450 Elam Rd" "Balch Springs" "TX" "75180" -96.6119432 32.7188902
"Carnegie Library Of Ballinger" "204 N 8th St" "Ballinger" "TX" "76821" -99.9499984 31.7394338
"Bandera County Library" "515 Main St" "Bandera" "TX" "78003" -99.0733816 29.726248
"Kronkosky Library Of Bandera County" "515 Main St." "Bandera" "TX" "78003" -99.0733816 29.726248
"Teinert Memorial Public Library" "337 N Dalton St" "Bartlett" "TX" "76511" -97.427154 30.792064
"Bastrop Public Library" "1100 Church St" "Bastrop" "TX" "78602" -97.3218828 30.1119127
"Bay City Public Library" "1100 7th St" "Bay City" "TX" "77414" -95.977202 28.9827653
"Beaumont Public Library System" "801 Pearl St" "Beaumont" "TX" "77701" -94.0953854 30.0809495
"Jefferson County Library" "7933 Viterbo Rd Ste 7" "Beaumont" "TX" "77705" -94.02062 29.9634323
"Bedford Public Library" "2424 Forest Ridge" "Bedford" "TX" "76021" -97.1417729 32.8460923
"Bee Cave Public Library" "4000 Galleria Pkwy" "Bee Cave" "TX" "78738" -97.9398921 30.3083838
"Joe Barnhart Bee County Library" "110 W Corpus Christi St" "Beeville" "TX" "78102" -97.7490806 28.4018684
"Bellaire City Library" "5111 Jessamine St" "Bellaire" "TX" "77401" -95.4693376 29.7017729
"Bellville Public Library" "12 W Palm St" "Bellville" "TX" "77418" -96.257394 29.951846
"Lena Armstrong Public Library" "301 E 1st Ave" "Belton" "TX" "76513" -97.4613083 31.0565215
"Duval County Public Library - Benavides Branch" "131 Mesquite St." "Benavides" "TX" "78341" -98.4134712 27.5970121
"Benbrook Public Library" "1065 Mercedes St" "Benbrook" "TX" "76126" -97.4511692 32.6792141
"Reagan County Library" "300 Courthouse Sq" "Big Lake" "TX" "76932" -101.4611676 31.1925565
"Howard County Library" "500 S Main St" "Big Spring" "TX" "79720" -101.4759302 32.2500205
"Bishop Public Library" "115 S. Ash Streeet" "Bishop" "TX" "78343" -97.8001454 27.5840112
"Blanco County South Library District" "1118 Main St Ste A" "Blanco" "TX" "78606" -98.4192657 30.1049147
"Blooming Grove Community Library" "301 S Fordyce St" "Blooming Grove" "TX" "76626" -96.7151797 32.0911075
"Boerne Public Library" "210 N Main St" "Boerne" "TX" "78006" -98.732652 29.794728
