"Library Name" "Address" "City" "State" "ZIP Code" "Latitude" "Longitude"
"American Fork City Library" "64 South 100 East" "American Fork" "UT" "84003" -111.796341 40.37554
"Beaver Public Library" "55 West Center Street" "Beaver" "UT" "84713" -112.6415952 38.2741781
"Juab County Bookmobile Library" "79 North 100 West" "Bicknell" "UT" "84715" -111.5454644 38.3391794
"San Juan County Library - Blanding Branch Library" "25 West 300 South" "Blanding" "UT" "84511" -109.4784458 37.6211105
"Davis County Library - South Branch (Bountiful)" "725 S Main St." "Bountiful" "UT" "84010" -111.8800895 40.8818611
"Brigham City Library" "26 East Forest Street" "Brigham City" "UT" "84302" -112.0146386 41.5106896
"Emery County Library - Castle Dale Branch" "115 North 100 East" "Castle Dale" "UT" "84513" -111.0178475 39.2133558
"Cedar City Public Library" "303 North 100 East" "Cedar City" "UT" "84721" -113.0601409 37.6827301
"Davis County Library - Centerville Branch" "45 S. 400 W." "Centerville" "UT" "84014" -111.8851026 40.9168345
"Davis County Library - North Branch (Clearfield)" "562 S 1000 E" "Clearfield" "UT" "84015" -112.0075147 41.1056028
"Emery County Library - Cleveland Branch" "45 West Main" "Cleveland" "UT" "" -110.8524432 39.3487135
"Summit County Library - Coalville Branch Library" "10 North Main" "Coalville" "UT" "84017" -111.3984244 40.9168709
"Delta City Library" "76 North 200 West" "Delta" "UT" "84624" -112.5786985 39.3535899
"Millard County Bookmobile Library" "90 North 200 West" "Delta" "UT" "84624" -112.5792057 39.3539176
"Salt Lake County Library - Draper Library" "1136 East Pioneer Rd" "Draper" "UT" "84020" -111.8584389 40.5230035
"Daggett County Bookmobile Library" "130 South Center Street, Suite A" "Duchesne" "UT" "84021" -110.4013321 40.1622243
"Duchesne County Library" "130 S Center Street" "Duchesne" "UT" "84021" -110.4013321 40.1622243
"Eagle Mountain Public Library" "1650 E. Stagecoach Run" "Eagle Mountain" "UT" "84005" -112.0119539 40.3093471
"Salt Lake County Library - East Millcreek Library" "2250 Evergreen Avenue" "East Millcreek" "UT" "" -111.8257521 40.6966961
"Emery County Library - Elmo Branch" "15 South 100 East" "Elmo" "UT" "84521" -110.851882 39.347198
"Emery County Library - Emery Branch" "100 North Center" "Emery" "UT" "84522" -111.2486502 38.9246294
"Iron County Bookmobile Library" "4763 North Santa Fe Trail" "Enoch" "UT" "84721" -113.0433978 37.764104
"Washington County Library - Enterprise Branch" "393 South 200 East" "Enterprise" "UT" "84725" -113.716546 37.5670414
"Ephraim Public Library" "30 South Main Street" "Ephraim" "UT" "84627" -111.5871415 39.3591316
"Sanpete County Bookmobile Library" "75 South State Street" "Fairview" "UT" "84629" -111.4392374 39.6264857
"Davis County Library - Headquarters (Farmington)" "38 South 100 East" "Farmington" "UT" "84025" -111.8854707 40.9800418
"Emery County Library - Ferron Branch" "55 North 200 West" "Ferron" "UT" "84523" -111.1363661 39.0908878
"President Millard Fillmore Library" "25 South 100 West" "Fillmore" "UT" "84631" -112.3264722 38.9683053
"Garland Public Library" "86 West Factory Rd" "Garland" "UT" "84312" -112.161525 41.7410778
"Tooele County Bookmobile Library" "429 East Main Street" "Grantsville" "UT" "84029" -112.4462697 40.6000785
"Emery County Library - Green River Branch" "85 South Long St." "Green River" "UT" "84525" -110.1619331 38.9943877
"Gunnison Civic Library" "38 West Center Street" "Gunnison" "UT" "84634" -111.8204213 39.1548893
"Wasatch County Library" "465 East 1200 South" "Heber City" "UT" "84032" -111.405796 40.493677
"Helper City Library" "19 South Main Street" "Helper" "UT" "84526" -110.854168 39.687456
"Salt Lake County Library - Herriman Library" "5380 West Herriman Main Street" "Herriman" "UT" "84096" -112.0186969 40.5162738
