"Library Name" "Address" "City" "State" "ZIP Code" "Latitude" "Longitude"
"Washington County Public Library" "205 Oak Hill Street" "Abingdon" "VA" "24210" -81.973217 36.712624
"Washington County Public Library - Hayters Gap" "7720 Hayters Gap Road" "Abingdon" "VA" "24210" -81.9291724 36.8346906
"Eastern Shore Public Library" "23610 Front St." "Accomac" "VA" "23301" -75.6621541 37.7200317
"Alexandria Library - Charles E. Beatley, Jr. Central Library" "5005 Duke Street" "Alexandria" "VA" "22304" -77.117092 38.8123849
"Alexandria Library - Ellen Coolidge Burke Branch" "4701 Seminary Road" "Alexandria" "VA" "22304" -77.1098687 38.8277912
"Alexandria Library - James M. Duncan Branch Library" "2501 Commonwealth Avenue" "Alexandria" "VA" "22301" -77.0606148 38.8277936
"Alexandria Library - Kate Waller Barrett Branch" "717 Queen Street" "Alexandria" "VA" "22314" -77.0471444 38.8078034
"John Marshall Library" "6209 Rose Hill Dr." "Alexandria" "VA" "22310" -77.1187885 38.7827661
"Kingstowne Library" "6500 Landsdowne Centre" "Alexandria" "VA" "22315" -77.1645936 38.7400751
"Martha Washington Library" "6614 Fort Hunt Road" "Alexandria" "VA" "22307" -77.0629649 38.7730454
"Sherwood Regional Library" "2501 Sherwood Hall Ln." "Alexandria" "VA" "22306" -77.0749236 38.7434755
"Staunton River Memorial Library" "500 Washington Street" "Altavista" "VA" "24517" -79.2913354 37.1099787
"James L. Hamner Public Library" "16351 Dunn St." "Amelia" "VA" "23002" -77.9779384 37.3388198
"Amherst County Public Library" "382 South Main Street" "Amherst" "VA" "24521" -79.0505009 37.5879448
"George Mason Regional Library" "7001 Little River Turnpike" "Annandale" "VA" "22003" -77.1862695 38.8274251
"J. Robert Jamerson Memorial Library" "157 Main Street" "Appomattox" "VA" "24522" -78.828944 37.354151
"Arlington Central Library" "1015 N. Quincy St" "Arlington" "VA" "22201" -77.1072897 38.8837948
"Arlington Department Of Libraries" "2100 Clarendon Blvd." "Arlington" "VA" "22201" -77.0854467 38.8904283
"Arlington Public Library - Glencarlyn Branch Library" "300 South Kensington Street" "Arlington" "VA" "22204" -77.1258882 38.8636035
"Arlington Public Library - Plaza Branch Library Arlington Shop" "2100 Clarendon Blvd" "Arlington" "VA" "22201" -77.0854467 38.8904283
"Aurora Hills Library" "735 S. 18th St." "Arlington" "VA" "22202" -77.0591731 38.8575326
"Central Library" "1015 N. Quincy St." "Arlington" "VA" "22201" -77.1072897 38.8837948
"Cherrydale Library" "2190 N. Military Rd." "Arlington" "VA" "22207" -77.1092792 38.8987252
"Columbia Pike Library" "816 S. Walter Reed Dr." "Arlington" "VA" "22204" -77.0884744 38.8643634
"Government Reference Library" "1 Courthouse Plaza Suite 406" "Arlington" "VA" "22201" -77.0815435 38.8701968
"Shirlington Library" "2786 S. Arlington Mill Dr." "Arlington" "VA" "22206" -77.0872637 38.8410692
"Westover Library" "1800 N. Lexington St." "Arlington" "VA" "22205" -77.140016 38.887379
"Ashburn Library" "43316 Hay Rd" "Ashburn" "VA" "20147" -77.502622 39.045962
"Pamunkey Regional Library - Richard S. Gillis, Jr.-Ashland Branch Library" "201 S. Railroad Avenue" "Ashland" "VA" "23005" -77.4811934 37.758036
"Blue Ridge Regional Library - Bassett Branch" "3969 Fairystone Park Highway" "Bassett" "VA" "24055" -79.9972984 36.7652104
"Blue Ridge Regional Library - Historical Center" "3964 Fairystone Park Highway" "Bassett" "VA" "24055" -79.9957117 36.7633634
"Basye-Orkney Springs Library" "P.O. Box 251" "Basye" "VA" "22810" -78.7646228 38.81435
"Bedford Public Library System" "321 North Bridge Street" "Bedford" "VA" "24523" -79.5225895 37.3376904
"Roanoke County Public Library - Bent Mountain Branch" "10148 Tinsley Lane" "Bent Mountain" "VA" "24059" -80.12187 37.154618
"Clarke County Library" "36 East Main Street" "Berryville" "VA" "22611" -77.9802354 39.1505023
"Big Island Library" "1111 Schooldays Rd." "Big Island" "VA" "24526" -79.4161139 37.53142
"C. Bascom Slemp Memorial Library" "11 Proctor St. N." "Big Stone Gap" "VA" "24219" -82.7794766 36.8640894
"Blacksburg Library" "200 Miller Street" "Blacksburg" "VA" "24060" -80.4125997 37.2259318
"Blackstone Library" "415 South Main Street" "Blackstone" "VA" "23824" -77.9992327 37.076705
"Smyth-Bland Regional Library - Bland Branch" "P.O. Box 480" "Bland" "VA" "24315" -81.116215 37.1021861
"Tazewell County Public Library - Bluefield" "108 Huffard Drive" "Bluefield" "VA" "24605" -81.2636658 37.2352443
"Caroline Library, Inc." "17202 Richmond Turnpike" "Bowling Green" "VA" "22427" -77.3409131 38.024258
"Boydton Headquarters" "316 Washington Street" "Boydton" "VA" "23917" -78.3880786 36.6659173
"North River Library" "118 Mt Crawford Avenue" "Bridgewater" "VA" "22812" -78.965434 38.3849549
"Bristol Public Library" "701 Goode Street" "Bristol" "VA" "24201" -82.1855215 36.5959409
"Bristol Public Library - Avoca Branch Library" "1550 Volunteer Parkway" "Bristol" "VA" "37620" -82.2180414 36.5548322
"Village Library" "113 S. Central Street" "Broadway" "VA" "22815" -78.7981713 38.6125678
"Patrick Henry Memorial Library" "204 Lynchburg Avenue" "Brookneal" "VA" "24528" -78.9423969 37.0485432
"Buchanan Library" "19795 Main Street" "Buchanan" "VA" "24066" -79.6795829 37.528479
"Buena Vista Public Library" "2110 Magnolia Avenue" "Buena Vista" "VA" "24416" -79.3541714 37.7346271
"Burke Centre Library" "5935 Freds Oak Road" "Burke" "VA" "22015" -77.3171854 38.7874673
"Kings Park Library" "9000 Burke Lake Rd." "Burke" "VA" "22015" -77.2565112 38.8074812
"Pohick Regional Library" "6450 Sydenstricker Rd." "Burke" "VA" "22015" -77.2680915 38.7749267
"Burkeville Library" "114 Agnew Street" "Burkeville" "VA" "23922" -78.2012336 37.1877539
"Eastern Shore Public Library - Northampton Memorial Library" "500 Tazewell Avenue" "Cape Charles" "VA" "23310" -76.0149966 37.2688442
"Carrollton Library" "14362 New Towne Haven Lane" "Carrollton" "VA" "23314" -76.557231 36.94083
"Carson Depot Library" "16101 Halligan Park Rd" "Carson" "VA" "23830" -77.394419 37.0347549
"Centreville Regional Library" "14200 St. Germain Dr." "Centreville" "VA" "20121" -77.4408766 38.8374855
"Chantilly Regional Library" "4000 Stringfellow Rd" "Chantilly" "VA" "20151" -77.4081927 38.8826348
"Technical Operations Center" "4000 Stringfellow Road" "Chantilly" "VA" "20151" -77.4081927 38.8826348
"Heritage Public Library - Charles City Location" "10780 Courthouse Rd" "Charles City" "VA" "23030" -77.071012 37.341122
"Charlotte County Library" "112-116 Legrande Ave" "Charlotte Court Hous" "VA" "23923" -78.6379177 37.055979
"Albemarle Charlottesville Historical Society" "200 Second St. Ne" "Charlottesville" "VA" "22902" -78.479986 38.0318381
"Gordon Avenue Library" "1500 Gordon Avenue" "Charlottesville" "VA" "22903" -78.4985161 38.0395535
"Jefferson-Madison Regional Library" "201 East Market Street" "Charlottesville" "VA" "22902" -78.479925 38.0314266
"Jefferson-Madison Regional Library - Bookmobile" "201 E. Market St" "Charlottesville" "VA" "22902" -78.479925 38.0314266
"Northside Library" "300 Albemarle Square" "Charlottesville" "VA" "22901" -78.4712426 38.0820361
"Butler Memorial Library" "515 Marshall Street" "Chase City" "VA" "23924" -78.4561373 36.7950813
"Pittsylvania County Public Library" "24 Military Drive" "Chatham" "VA" "24531" -79.400609 36.8285229
"Chesapeake Central Library" "298 Cedar Road" "Chesapeake" "VA" "23322" -76.2477196 36.7148469
"Dr. Clarence V. Cuffee Library" "2726 Border Road" "Chesapeake" "VA" "23324" -76.2517072 36.8152559
"Greenbrier Library" "1214 Volvo Parkway" "Chesapeake" "VA" "23320" -76.2181997 36.7689941
"Indian River Library" "2320 Old Greenbrier Road" "Chesapeake" "VA" "23325" -76.2353781 36.8032197
"Major Hillard Library" "824 Old George Washington Highway, N." "Chesapeake" "VA" "23323" -76.344254 36.7682629
"Russell Memorial Library" "2808 Taylor Road" "Chesapeake" "VA" "23321" -76.4182989 36.833528
"South Norfolk Memorial Library" "1100 Poindexter Street" "Chesapeake" "VA" "23324" -76.276535 36.818267
"Chester Library" "11800 Centre Street" "Chester" "VA" "23831" -77.4477668 37.3579513
"Enon Library" "1801 Enon Church Rd." "Chester" "VA" "23836" -77.327672 37.3312201
"Central Library" "9501 Lori Road" "Chesterfield" "VA" "23832" -77.51292 37.3821429
"Smyth-Bland Regional Library - Chilhowie Branch" "807 Chilhowie Street" "Chilhowie" "VA" "24319" -81.6774431 36.8029906
"Eastern Shore Public Library - Island Library" "4077 Main Street" "Chincoteague" "VA" "23336" -75.3770168 37.9341168
"Christiansburg Library" "125 Sheltman Street" "Christiansburg" "VA" "24073" -80.4138 37.1299
"Augusta County Library - Churchville Branch Library" "3714 Churchville Ave" "Churchville" "VA" "24421" -79.1593859 38.2231873
"Claremont Library" "91 Mancha Avenue" "Claremont" "VA" "23899" -76.965575 37.2277802
"Clarksville Area Public Library" "914 Virginia Avenue" "Clarksville" "VA" "23927" -78.5646289 36.6207811
"Clifton Forge Public Library" "535 Church Street" "Clifton Forge" "VA" "24422" -79.8236388 37.8168952
"Jonnie B. Deel Memorial Library" "198 Chase Street" "Clintwood" "VA" "24228" -82.456404 37.1487893
"Coeburn Community Library" "111 Third St." "Coeburn" "VA" "24230" -82.4706956 36.9437206
"Blue Ridge Regional Library - Collinsville Branch" "2540 Virginia Avenue" "Collinsville" "VA" "24078" -79.9093135 36.7148395
"Central Rappahannock Regional Library - Cooper Branch" "20 Washington Avenue" "Colonial Beach" "VA" "22443" -76.963377 38.250469
"Colonial Heights Public Library" "1000 Yacht Basin Drive" "Colonial Heights" "VA" "23834" -77.3918082 37.2649556
"Blackwater Regional Library" "22511 Main Street" "Courtland" "VA" "23837" -77.06276 36.7116476
"Charles Pinckney Jones Memorial Library" "406 W. Riverside Street" "Covington" "VA" "24426" -79.998289 37.792211
"Crewe Library" "400 Tyler St." "Crewe" "VA" "23930" -78.1199636 37.1776275
"Nottoway County Library System" "414 Tyler Street" "Crewe" "VA" "23930" -78.1194987 37.1803176
"Crozet Library" "5791 Three Notched Road" "Crozet" "VA" "22932" -78.699968 38.0697029
"Culpeper County Library" "271 Southgate Shopping Center" "Culpeper" "VA" "22701" -78.000311 38.4633335
"Cumberland County Public Library" "1539 Anderson Highway" "Cumberland" "VA" "23040" -78.2520274 37.4905499
"Dale City Neighborhood Library" "4249 Dale Boulevard" "Dale City" "VA" "22193" -77.3377917 38.6459729
"Washington County Public Library - Damascus" "126 East Laurel Avenue" "Damascus" "VA" "24236" -81.78779 36.63442
"Danville Public Law Library" "511 Patton Street" "Danville" "VA" "24541" -79.3926384 36.5857848
"Danville Public Library - Westover Branch" "94 Clifton Street" "Danville" "VA" "24540" -79.4863027 36.6036471
"Pittsylvania County Public Library - Brosville" "11948 Martinsville Highway" "Danville" "VA" "24541" -79.602521 36.620848
"Pittsylvania County Public Library - Mt. Hermon" "2725 Franklin Turnpike, Suite J" "Danville" "VA" "24540" -79.4120737 36.6577728
"Middlesex County Public Library - Deltaville Branch" "35 Lovers Lane" "Deltaville" "VA" "23043" -76.3368124 37.5543864
"Appomattox Regional Library - Dinwiddie Branch Library" "14103 Boydton Plank Rd" "Dinwiddie" "VA" "23841" -77.5883353 37.0775796
"Burrowsville Library" "18701 James River Dr" "Disputanta" "VA" "23842" -77.076284 37.213508
"Disputanta Library" "10010 County Drive" "Disputanta" "VA" "23842" -77.2268253 37.1246407
"Charles Ona B Free Memorial Library" "300 Giles Avenue" "Dublin" "VA" "24084" -80.687344 37.108118
"Dumfries Neighborhood Library" "18007 Dumfries Shopping Plaza" "Dumfries" "VA" "22026" -77.3284791 38.5615819
"Eagle Rock Library" "55 Eagles Nest Drive" "Eagle Rock" "VA" "24085" -79.811283 37.654624
"Shenandoah County Library" "514 Stony Creek Blvd." "Edinburg" "VA" "22824" -78.5700728 38.8274436
"Elkton Community Library" "106 N. Terrace Avenue" "Elkton" "VA" "22827" -78.623897 38.408351
"Richardson Memorial Libary" "100 Spring Street" "Emporia" "VA" "23847" -77.5412098 36.6872468
"Access Services" "12000 Government Center Parkway Suite 123" "Fairfax" "VA" "22035" -77.3563658 38.8541263
"City Of Fairfax Regional Library" "10360 North Street" "Fairfax" "VA" "22030" -77.3037471 38.8470801
"Fairfax County Public Library" "12000 Government Center Parkway Sui" "Fairfax" "VA" "22035" -77.3563658 38.8541263
"Library Administration" "12000 Government Center Parkway Suite 324" "Fairfax" "VA" "22035" -77.3563658 38.8541263
"Mary Riley Styles Public Library" "120 North Virginia Avenue" "Falls Church" "VA" "22046" -77.1746309 38.885778
"Thomas Jefferson Library" "7415 Arlington Boulevard" "Falls Church" "VA" "22042" -77.2016916 38.8654691
"Tysons-Pimmit Regional Library" "7584 Leesburg Pike" "Falls Church" "VA" "22043" -77.2064149 38.906871
"Woodrow Wilson Library" "6101 Knollwood Dr." "Falls Church" "VA" "22041" -77.1429758 38.8512666
"Central Virginia Regional Library" "217 W. Third Street" "Farmville" "VA" "23901" -78.3934963 37.3031031
"Central Virginia Regional Library - Farmville-Prince Edward Community Library" "217 West Third Street" "Farmville" "VA" "23901" -78.3934963 37.3031031
"Fincastle Library" "11 Academy Street" "Fincastle" "VA" "24090" -79.8772497 37.4965598
"Augusta County Library" "1759 Jefferson Hwy." "Fishersville" "VA" "22939" -78.9703493 38.0989567
"Jessie Peterman Memorial Library" "321 West Main Street" "Floyd" "VA" "24091" -80.32353 36.910427
"Forest Library" "15583 Forest Rd." "Forest" "VA" "24551" -79.2850156 37.3649641
"Fort Valley Library" "6190 Woodstock Tower Road" "Fort Valley" "VA" "22652" -78.4227461 38.855496
"Ruth Camp Campbell Memorial Library" "280 North College Drive" "Franklin" "VA" "23851" -76.9421076 36.6765133
