"Library Name" "Address" "City" "State" "ZIP Code" "Latitude" "Longitude"
"Albany Town" "530 Main St." "Albany" "VT" "05820" -72.3786052 44.735318
"Alburgh Pubilc Library" "16 S. Main St." "Alburgh" "VT" "05440" -73.301184 44.975271
"Martha Canfield Memorial" "528 E. Arlington Rd." "Arlington" "VT" "05250" -73.1526 43.0650369
"Weathersfield Proctor Library" "5181 Rte. 5" "Ascutney" "VT" "05030" -72.4072621 43.407094
"H. F. Brigham Free" "104 Main St." "Bakersfield" "VT" "05441" -72.800781 44.783466
"Charles B. Danforth" "6208 Vt Rte 12" "Barnard" "VT" "05031" -72.619637 43.729179
"Barnet Public" "147 Church St." "Barnet" "VT" "05821" -72.052856 44.295952
"Aldrich Public" "6 Washington St." "Barre" "VT" "05641" -72.5008176 44.1976656
"Barton Public" "100 Church St." "Barton" "VT" "05822" -72.1806023 44.7496538
"Rockingham Free Public" "65 Westminster St." "Bellows Falls" "VT" "05101" -72.4446371 43.1307552
"Mount Holly" "1 Maple Hill Rd." "Belmont" "VT" "05730" -72.8211831 43.4144632
"Bennington Free" "101 Silver St." "Bennington" "VT" "05201" -73.1936273 42.8776496
"Benson Public" "2724 Stage Rd." "Benson" "VT" "05731" -73.309822 43.7083439
"Bethel Public" "106 Main St." "Bethel" "VT" "05032" -72.6319397 43.8298315
"Winhall Memorial" "2 Lower Taylor Hill Rd." "Bondville" "VT" "05340" -72.8969016 43.1460182
"Bradford Public" "21 S. Main St." "Bradford" "VT" "05033" -72.128535 43.9929834
"Brandon Free Public" "4 Franklin St." "Brandon" "VT" "05733" -73.0860138 43.7979405
"Brooks Memorial" "224 Main St." "Brattleboro" "VT" "05301" -72.5599282 42.8552873
"Lawrence Memorial" "40 North St." "Bristol" "VT" "05443" -73.078448 44.1357917
"Brookfield Free Public" "40 Ralph Rd." "Brookfield" "VT" "05036" -72.602768 44.043159
