"Library Name" "Address" "City" "State" "ZIP Code" "Latitude" "Longitude"
"Aberdeen Timberland Library" "121 E. Market St." "Aberdeen" "WA" "98520" -123.8175957 46.9753192
"Airway Heights Library" "1213 S. Lundstrom" "Airway Heights" "WA" "99001" -117.5926528 47.6444723
"Albion Branch Library" "310 F Street" "Albion" "WA" "99102" -117.2504361 46.7931253
"Amanda Park Timberland Library" "6118 U.S. Highway 101" "Amanda Park" "WA" "98526" -123.8954001 47.4592976
"Anacortes Public Library" "1220 10th St" "Anacortes" "WA" "98221" -122.6165134 48.5147855
"Arlington Library" "135 N. Washington Ave." "Arlington" "WA" "98223" -122.118393 48.1933598
"Auburn Public Library" "1102 Auburn Way South" "Auburn" "WA" "98002" -122.2181037 47.2987199
"Muckleshoot Library" "38811 172nd Avenue Se" "Auburn" "WA" "98092" -122.1150181 47.2533346
"Bainbridge Island Library" "1270 Madison N." "Bainbridge Island" "WA" "98110" -122.5205154 47.6352645
"Basin City Library" "50-A N. Canal Blvd." "Basin City" "WA" "99343" -119.1439212 46.591024
"Battle Ground Community Library" "12 West Main Street" "Battle Ground" "WA" "98604" -122.5379909 45.7809325
"North Mason Timberland Library" "23081 Ne State Rt. 3" "Belfair" "WA" "98528" -122.8339878 47.4416885
"Bellevue Library" "1111 110th Avenue Ne" "Bellevue" "WA" "98004" -122.1943373 47.6201601
"Lake Hills Library" "15228 Lake Hills Boulevard" "Bellevue" "WA" "98007" -122.1367488 47.6029979
"Library Connection At Crossroads" "15600 Ne 8th Street, Suite K-11" "Bellevue" "WA" "98008" -122.1300629 47.6196266
"Newport Way Library" "14250 Se Newport Way" "Bellevue" "WA" "98006" -122.1490423 47.5705089
"Bellingham Public Library" "210 Central Ave" "Bellingham" "WA" "98225" -122.4788036 48.7541816
"Fairhaven Branch Library" "1117 12th Street" "Bellingham" "WA" "98225" -122.501846 48.72142
"Whatcom County Library System" "5205 Northwest Drive" "Bellingham" "WA" "98226" -122.539317 48.829864
"Benton City Library" "708 9th Street" "Benton City" "WA" "99320" -119.4872722 46.265309
"Black Diamond Library" "24301 Roberts Drive" "Black Diamond" "WA" "98010" -122.018885 47.310514
"Blaine Library" "610 3rd Street" "Blaine" "WA" "98230" -122.7494623 48.9947414
"Bonney Lake Library" "18501 90th Street East" "Bonney Lake" "WA" "98390" -122.1820908 47.1756248
"Bothell Library" "18215 98th Avenue Ne" "Bothell" "WA" "98011" -122.2103764 47.7602661
"Bremerton Library" "612 5th St." "Bremerton" "WA" "98337" -122.6284617 47.5667587
"Kitsap Regional Library" "1301 Sylvan Way" "Bremerton" "WA" "98310" -122.624949 47.5951125
"Brewster Community Library" "108 S Third" "Brewster" "WA" "98812" -119.7793356 48.0991006
"Bridgeport Community Library" "1206 Columbia St" "Bridgeport" "WA" "98813" -119.6742019 48.0093348
"Brier Library" "23303 Brier Rd." "Brier" "WA" "98036" -122.2736141 47.7870371
"Buckley Library" "123 South River Avenue" "Buckley" "WA" "98321" -122.0291665 47.1627243
"Buena Library" "813 Buena Rd" "Buena" "WA" "98921" -120.3138976 46.4297473
"Burbank Heights Library" "875 Lake Road" "Burbank" "WA" "99323" -118.993145 46.209622
"Burien Library" "14700 6th Avenue Sw" "Burien" "WA" "98166" -122.341376 47.4713459
"Burlington Public Library" "820 East Washington Avenue" "Burlington" "WA" "98233" -122.3237531 48.4743244
"Camas Public Library" "625 Ne Fourth Ave." "Camas" "WA" "98607" -122.4022449 45.5872292
"Carnation Library" "4804 Tolt Avenue" "Carnation" "WA" "98014" -121.9122954 47.6504103
"Cashmere Community Library" "300 Woodring" "Cashmere" "WA" "98815" -120.4677839 47.5227928
"Castle Rock Public Library" "137 Cowlitz St W." "Castle Rock" "WA" "98611" -122.9097129 46.2750223
"Cathlamet (Blanche Bradley) Public Library" "100 Main St" "Cathlamet" "WA" "98612" -123.3845093 46.201599
"Centralia Timberland Library" "110 S. Silver St." "Centralia" "WA" "98531" -122.9561699 46.7161571
"Chehalis Timberland Library" "76 N.E. Park St." "Chehalis" "WA" "98532" -122.967702 46.6642411
"Chelan Community Library" "417 S Bradley St" "Chelan" "WA" "98816" -120.012608 47.836443
"Cheney Library" "610 First Street" "Cheney" "WA" "99004" -117.5743989 47.4885736
"Chewelah Public Library" "307 East Clay Ave" "Chewelah" "WA" "99109" -117.7140253 48.2772669
"Clallam Bay Public Library" "16990 Hwy 112" "Clallam Bay" "WA" "98326" -124.2601665 48.2530664
"Asotin County Library" "417 Sycamore" "Clarkston" "WA" "99403" -117.0438792 46.4123307
