"Library Name" "Address" "City" "State" "ZIP Code" "Latitude" "Longitude"
"Abbotsford Public Library" "203 First St." "Abbotsford" "WI" "54405" -90.319497 44.9472565
"Adams County Public Library" "569 N. Cedar St., Suite 1" "Adams" "WI" "53910" -89.8216525 43.9667962
"Albertson Memorial Library" "200 N. Water St." "Albany" "WI" "53502" -89.4386237 42.7093031
"Algoma Public Library" "406 Fremont St." "Algoma" "WI" "54201" -87.4386513 44.6067375
"Alma Public Library" "312 N. Main St." "Alma" "WI" "54610" -91.9175992 44.3249277
"Altoona Public Library" "1303 Lynn Ave." "Altoona" "WI" "54720" -91.433111 44.806173
"Amery Public Library" "225 Scholl Ct." "Amery" "WI" "54001" -92.366138 45.302446
"Lettie W. Jensen Public Library" "278 N. Main St." "Amherst" "WI" "54406" -89.2838 44.4533
"Antigo Public Library" "617 Clermont St." "Antigo" "WI" "54409" -89.1537701 45.1413243
"Appleton Public Library" "225 N. Oneida St." "Appleton" "WI" "54911" -88.4066548 44.2637311
"Outagamie Waupaca Library System" "225 North Oneida Street" "Appleton" "WI" "54911" -88.4066548 44.2637311
"Arcadia Free Public Library" "406 E. Main St." "Arcadia" "WI" "54612" -91.4958057 44.2518422
"Argyle Public Library" "401 E. Milwaukee" "Argyle" "WI" "53504" -89.8658889 42.7012215
"Lester Public Library Of Arpin" "8091 County Road E" "Arpin" "WI" "54410" -90.0452906 44.5403323
"Northern Waters Library Service" "3200 East Lake Shore Drive" "Ashland" "WI" "54806" -90.840632 46.609054
"Vaughn Public Library" "502 W. Main St." "Ashland" "WI" "54806" -90.8882188 46.5890614
"Marathon County Public Library - Athens" "221 Caroline St." "Athens" "WI" "54411" -90.076065 45.034208
"Augusta Memorial Public Library" "113 N. Stone St." "Augusta" "WI" "54722" -91.1198061 44.6806771
"Door County Library - Mcardle Branch" "2392 Highway F" "Baileys Harbor" "WI" "54202" -87.1243581 45.0660122
"Baldwin Public Library" "400 Cedar St." "Baldwin" "WI" "54002" -92.3684027 44.9566067
"Balsam Lake Public Library" "404 Main St." "Balsam Lake" "WI" "54810" -92.453006 45.450214
"John Bosshard Memorial Library" "1720 Henry Johns Blvd." "Bangor" "WI" "54614" -90.9945735 43.8933043
"Baraboo Public Library" "230 Fourth Ave." "Baraboo" "WI" "53913" -89.7453541 43.4709225
"Barneveld Public Library" "107 W. Orbison St." "Barneveld" "WI" "53507" -89.8958169 43.014435
"Barron Public Library" "10 N. 3rd St." "Barron" "WI" "54812" -91.853635 45.401894
"Bayfield Carnegie Public Library" "37 N. Broad St." "Bayfield" "WI" "54814" -90.817409 46.811868
"Red Cliff Public Library" "88840 Church Road" "Bayfield" "WI" "54814" -90.787725 46.8556966
"Beaver Dam Community Library" "311 N. Spring St." "Beaver Dam" "WI" "53916" -88.8369507 43.4591957
"Belleville Public Library" "130 S. Vine St." "Belleville" "WI" "53508" -89.533627 42.858275
"Belmont Public Library" "220 Mound Ave." "Belmont" "WI" "53510" -90.3338335 42.7367465
"John Turgeson Public Library" "220 S. Mound Ave." "Belmont" "WI" "53510" -90.3338335 42.7367465
"Beloit Public Library" "605 Eclipse Blvd." "Beloit" "WI" "53511" -89.0312943 42.5195269
"Benton Public Library" "48 W. Main St." "Benton" "WI" "53803" -90.3818988 42.5699414
"Berlin Public Library" "121 W. Park Ave." "Berlin" "WI" "54923" -88.9478561 43.9692439
"Big Bend Village Library" "po box 40" "Big Bend" "WI" "53103" -88.2067573 42.8814034
"Birnamwood Library" "337 S. Main" "Birnamwood" "WI" "54414" -89.209857 44.928786
"Black Creek Village Library" "507 S. Maple St." "Black Creek" "WI" "54106" -88.4497904 44.4684308
"Black Earth Public Library" "1210 Mills St." "Black Earth" "WI" "53515" -89.7483285 43.1378752
"Black River Falls Public Library" "222 Fillmore St." "Black River Falls" "WI" "54615" -90.8504611 44.2937377
"Blair-Preston Public Library" "122 S. Urberg Ave." "Blair" "WI" "54616" -91.233392 44.2939388
"Blanchardville Public Library" "208 Mason St." "Blanchardville" "WI" "53516" -89.8609704 42.8100077
"G.E. Bleskacek Family Memorial Library" "1519 17th Ave." "Bloomer" "WI" "54724" -91.4920783 45.0997045
"Bloomington Public Library" "453 Canal St." "Bloomington" "WI" "53804" -90.9245802 42.8832437
"Bonduel Library" "117 1-2 W. Green Bay" "Bonduel" "WI" "54107" -88.4473823 44.7406474
"Hildebrand Memorial Library" "1033 Wisconsin Ave." "Boscobel" "WI" "53805" -90.7055199 43.1340543
"Boulder Junction Public Library" "5386 Park St." "Boulder Junction" "WI" "54512" -89.64252 46.1070244
"Boyceville Public Library" "903 Main St." "Boyceville" "WI" "54725" -92.0391762 45.0447504
"Brandon Public Library" "117 E. Main St." "Brandon" "WI" "53919" -88.7823147 43.7350018
"Brillion Public Library" "326 N. Main St." "Brillion" "WI" "54110" -88.0642162 44.1791231
"Brodhead Memorial Public Library" "1207 25th St." "Brodhead" "WI" "53520" -89.3812512 42.6062243
"Brookfield Public Library" "1900 N. Calhoun Rd." "Brookfield" "WI" "53005" -88.1251378 43.0552467
"Brown Deer Public Library" "5600 W. Bradley Road" "Brown Deer" "WI" "53223" -87.9806296 43.1637347
"Brownsville Public Library" "379 Main St." "Brownsville" "WI" "53006" -88.4855231 43.6163755
"Bruce Area Library" "102 W. River Ave." "Bruce" "WI" "54819" -91.2772429 45.4562127
"Burlington Public Library" "166 E. Jefferson St." "Burlington" "WI" "53105" -88.2758449 42.67828
"Butler Public Library" "12808 W. Hampton Ave." "Butler" "WI" "53007" -88.0722883 43.1050814
"Forest Lodge Library" "13450 County Hwy M" "Cable" "WI" "54821" -91.2844372 46.2086842
"Cadott Community Library" "331 N. Main St." "Cadott" "WI" "54727" -91.150992 44.948635
"Jane Morgan Memorial Library" "109 W. Edgewater St." "Cambria" "WI" "53923" -89.108594 43.543307
"Cambridge Community Library" "200 S. Spring St." "Cambridge" "WI" "53523" -89.0174746 43.0028687
"Cameron Public Library" "603 Main St." "Cameron" "WI" "54822" -91.7349457 45.4136735
"Campbellsport Public Library" "220 N. Helena" "Campbellsport" "WI" "53010" -88.2763541 43.5993836
"Cashton Memorial Library" "720 Broadway St." "Cashton" "WI" "54619" -90.779424 43.7445639
"Eckstein Memorial Library" "1034 E. Dewey St." "Cassville" "WI" "53806" -90.9767772 42.7085295
"Cedar Grove Public Library" "131 Van Altena Ave." "Cedar Grove" "WI" "53013" -87.823863 43.57067
"Centuria Public Library" "409 4th St." "Centuria" "WI" "54824" -92.5540057 45.4511559
"Calhoun Memorial Library" "321 Moore St." "Chetek" "WI" "54728" -91.6535059 45.3150679
"Chilton Public Library" "221 Park St." "Chilton" "WI" "53014" -88.1583339 44.0300226
"Chippewa Falls Public Library" "105 W. Central St." "Chippewa Falls" "WI" "54729" -91.3937981 44.9351489
"Clear Lake Public Library" "350 Fourth Ave." "Clear Lake" "WI" "54005" -92.2702893 45.2502036
"Clinton Public Library" "214 Mill St." "Clinton" "WI" "53525" -88.8618245 42.5551471
"Clintonville Public Library" "75 Hemlock St." "Clintonville" "WI" "54929" -88.764478 44.621601
"Cobb Public Library" "109 S. Mifflin St." "Cobb" "WI" "53526" -90.3300613 42.9667732
"Colby Public Library" "211 W. Spence St." "Colby" "WI" "54421" -90.318002 44.9095379
"Coleman Library" "123 W. Main Street" "Coleman" "WI" "54112" -88.035544 45.06488
"Colfax Public Library" "613 Main St." "Colfax" "WI" "54730" -91.7276618 44.9992497
"Coloma Public Library" "155 S. Front St." "Coloma" "WI" "54930" -89.5224466 44.0340912
"Columbus Public Library" "223 W. James St." "Columbus" "WI" "53925" -89.016348 43.3390907
"Knutson Memorial Library" "500 Central Ave." "Coon Valley" "WI" "54623" -91.0116577 43.7023731
"Cornell Public Library" "117 N. Third St." "Cornell" "WI" "54732" -91.148595 45.1679699
"Crivitz Library" "606 Louisa Street" "Crivitz" "WI" "54114" -88.003815 45.232527
"Rosemary Garfoot Public Library" "2107 Julius St." "Cross Plains" "WI" "53528" -89.6464444 43.1138216
"Cuba City Public Library" "108 N. Main St." "Cuba City" "WI" "53807" -90.4306555 42.6068065
"Cudahy Family Library" "3500 Library Drive" "Cudahy" "WI" "53110" -87.8618167 42.9568627
"Cumberland Public Library" "1305 2nd Ave." "Cumberland" "WI" "54829" -92.0216126 45.5341179
"Darien Public Library" "47 Park St." "Darien" "WI" "53114" -88.7076468 42.5984867
"Johnson Public Library" "131 E. Catherine St." "Darlington" "WI" "53530" -90.1168572 42.6817208
"Brown County Library - Kress Family Branch Library" "333 N. Broadway" "De Pere" "WI" "54115" -88.061069 44.452084
"De Soto Public Library" "111 S. Houghton St." "De Soto" "WI" "54624" -91.1979694 43.4230642
"Deer Park Public Library" "112 Front St. W." "Deer Park" "WI" "54007" -92.3897972 45.1880676
"Deerfield Public Library" "12 W. Nelson St." "Deerfield" "WI" "53531" -89.0756819 43.0545276
"Deforest Area Public Library" "203 Library St." "Deforest" "WI" "53532" -89.3419828 43.247024
"Delafield Public Library" "500 Genesee St." "Delafield" "WI" "53018" -88.4038034 43.0591289
"Aram Public Library" "404 E. Walworth Ave." "Delavan" "WI" "53115" -88.6433782 42.6326746
"Brown County Library - Denmark Branch Library" "450 North Wall Street" "Denmark" "WI" "54208" -87.824184 44.353937
"Brickl Memorial Library" "500 East Avenue" "Dickeyville" "WI" "53808" -90.5890083 42.6283487
"Dodgeville Public Library" "139 S. Iowa St." "Dodgeville" "WI" "53533" -90.129814 42.9592979
"Dorchester Public Library" "155 N. Second St." "Dorchester" "WI" "54425" -90.3324095 45.0043288
"Dresser Public Library" "117 S. Central Ave." "Dresser" "WI" "54009" -92.6333789 45.3553851
"Drummond Public Library" "14990 Superior St." "Drummond" "WI" "54832" -91.2563169 46.336821
"Durand Community Library" "604 7th Ave. E." "Durand" "WI" "54736" -91.9582768 44.630489
"Alice Baker Memorial Public Library" "820 E. Main St." "Eagle" "WI" "53119" -88.461697 42.8794063
"Walter E. Olson Memorial Library" "203 N. Main St." "Eagle River" "WI" "54521" -89.250243 45.917662
"East Troy Lions Public Library" "3094 Graydon Ave." "East Troy" "WI" "53120" -88.4154587 42.7866903
"Indianhead Federated Library System" "1538 Truax Blvd" "Eau Claire" "WI" "54703" -91.52973 44.8355766
"L.E. Phillips Memorial Public Library" "400 Eau Claire St." "Eau Claire" "WI" "54701" -91.4990731 44.8130402
"Marathon County Public Library - Edgar" "224 S. 3rd Ave." "Edgar" "WI" "54426" -89.9642652 44.9218452
"Edgerton Public Library" "101 Albion St." "Edgerton" "WI" "53534" -89.0715603 42.8364362
"Door County Library - Egg Harbor Branch" "7860 Highway 42" "Egg Harbor" "WI" "54209" -87.279989 45.0526757
"Antigo Public Library - Elcho" "P.O. Box 800" "Elcho" "WI" "54428" -89.1835167 45.4349158
"Elkhart Lake Public Library" "40 Pine St." "Elkhart Lake" "WI" "53020" -88.017355 43.833883
"Matheson Memorial Library" "101 N. Wisconsin St." "Elkhorn" "WI" "53121" -88.5429647 42.6739228
"Ellsworth Public Library" "312 W. Main St." "Ellsworth" "WI" "54011" -92.4827326 44.7320941
"Elm Grove Public Library" "13600 Juneau Blvd." "Elm Grove" "WI" "53122" -88.0829188 43.046817
"Elmwood Public Library" "111 N. Main St" "Elmwood" "WI" "54740" -92.151864 44.779812
"Elroy Public Library" "501 Second Main St." "Elroy" "WI" "53929" -90.2719605 43.7404422
"Endeavor Public Library" "400 Church St." "Endeavor" "WI" "53930" -89.4657306 43.7116254
"Door County Library - Ephraim Branch" "9996 Water St" "Ephraim" "WI" "54211" -87.1711651 45.1565472
"Ettrick Public Library" "15570 School St" "Ettrick" "WI" "54627" -91.2652108 44.1672874
"Eager Free Public Library" "39 W. Main St." "Evansville" "WI" "53536" -89.3009412 42.7799973
"Fairchild Public Library" "208 Huron St." "Fairchild" "WI" "54741" -90.965293 44.600142
"Fall Creek Public Library" "122 E. Lincoln Ave." "Fall Creek" "WI" "54742" -91.275982 44.763286
"Dwight T. Parker Public Library" "925 Lincoln Ave." "Fennimore" "WI" "53809" -90.6551779 42.9834015
"Southwest Wisconsin Library System" "1775 Fourth Street" "Fennimore" "WI" "53809" -90.6623916 42.9883831
"Door County Library - Fish Creek Branch" "4097 Main St" "Fish Creek" "WI" "54212" -87.2418157 45.1263585
"Florence County Library" "400 Olive Ave." "Florence" "WI" "54121" -88.2486397 45.9248072
"Fond Du Lac Public Library" "32 Sheboygan St." "Fond Du Lac" "WI" "54935" -88.4453508 43.777477
"Fontana Public Library" "166 2nd Ave." "Fontana" "WI" "53125" -88.5788487 42.550659
"Door County Library - Forestville Branch" "123 S Forestville Ave." "Forestville" "WI" "54213" -87.479934 44.689119
"Dwight Foster Public Library" "102 E. Milwaukee Ave." "Fort Atkinson" "WI" "53538" -88.835458 42.926476
"Fox Lake Public Library" "117 W. State St." "Fox Lake" "WI" "53933" -88.907393 43.566304
"Franklin Public Library" "9151 W. Loomis Rd." "Franklin" "WI" "53132" -88.0273461 42.9010043
"Frederic Public Library" "127 Oak St. W." "Frederic" "WI" "54837" -92.4703943 45.6592712
