"Library Name" "Address" "City" "State" "ZIP Code" "Latitude" "Longitude"
"Alderson Public Library" "308 Walnut Ave." "Alderson" "WV" "24910" -80.6386603 37.7277603
"Ansted Public Library" "102 Oak St." "Ansted" "WV" "25812" -81.0973863 38.1352099
"Hannan Public Library" "6760 Ashton Upland Rd." "Ashton" "WV" "25503" -82.0726623 38.5681809
"Barboursville Public Library" "728 Main St." "Barboursville" "WV" "25504" -82.294245 38.409084
"Raleigh County Public Library" "221 N. Kanawha St." "Beckley" "WV" "25801" -81.1873407 37.7796484
"Belington Public Library" "512 Elliott Ave." "Belington" "WV" "26250" -79.9370619 39.0198489
"Riverside Public Library" "1 Warrior Way, Suite 104" "Belle" "WV" "25015" -81.512694 38.207217
"Morgan County Public Library" "105 Congress St." "Berkeley Springs" "WV" "25411" -78.226709 39.6278754
"Elk Valley Branch Library" "4636 Pennsylvania Avenue" "Big Chimney" "WV" "25302" -81.535023 38.4053619
"Clay Battelle Public Library" "6059 Mason Dixon Highway" "Blacksville" "WV" "26521" -80.215637 39.719108
"Craft Memorial Library" "600 Commerce Street" "Bluefield" "WV" "24701" -81.221254 37.2688042
"Branchland Public Library" "4 Mile Road At State Route 10" "Branchland" "WV" "25506" -82.1790936 38.229975
"Bridgeport Public Library" "1200 Johnson Avenue" "Bridgeport" "WV" "26330" -80.2758583 39.2995521
"Charles W. Gibson Public Library" "105 East Main Street" "Buckhannon" "WV" "26201" -80.2235359 38.9932638
"Upshur County Public Library" "box 480" "Buckhannon" "WV" "26201" -80.2320276 38.9939872
"Burnsville Public Library" "235 Kanawha Street" "Burnsville" "WV" "26335" -80.6570789 38.8592426
"Capon Bridge Public Library" "po box 88" "Capon Bridge" "WV" "26711" -78.4361189 39.2981565
"Chapmanville Public Library" "299 Vance Street" "Chapmanville" "WV" "25508" -82.0222958 37.9757537
"Cross Lanes Public Library" "5449 Big Tyler Rd." "Charleston" "WV" "25313" -81.7842278 38.4267841
"Kanawha County Public Library" "123 Capitol St." "Charleston" "WV" "25301" -81.6356382 38.3500517
"Sissonville Branch Library" "1 Tinney Lane" "Charleston" "WV" "25312" -81.6706898 38.4792228
"Lynn Murray Memorial Library" "601 Railroad Street" "Chester" "WV" "26034" -80.5609733 40.6149303
"Clarksburg-Harrison Co. Public Library" "404 W. Pike Street" "Clarksburg" "WV" "26301" -80.340798 39.2811517
"Clay County Public Library" "614 Main Street" "Clay" "WV" "25043" -81.0814401 38.475869
"Clendenin Branch Library" "1 Cardinal St." "Clendenin" "WV" "25045" -81.3492079 38.4884334
"Cowen Public Library" "47 Mill Street" "Cowen" "WV" "26206" -80.555894 38.408456
"Craigsville Public Library" "63 Library Lane" "Craigsville" "WV" "26205" -80.652451 38.328462
"Cross Lanes Branch Library" "5449 Big Tyler Road" "Cross Lanes" "WV" "25313" -81.7842278 38.4267841
"Mingo County Public Library" "po box 10" "Delbarton" "WV" "25670" -82.1840239 37.7106581
"Dunbar Branch Library" "301 12th St. Mall" "Dunbar" "WV" "25064" -81.7396881 38.3589873
"Eleanor Branch Library" "203 Eleanor Circle" "Eleanor" "WV" "25070" -81.9231893 38.5364671
"Dora Bee Woodyard Memorial Library" "po box 340" "Elizabeth" "WV" "26143" -81.3951198 39.0634129
"Elkins-Randolph Public Library" "416 Davis Ave" "Elkins" "WV" "26241" -79.8495069 38.9263221
"Marion County Public Library" "321 Monroe St." "Fairmont" "WV" "26554" -80.1447033 39.4848475
"Fairview Public Library" "407 Main St." "Fairview" "WV" "26570" -80.248602 39.5927999
"North Berkeley Public Library" "2363 Nestle Quarry Road" "Falling Waters" "WV" "25419" -77.856706 39.592477
"Fayetteville Public Library" "200 W. Maple Avenue" "Fayetteville" "WV" "25840" -81.104705 38.0519487
"Follansbee Public Library" "844 Main Street" "Follansbee" "WV" "26037" -80.595598 40.326918
"Fort Gay Public Library" "8608 R Broadway" "Fort Gay" "WV" "25514" -82.5939258 38.1150939
"Pendleton County Public Library" "504 N. Main Street" "Franklin" "WV" "26807" -79.3301011 38.6452417
"James Curry Public Library" "box 135" "French Creek" "WV" "26218" -80.2973054 38.8856557
"Gassaway Public Library" "536 Elk Street" "Gassaway" "WV" "26624" -80.7751229 38.673097
