"location" "miles" "latitude" "longitude"
"Prince Georges County Memorial Library - Surratts-Clinton<br/>9400 Piscataway Rd.<br/>Clinton, MD" 2.9931988715194 -76.9149794 38.7608137
"Prince Georges County Memorial Library - Spauldings<br/>5811 Old Silver Hill Road<br/>District Heights, MD" 4.08889798444755 -76.9053794 38.8531497
"Prince Georges County Memorial Library - Hillcrest Heights<br/>2398 Iverson St.<br/>Temple Hills, MD" 4.78511226340774 -76.9572023 38.8352344
"Prince Georges County Memorial Library - Oxon Hill<br/>6200 Oxon Hill Rd.<br/>Oxon Hill, MD" 5.42419889736167 -76.9838447 38.803491
"Prince Georges County Memorial Library - Largo-Kettering<br/>9601 Capital Lane<br/>Largo, MD" 6.99994568518616 -76.8386632 38.8914619
"Prince Georges County Memorial Library - Upper Marlboro<br/>14730 Main St.<br/>Upper Marlboro, MD" 7.2967342661464 -76.750814 38.8169083
"Prince Georges County Memorial Library - Fairmount Heights<br/>5904 Kolb St.<br/>Fairmount Heights, MD" 7.56454487152478 -76.9146738 38.90317
"Alexandria Library - Kate Waller Barrett Branch<br/>717 Queen Street<br/>Alexandria, VA" 8.84939107308609 -77.0471444 38.8078034
"North Bend Public Library<br/>140 East 8th Street<br/>North Bend, NE" 8.89896181055669 -76.9949807 38.891537
"Prince Georges County Memorial Library - Glenarden<br/>8724 Glenarden Pkwy.<br/>Glenarden, MD" 9.36848573422756 -76.8602162 38.930723
"Alexandria Library - James M. Duncan Branch Library<br/>2501 Commonwealth Avenue<br/>Alexandria, VA" 9.78192912316068 -77.0606148 38.8277936
"Martha Washington Library<br/>6614 Fort Hunt Road<br/>Alexandria, VA" 9.80550249469123 -77.0629649 38.7730454
"Prince Georges County Memorial Library - Bladensburg<br/>4820 Annapolis Rd.<br/>Bladensburg, MD" 10.2767809308368 -76.9346228 38.9396818
"Aurora Hills Library<br/>735 S. 18th St.<br/>Arlington, VA" 10.3587817281103 -77.0591731 38.8575326
"Prince Georges County Memorial Library - Mount Rainier<br/>3409 Rhode Island Ave.<br/>Mount Rainier, MD" 10.527741089935 -76.9595488 38.9367645
"Prince Georges County Memorial Library - South Bowie<br/>15301 Hall Road<br/>Bowie, MD" 10.6793472248223 -76.739597 38.9026
"Prince Georges County Memorial Library - Accokeek<br/>15773 Livingston Rd.<br/>Accokeek, MD" 10.910341480688 -77.0061573 38.6710564
"Sherwood Regional Library<br/>2501 Sherwood Hall Ln.<br/>Alexandria, VA" 10.9501426571073 -77.0749236 38.7434755
"Prince Georges County Memorial Library - Baden<br/>13603 Baden-Westwood Road<br/>Brandywine, MD" 11.1844441531613 -76.7715707 38.6605015
"Shirlington Library<br/>2786 S. Arlington Mill Dr.<br/>Arlington, VA" 11.3995031332005 -77.0872637 38.8410692
"Prince Georges County Memorial Library - New Carrollton<br/>7414 Riverdale Rd..<br/>New Carrollton, MD" 11.4675345219864 -76.8826328 38.9622982
"Government Reference Library<br/>1 Courthouse Plaza Suite 406<br/>Arlington, VA" 11.8197997375738 -77.0815435 38.8701968
"Columbia Pike Library<br/>816 S. Walter Reed Dr.<br/>Arlington, VA" 11.9946942614337 -77.0884744 38.8643634
"Alexandria Library - Ellen Coolidge Burke Branch<br/>4701 Seminary Road<br/>Alexandria, VA" 12.3848842973402 -77.1098687 38.8277912
"Prince Georges County Memorial Library System<br/>6532 Adelphi Road<br/>Hyattsville, MD" 12.4616285115413 -76.9491094 38.969309
"Prince Georges County Memorial Library - Hyattsville<br/>6530 Adelphi Rd.<br/>Hyattsville, MD" 12.466214585075 -76.949652 38.969253
"Alexandria Library - Charles E. Beatley, Jr. Central Library<br/>5005 Duke Street<br/>Alexandria, VA" 12.6329728786579 -77.117092 38.8123849
"Arlington Department Of Libraries<br/>2100 Clarendon Blvd.<br/>Arlington, VA" 12.665998950031 -77.0854467 38.8904283
"Arlington Public Library - Plaza Branch Library Arlington Shop<br/>2100 Clarendon Blvd<br/>Arlington, VA" 12.665998950031 -77.0854467 38.8904283
"John Marshall Library<br/>6209 Rose Hill Dr.<br/>Alexandria, VA" 12.714949685348 -77.1187885 38.7827661
"Arlington Central Library<br/>1015 N. Quincy St<br/>Arlington, VA" 13.4783968539907 -77.1072897 38.8837948
"Central Library<br/>1015 N. Quincy St.<br/>Arlington, VA" 13.4783968539907 -77.1072897 38.8837948
"P.D. Brown Memorial Branch Library<br/>50 Village Street<br/>Waldorf, MD" 13.5120672777378 -76.900187 38.601612
"Arlington Public Library - Glencarlyn Branch Library<br/>300 South Kensington Street<br/>Arlington, VA" 13.8548873042413 -77.1258882 38.8636035
"Cherrydale Library<br/>2190 N. Military Rd.<br/>Arlington, VA" 14.062992582229 -77.1092792 38.8987252
"Prince Georges County Memorial Library - Greenbelt<br/>11 Crescent Road<br/>Greenbelt, MD" 14.1310684761111 -76.8793572 39.0007782
"Woodrow Wilson Library<br/>6101 Knollwood Dr.<br/>Falls Church, VA" 14.4806484614524 -77.1429758 38.8512666
"Takoma Park Maryland Library<br/>101 Philadelphia Avenue<br/>Takoma Park, MD" 14.4902834337708 -77.0107628 38.9811501
"Prince Georges County Memorial Library - Bowie<br/>15210 Annapolis Road<br/>Bowie, MD" 14.741532497067 -76.7422131 38.979003
"Fairview Branch<br/>8120 Southern Maryland Boulevard<br/>Owings, MD" 14.99734984198 -76.640617 38.691248
"Westover Library<br/>1800 N. Lexington St.<br/>Arlington, VA" 15.1762612301568 -77.140016 38.887379
"Long Branch Library<br/>8800 Garland Ave.<br/>Silver Spring, MD" 15.4814198900145 -77.0011762 39.0007747
"Kingstowne Library<br/>6500 Landsdowne Centre<br/>Alexandria, VA" 15.6484591143693 -77.1645936 38.7400751
"Silver Spring Branch Library<br/>8901 Colesville Road<br/>Silver Spring, MD" 16.0104710638491 -77.0250422 39.0001333
"Archives Records Center For Fairfax County<br/>6800-A Industrial Road<br/>Springfield, VA" 16.0322388881815 -77.180994 38.798831
"Potomac Branch Library<br/>3225 Ruth B. Swann Drive<br/>Indian Head, MD" 16.2606005367233 -77.08686 38.623004
"George Mason Regional Library<br/>7001 Little River Turnpike<br/>Annandale, VA" 16.4520596595162 -77.1862695 38.8274251
"Prince Georges County Memorial Library - Beltsville<br/>4319 Sellman Rd.<br/>Beltsville, MD" 16.5800311464952 -76.9188618 39.0346354
"Little Falls Branch Library<br/>5501 Massachusetts Ave.<br/>Bethesda, MD" 16.5828868718581 -77.1101676 38.9589012
"Richard Byrd Library<br/>7250 Commerce Street<br/>Springfield, VA" 16.6752139679412 -77.1921295 38.7795851
"Mary Riley Styles Public Library<br/>120 North Virginia Avenue<br/>Falls Church, VA" 16.8507219262997 -77.1746309 38.885778
"Chevy Chase Branch Library<br/>8005 Connecticut Ave.<br/>Chevy Chase, MD" 17.0066074226216 -77.0765884 38.9911721
"Bethesda Branch Library<br/>7400 Arlington Rd.<br/>Bethesda, MD" 17.3636421718563 -77.0989104 38.9834175
"Thomas Jefferson Library<br/>7415 Arlington Boulevard<br/>Falls Church, VA" 17.7904812912238 -77.2016916 38.8654691
"South County Branch<br/>5940 Deale-Churchton Road<br/>Deale, MD" 17.8350955153938 -76.5532496 38.7836519
"White Oak Branch Library<br/>11701 New Hampshire Ave.<br/>Silver Spring, MD" 18.3549898456668 -76.9920951 39.0480914
"Crofton Area Branch<br/>1681 Riedel Road<br/>Crofton, MD" 18.6042985085639 -76.6793921 39.0134896
"Noyes Library For Young Children<br/>10237 Carroll Place<br/>Kensington, MD" 18.7806003170857 -77.0729734 39.0245656
"Tysons-Pimmit Regional Library<br/>7584 Leesburg Pike<br/>Falls Church, VA" 18.9903843036535 -77.2064149 38.906871
"Dolley Madison Library<br/>1244 Oak Ridge Ave.<br/>Mclean, VA" 19.0088802288342 -77.1846526 38.9399888
"Charles County Public Library<br/>2 Garrett Avenue<br/>La Plata, MD" 19.0157571233255 -76.9709593 38.5302124
"Lorton Library<br/>9520 Richmond Highway<br/>Lorton, VA" 19.049851901051 -77.2136604 38.698602
