"location" "miles" "latitude" "longitude"
"Coffee County-Manchester Public Library<br/>1005 Hillsboro Blvd.<br/>Manchester, TN" 6.76667166635802 -86.0775242 35.4739256
"Coffee County Lannom Memorial Public Library<br/>312 North Collins Street<br/>Tullahoma, TN" 9.65657661630198 -86.2192941 35.3615479
"Franklin County Public Library<br/>105 South Porter Street<br/>Winchester, TN" 13.7159550372939 -86.1103525 35.1868814
"May Justus Memorial Library<br/>24 Dixie Lee Avenue<br/>Monteagle, TN" 15.8632191071842 -85.826115 35.23959
"Altamont Public Library<br/>1433 Main Street<br/>Altamont, TN" 18.7554542310645 -85.7219996 35.426716
"Moore County Public Library<br/>17 Lynchburg Hwy.<br/>Lynchburg, TN" 19.4255902853511 -86.3733869 35.283927
"Coalmont Public Library<br/>7426 Sr 56<br/>Coalmont, TN" 19.7640928068837 -85.6995176 35.3635627
"Tracy City Public Library<br/>217 Shook Street<br/>Tracy City, TN" 19.814225317043 -85.731667 35.257042
"Beersheba Springs Public Library<br/>19683 State Route 56<br/>Beersheba Springs, TN" 22.8612106190303 -85.6578573 35.4649192
"Argie Cooper Public Library<br/>100 S. Main Street<br/>Shelbyville, TN" 24.2387066762058 -86.460377 35.482029
"Magness Community House Library<br/>118 West Main Street<br/>Mcminnville, TN" 26.0482480870429 -85.774229 35.68156
"Adams Memorial Library<br/>212 College Street<br/>Woodbury, TN" 30.9514391264497 -86.075761 35.825758
"Beene-Pearson Public Library<br/>208 Elm Avenue<br/>South Pittsburg, TN" 31.8740292887713 -85.706132 35.013269
"Jasper Public Library<br/>14 West Second Street<br/>Jasper, TN" 31.9021976980455 -85.6241322 35.0754873
"Orena Humphreys Public Library<br/>900 Main Street, Suite 1<br/>Whitwell, TN" 32.3594444445409 -85.519439 35.200752
"Fayetteville-Lincoln County Public Library<br/>400 Rocky Knob Lane<br/>Fayetteville, TN" 33.1923004045481 -86.569669 35.155625
"Bridgeport - Lena Cagle Public Library<br/>401 Alabama Avenue<br/>Bridgeport, AL" 35.3336349424659 -85.7143153 34.9476979
"Sequatchie County Public Library<br/>227 Cherry Street<br/>Dunlap, TN" 37.1356280177344 -85.391066 35.3715959
"Stevenson Public Library<br/>102 West Main Street<br/>Stevenson, AL" 37.215509093663 -85.8376203 34.8694699
"Linebaugh Public Library<br/>105 West Vine Street<br/>Murfreesboro, TN" 37.5188278320114 -86.3921044 35.844191
"Auburntown Public Library<br/>73 East Main Street<br/>Auburntown, TN" 39.4770574329321 -86.0959648 35.9482666
"Burritt Memorial Library<br/>424 College Street<br/>Spencer, TN" 41.6452380124008 -85.4631405 35.7462516
"Marshall County Memorial Library<br/>310 Old Farmington Road<br/>Lewisburg, TN" 41.6932066650567 -86.782676 35.457584
