"location" "miles" "latitude" "longitude"
"Aurora Public Library<br/>14949 East Alameda Parkway<br/>Aurora, CO" 3.0939826437856 -104.8151612 39.7104005
"Chambers Plaza Library<br/>15057 Colfax Avenue<br/>Aurora, CO" 3.94763701510084 -104.8136218 39.740243
"South Branch Library<br/>15324 East Hampden Circle<br/>Aurora, CO" 4.51492120366015 -104.8092771 39.6505925
"Iliff Square Library<br/>2245 South Peoria Street<br/>Aurora, CO" 5.09316726630872 -104.8471586 39.6759587
"Smoky Hill Public Library<br/>5430 South Biscay Circle<br/>Centennial, CO" 5.86360505395529 -104.7675316 39.6180927
"Moorhead Branch<br/>2390 Havana Street<br/>Aurora, CO" 6.66627990568314 -104.865466 39.752002
"Martin Luther King Jr. Branch Library<br/>9901 East 16th Avenue<br/>Aurora, CO" 6.69816507893639 -104.8728579 39.7420593
"Montbello Branch<br/>12955 Albrook Drive<br/>Denver, CO" 6.94009772769804 -104.840467 39.7802398
"Hampden Branch<br/>9755 East Girard Avenue<br/>Denver, CO" 7.0467301910488 -104.8747666 39.6546682
"Schlessman Family Branch<br/>100 South Poplar Street<br/>Denver, CO" 7.83383448545038 -104.9043474 39.7142547
"Virginia Village Branch<br/>1500 South Dahlia Street<br/>Denver, CO" 9.26549596743154 -104.931099 39.688861
"Glendale Library<br/>999 South Clermont<br/>Glendale, CO" 9.44217512745456 -104.935269 39.6986556
"Arapahoe Library District<br/>12855 East Adam Aircraft Circle<br/>Englewood, CO" 9.63062173340745 -104.8390773 39.5781242
"Arapahoe Library District<br/>12855 E. Adam Aircraft Circle<br/>Englewood, CO" 9.63062173340745 -104.8390773 39.5781242
"Pauline Robinson Branch<br/>5575 E 33rd Ave<br/>Denver, CO" 9.74670833537508 -104.9227264 39.7641148
"Park Hill Branch<br/>4705 Montview Boulevard<br/>Denver, CO" 9.80204508033314 -104.9325269 39.747775
