"location" "miles" "latitude" "longitude"
"Aurora Hills Library<br/>735 S. 18th St.<br/>Arlington, VA" 2.55744236620733 -77.0591731 38.8575326
"Alexandria Library - James M. Duncan Branch Library<br/>2501 Commonwealth Avenue<br/>Alexandria, VA" 2.76146618390016 -77.0606148 38.8277936
"Alexandria Library - Kate Waller Barrett Branch<br/>717 Queen Street<br/>Alexandria, VA" 3.1259133905736 -77.0471444 38.8078034
"Prince Georges County Memorial Library - Hillcrest Heights<br/>2398 Iverson St.<br/>Temple Hills, MD" 3.15949307990985 -76.9572023 38.8352344
"Prince Georges County Memorial Library - Oxon Hill<br/>6200 Oxon Hill Rd.<br/>Oxon Hill, MD" 3.31916496584767 -76.9838447 38.803491
"North Bend Public Library<br/>140 East 8th Street<br/>North Bend, NE" 3.3769799086438 -76.9949807 38.891537
"Shirlington Library<br/>2786 S. Arlington Mill Dr.<br/>Arlington, VA" 3.93302689953387 -77.0872637 38.8410692
"Government Reference Library<br/>1 Courthouse Plaza Suite 406<br/>Arlington, VA" 4.00846066685402 -77.0815435 38.8701968
"Columbia Pike Library<br/>816 S. Walter Reed Dr.<br/>Arlington, VA" 4.20362815242504 -77.0884744 38.8643634
"Arlington Department Of Libraries<br/>2100 Clarendon Blvd.<br/>Arlington, VA" 4.94359578082114 -77.0854467 38.8904283
"Arlington Public Library - Plaza Branch Library Arlington Shop<br/>2100 Clarendon Blvd<br/>Arlington, VA" 4.94359578082114 -77.0854467 38.8904283
"Alexandria Library - Ellen Coolidge Burke Branch<br/>4701 Seminary Road<br/>Alexandria, VA" 5.27940086846665 -77.1098687 38.8277912
"Martha Washington Library<br/>6614 Fort Hunt Road<br/>Alexandria, VA" 5.63052417270739 -77.0629649 38.7730454
"Arlington Central Library<br/>1015 N. Quincy St<br/>Arlington, VA" 5.67072605427476 -77.1072897 38.8837948
"Central Library<br/>1015 N. Quincy St.<br/>Arlington, VA" 5.67072605427476 -77.1072897 38.8837948
"Prince Georges County Memorial Library - Spauldings<br/>5811 Old Silver Hill Road<br/>District Heights, MD" 5.90198651491064 -76.9053794 38.8531497
"Alexandria Library - Charles E. Beatley, Jr. Central Library<br/>5005 Duke Street<br/>Alexandria, VA" 5.97699556641621 -77.117092 38.8123849
"Arlington Public Library - Glencarlyn Branch Library<br/>300 South Kensington Street<br/>Arlington, VA" 6.13748366390448 -77.1258882 38.8636035
"Cherrydale Library<br/>2190 N. Military Rd.<br/>Arlington, VA" 6.31077001038113 -77.1092792 38.8987252
"Prince Georges County Memorial Library - Fairmount Heights<br/>5904 Kolb St.<br/>Fairmount Heights, MD" 6.70747564745927 -76.9146738 38.90317
"Woodrow Wilson Library<br/>6101 Knollwood Dr.<br/>Falls Church, VA" 6.93706658674609 -77.1429758 38.8512666
"Prince Georges County Memorial Library - Mount Rainier<br/>3409 Rhode Island Ave.<br/>Mount Rainier, MD" 6.99394042955172 -76.9595488 38.9367645
"John Marshall Library<br/>6209 Rose Hill Dr.<br/>Alexandria, VA" 7.08779417245937 -77.1187885 38.7827661
"Westover Library<br/>1800 N. Lexington St.<br/>Arlington, VA" 7.3673252524693 -77.140016 38.887379
