"location" "miles" "latitude" "longitude"
"Valparaiso Community Library<br/>459 Valparaiso Pkwy<br/>Valparaiso, FL" 4.52134666780466 -86.4997423 30.5098088
"Fort Walton Beach Library<br/>185 Miracle Strip Pkwy Se<br/>Fort Walton Beach, FL" 5.17929877746234 -86.6054242 30.4036476
"Destin Library<br/>150 Sibert Avenue<br/>Destin, FL" 5.2198974872874 -86.508064 30.398979
"Niceville Public Library<br/>206 North Partin Dr.<br/>Niceville, FL" 6.21952130548826 -86.4765637 30.524449
"Okaloosa County Public Library Cooperative<br/>206 N. Partin Dr.<br/>Niceville, FL" 6.21952130548826 -86.4765637 30.524449
"Mary Esther Public Library<br/>100 Hollywood, West<br/>Mary Esther, FL" 7.45032689217053 -86.663784 30.4132305
"Navarre Library<br/>8484 James M. Harrell Road<br/>Navarre, FL" 21.7170835757447 -86.9123217 30.4109342
"Robert L. F. Sikes Public Library<br/>1445 Commerce Drive<br/>Crestview, FL" 22.5897254868373 -86.5545146 30.7901237
"Coastal Branch Library<br/>336 Greenway Trail<br/>Santa Rosa Beach, FL" 23.0510717096638 -86.179456 30.3792975
"Freeport Branch Library<br/>76 Highway 20 West<br/>Freeport, FL" 25.0479783603949 -86.1350167 30.497504
"Milton Library<br/>5541 Alabama Street<br/>Milton, FL" 31.3780933638991 -87.0407233 30.6355856
"Walton County Public Library System<br/>3 Circle Drive<br/>Defuniak Springs, FL" 31.4618112718383 -86.1156526 30.7183362
"Santa Rosa County Library System<br/>6568 Caroline St., Ste. 101<br/>Milton, FL" 31.5126520788545 -87.0497352 30.6209084
"Gladys N. Milton Memorial Library<br/>261 Flowersview Blvd<br/>Laurel Hill, FL" 36.2073038607654 -86.34188 30.954399
"Pace Library<br/>4750 Pace Patriot Blvd.<br/>Pace, FL" 37.2302441138302 -87.1544978 30.6104686
"Gulf Breeze Library<br/>1060 Shoreline Dr.<br/>Gulf Breeze, FL" 37.6344686750177 -87.1716968 30.3558338
"Lucia M. Tryon Branch<br/>5740 North Ninth Ave.<br/>Pensacola, FL" 38.8308929684881 -87.2043282 30.4815025
"Subregional Talking Book Library<br/>200 W Gregory St.<br/>Pensacola, FL" 39.8661886715757 -87.219436 30.415144
"West Florida Public Library<br/>200 West Gregory Street<br/>Pensacola, FL" 39.8661886715757 -87.219436 30.415144
"Florala Public Library<br/>1214 Fourth Street<br/>Florala, AL" 39.8886640179733 -86.3267746 31.0063286
"Panama City Beach Library<br/>116 South Arnold Road<br/>Panama City Beach, FL" 42.8946981147544 -85.8884018 30.228512
"Jay Library<br/>5259 Brooker Lane<br/>Jay, FL" 49.4441377440058 -87.1603853 30.9519367
"Southwest Branch Library<br/>12385 Sorrento Road A-2<br/>Pensacola, FL" 51.3794191774755 -87.4026046 30.3404308
"Vernon Branch Library<br/>3731 Roche Avenue<br/>Vernon, FL" 51.3804335813715 -85.711513 30.625058
"Samson Public Library<br/>200 North Johnson Street<br/>Samson, AL" 54.3279435574736 -86.0455999 31.1167
"Brewton Public Library<br/>206 West Jackson Street<br/>Brewton, AL" 54.8318279436221 -87.0701288 31.1202566
"Lynn Haven Public Library<br/>901 Ohio Avenue<br/>Lynn Haven, FL" 56.1002312113262 -85.6482475 30.2450365
"Flomaton Public Library<br/>608 Mccurdy Street<br/>Flomaton, AL" 56.2397848832417 -87.2600561 31.0039393
"Northwest Regional Library System<br/>898 West 11th Street<br/>Panama City, FL" 56.4043828103332 -85.672728 30.1685939
"Holmes County Public Library<br/>303 North J. Harvey Etheridge Street<br/>Bonifay, FL" 56.7704495591967 -85.6805475 30.7944923
"Emma Knox Kenan Public Library<br/>312 South Commerce Street<br/>Geneva, AL" 56.9492143020194 -85.8650663 31.0362033
"Bay County Public Library<br/>25 West Government Street<br/>Panama City, FL" 57.3232851269441 -85.6631897 30.1534504
"Andalusia Public Library<br/>212 South Three Notch Street<br/>Andalusia, AL" 58.4839221909959 -86.4828663 31.3068617
"Springfield Branch<br/>408 School Avenue<br/>Springfield, FL" 59.8950427103181 -85.6160148 30.1554552
"Opp Public Library<br/>1604 North Main Street<br/>Opp, AL" 60.8349840465398 -86.254919 31.304901
"Parker Public Library<br/>4710 Second Street<br/>Parker, FL" 61.1743320478518 -85.60498 30.129476
"Orange Beach Public Library<br/>26267 Canal Road<br/>Orange Beach, AL" 62.2186166333601 -87.5770429 30.2930572
"Washington County Public Library<br/>1444 Jackson Avenue<br/>Chipley, FL" 63.6129719115457 -85.5492017 30.778213
"Hartford - Mcgregor-Mckinney Public Library<br/>101 East Fulton St.<br/>Hartford, AL" 67.2351159035573 -85.696583 31.098357
"Foley Public Library<br/>319 East Laurel Avenue<br/>Foley, AL" 67.2517940651535 -87.6790322 30.4069456
"Atmore Public<br/>700 E. Church Street<br/>Atmore, AL" 67.5937189648524 -87.4857686 31.0226937
"Escambia County Cooperative Library System<br/>700 East Church Street<br/>Atmore, AL" 67.5937189648524 -87.4857686 31.0226937
"Summerdale - Marjorie Younce Snook Public Library<br/>202 West Broadway Street<br/>Summerdale, AL" 68.4658104544697 -87.7014456 30.4872271
