"location" "miles" "latitude" "longitude"
"Mary Esther Public Library<br/>100 Hollywood, West<br/>Mary Esther, FL" 1.99524202872416 -86.663784 30.4132305
"Fort Walton Beach Library<br/>185 Miracle Strip Pkwy Se<br/>Fort Walton Beach, FL" 5.51826440561847 -86.6054242 30.4036476
"Destin Library<br/>150 Sibert Avenue<br/>Destin, FL" 11.2800359043251 -86.508064 30.398979
"Navarre Library<br/>8484 James M. Harrell Road<br/>Navarre, FL" 12.9953060150208 -86.9123217 30.4109342
"Valparaiso Community Library<br/>459 Valparaiso Pkwy<br/>Valparaiso, FL" 13.0768582409209 -86.4997423 30.5098088
"Niceville Public Library<br/>206 North Partin Dr.<br/>Niceville, FL" 14.7701197905154 -86.4765637 30.524449
"Okaloosa County Public Library Cooperative<br/>206 N. Partin Dr.<br/>Niceville, FL" 14.7701197905154 -86.4765637 30.524449
"Santa Rosa County Library System<br/>6568 Caroline St., Ste. 101<br/>Milton, FL" 25.16073320403 -87.0497352 30.6209084
"Milton Library<br/>5541 Alabama Street<br/>Milton, FL" 25.2847648102148 -87.0407233 30.6355856
"Robert L. F. Sikes Public Library<br/>1445 Commerce Drive<br/>Crestview, FL" 26.693443550754 -86.5545146 30.7901237
"Gulf Breeze Library<br/>1060 Shoreline Dr.<br/>Gulf Breeze, FL" 28.8300977137085 -87.1716968 30.3558338
"Pace Library<br/>4750 Pace Patriot Blvd.<br/>Pace, FL" 30.2797003231076 -87.1544978 30.6104686
"Lucia M. Tryon Branch<br/>5740 North Ninth Ave.<br/>Pensacola, FL" 30.6357892817223 -87.2043282 30.4815025
"Coastal Branch Library<br/>336 Greenway Trail<br/>Santa Rosa Beach, FL" 30.9093341245577 -86.179456 30.3792975
"Subregional Talking Book Library<br/>200 W Gregory St.<br/>Pensacola, FL" 31.2904143443455 -87.219436 30.415144
"West Florida Public Library<br/>200 West Gregory Street<br/>Pensacola, FL" 31.2904143443455 -87.219436 30.415144
"Freeport Branch Library<br/>76 Highway 20 West<br/>Freeport, FL" 33.776275267044 -86.1350167 30.497504
"Walton County Public Library System<br/>3 Circle Drive<br/>Defuniak Springs, FL" 40.0745562626633 -86.1156526 30.7183362
"Gladys N. Milton Memorial Library<br/>261 Flowersview Blvd<br/>Laurel Hill, FL" 42.2968089062817 -86.34188 30.954399
"Southwest Branch Library<br/>12385 Sorrento Road A-2<br/>Pensacola, FL" 42.6178052052558 -87.4026046 30.3404308
"Jay Library<br/>5259 Brooker Lane<br/>Jay, FL" 45.8462593768474 -87.1603853 30.9519367
"Florala Public Library<br/>1214 Fourth Street<br/>Florala, AL" 45.8691150464926 -86.3267746 31.0063286
"Panama City Beach Library<br/>116 South Arnold Road<br/>Panama City Beach, FL" 50.0145998389066 -85.8884018 30.228512
"Flomaton Public Library<br/>608 Mccurdy Street<br/>Flomaton, AL" 52.350354235842 -87.2600561 31.0039393
"Brewton Public Library<br/>206 West Jackson Street<br/>Brewton, AL" 53.0948881393835 -87.0701288 31.1202566
"Orange Beach Public Library<br/>26267 Canal Road<br/>Orange Beach, AL" 53.41870198703 -87.5770429 30.2930572
"Foley Public Library<br/>319 East Laurel Avenue<br/>Foley, AL" 58.71397578578 -87.6790322 30.4069456
"Summerdale - Marjorie Younce Snook Public Library<br/>202 West Broadway Street<br/>Summerdale, AL" 60.1758002999758 -87.7014456 30.4872271
