"location" "miles" "latitude" "longitude"
"Hampton Public Library - Willow Oaks Branch Library<br/>227 Fox Hill Road<br/>Hampton, VA" 2.47677901050191 -76.3280361 37.0577629
"Poquoson Public Library<br/>500 City Hall Ave.<br/>Poquoson, VA" 3.3624913687138 -76.3966502 37.1218729
"Hampton Public Library - George Wythe Law Library<br/>101 Kings Way<br/>Hampton, VA" 3.99913650098441 -76.3450673 37.0268088
"Hampton Public Library<br/>4207 Victoria Blvd<br/>Hampton, VA" 4.37187972083187 -76.3513813 37.0206163
"Hampton Public Library - Northampton Branch Library<br/>936 Big Bethel Road<br/>Hampton, VA" 4.61716784796953 -76.4280176 37.0455352
"Hampton Public Library - Phoebus Branch Library<br/>1 South Mallory Street<br/>Hampton, VA" 4.92937651616038 -76.3213244 37.0189842
"Tabb Library<br/>100 Long Green Blvd.<br/>Yorktown, VA" 5.23950745480823 -76.4463579 37.1136288
"York County Public Library<br/>100 Long Green Boulevard<br/>Yorktown, VA" 5.23950745480823 -76.4463579 37.1136288
"Library Administration Office<br/>700 Town Center Drive, Suite 300<br/>Newport News, VA" 6.33300714147462 -76.4739288 37.0864711
"Newport News Public Library System<br/>700 Town Center Dr., Ste. 300<br/>Newport News, VA" 6.33300714147462 -76.4739288 37.0864711
"Main Street Library-Bookmobile<br/>110 Main Street<br/>Newport News, VA" 6.52291505848041 -76.458627 37.032522
"Pearl Bailey Library<br/>2510 Wickham Ave.<br/>Newport News, VA" 7.40885393687532 -76.4127321 36.9852876
"West Ave. Library<br/>30th West Ave.<br/>Newport News, VA" 7.56003536441111 -76.4203605 36.9857179
"Public Law Library<br/>2501 Washington Ave.<br/>Newport News, VA" 8.30520638102909 -76.4307974 36.9779112
"Yorktown Library<br/>8500 George Washington Memorial Highway<br/>, VA" 10.5823696741335 -76.4897478 37.1956577
"Virgil I. Grissom Library<br/>366 Deshazor Drive<br/>Newport News, VA" 10.6978238654204 -76.5444934 37.129177
"Mary D. Pretlow Anchor Branch Library<br/>111 W. Ocean View Avenue<br/>Norfolk, VA" 10.8234901181256 -76.2512446 36.9529338
"Larchmont Branch Library<br/>6525 Hampton Blvd.<br/>Norfolk, VA" 12.9719667224942 -76.3041985 36.9012018
"Little Creek Branch Library<br/>7853 Tarpon Place<br/>Norfolk, VA" 14.2566449683332 -76.2099101 36.9154086
"Point Branch Library<br/>1720 George Washington Memorial Highway<br/>Hayes, VA" 14.2614294604788 -76.495393 37.258815
"Barron F. Black Branch Library<br/>6700 E. Tanners Creek Dr.<br/>Norfolk, VA" 14.4796810558085 -76.2294529 36.9016462
"Lafayette Branch Library<br/>1610 Cromwell Drive<br/>Norfolk, VA" 14.5302856639243 -76.2644317 36.8875731
"Carrollton Library<br/>14362 New Towne Haven Lane<br/>Carrollton, VA" 14.7317401827353 -76.557231 36.94083
"Park Place Branch Library<br/>620 West 29th Street<br/>Norfolk, VA" 14.848603231235 -76.2916195 36.8757542
"Van Wyck Branch Library<br/>1368 Debree Avenue<br/>Norfolk, VA" 15.5963932370777 -76.2914075 36.8646454
"Portsmouth Public Library - Churchland Branch<br/>4934 High Street West<br/>Portsmouth, VA" 16.0217335927303 -76.3785152 36.8524036
"Blyden Branch Library<br/>879 E. Princess Anne Rd.<br/>Norfolk, VA" 16.3263235954764 -76.2758939 36.8570714
"Janaf Branch Library<br/>124 Janaf Shopping Center<br/>Norfolk, VA" 16.6018748941456 -76.2858726 36.8507689
"Norfolk Public Library<br/>301 East City Hall Avenue<br/>Norfolk, VA" 16.787080533255 -76.289653 36.847278
"Norfolk Main Library<br/>235 East Plume Street<br/>Norfolk, VA" 16.8215311034163 -76.2904329 36.846621
"Jordan-Newby Branch Library<br/>961 Park Avenue<br/>Norfolk, VA" 16.8399081422182 -76.2662872 36.851663
"Smithfield Library<br/>255 James Street<br/>Smithfield, VA" 16.904853804839 -76.6383371 36.9831158
"North Suffolk Library<br/>2000 Bennetts Creek Park Road<br/>Suffolk, VA" 17.1520175189194 -76.4710798 36.8522158
"Esther Murdaugh Wilson Memorial Room<br/>601 Court Street<br/>Portsmouth, VA" 17.5388461541311 -76.300284 36.8343707
"Russell Memorial Library<br/>2808 Taylor Road<br/>Chesapeake, VA" 17.5975107370393 -76.4182989 36.833528
"Horace C. Downing Branch Library<br/>555 E. Liberty Street<br/>Norfolk, VA" 18.1609205521702 -76.2807118 36.8285716
"Portsmouth Public Library - Manor Branch<br/>1401 Elmhurst Lane<br/>Portsmouth, VA" 18.7766141052744 -76.380787 36.812612
"South Norfolk Memorial Library<br/>1100 Poindexter Street<br/>Chesapeake, VA" 18.9083957262308 -76.276535 36.818267
"Bayside Special Service Library<br/>936 Independence Boulevard<br/>Virginia Beach, VA" 19.3695455603924 -76.1327721 36.8697773
"Dr. Clarence V. Cuffee Library<br/>2726 Border Road<br/>Chesapeake, VA" 19.4845148999946 -76.2517072 36.8152559
"Portsmouth Public Library - Cradock Branch<br/>28 Prospect Parkway<br/>Portsmouth, VA" 19.6334697316555 -76.3171134 36.8016799
"Indian River Library<br/>2320 Old Greenbrier Road<br/>Chesapeake, VA" 20.5618781898282 -76.2353781 36.8032197
"Kempsville Area Library<br/>832 Kempsville Road<br/>Virginia Beach, VA" 21.4794074153495 -76.1634456 36.8152901
"Major Hillard Library<br/>824 Old George Washington Highway, N.<br/>Chesapeake, VA" 21.8222196059852 -76.344254 36.7682629
