"location" "miles" "latitude" "longitude"
"Parkland-Spanaway Library<br/>13718 Pacific Avenue South<br/>Tacoma, WA" 2.34249142648875 -122.436043 47.132215
"Lakewood Library<br/>6300 Wildaire Road Sw<br/>Lakewood, WA" 2.46609371989329 -122.5214186 47.1603566
"Tillicum Library<br/>14916 Washington Avenue Sw<br/>Lakewood, WA" 3.3066909826782 -122.554292 47.123784
"Fern Hill Branch Library<br/>765 South 84th<br/>Tacoma, WA" 3.84425675881982 -122.4428546 47.1815553
"Pierce County Library System<br/>3005 112th Street East<br/>Tacoma, WA" 4.87407536590967 -122.3869745 47.1555293
"South Tacoma Branch Library<br/>3411 South 56th Street<br/>Tacoma, WA" 4.99605415698149 -122.4820518 47.206425
"Steilacoom Library<br/>2950 Steilacoom Boulevard Sw<br/>Steilacoom, WA" 5.25883163277777 -122.5784724 47.1766993
"Moore Branch Library<br/>215 South 56th Street<br/>Tacoma, WA" 5.53523542596318 -122.43573 47.2066841
"Summit Library<br/>5107 112th Street East<br/>Tacoma, WA" 6.055825215725 -122.360652 47.1549017
"University Place Library<br/>3605 Bridgeport Way West<br/>University Place, WA" 6.79758012338307 -122.536961 47.2261362
"Swan Creek Branch Library<br/>3828 Portland Avenue<br/>Tacoma, WA" 7.07551001581581 -122.40823 47.221921
"Mottet Branch Library<br/>3523 East G Street<br/>Tacoma, WA" 7.19347796704425 -122.4218855 47.2287483
"Dr. Martin Luther King, Jr. Branch Library<br/>1902 South Cedar<br/>Tacoma, WA" 7.49350945016766 -122.476684 47.242398
"Tacoma Public Library<br/>1102 Tacoma Ave S<br/>Tacoma, WA" 8.38659853331751 -122.4447808 47.2522468
"Swasey Branch Library<br/>7001 Sixth Avenue<br/>Tacoma, WA" 8.66982725671213 -122.5304581 47.2558375
"South Hill Library<br/>15420 Meridian East<br/>Puyallup, WA" 9.10257331495583 -122.2941397 47.1162804
"Wheelock Branch Library<br/>3722 North 26th<br/>Tacoma, WA" 9.44350649578985 -122.4865267 47.2707616
"Roy City Library<br/>122 3rd St. E<br/>Roy, WA" 9.48669910120498 -122.5427266 47.0027083
"Puyallup Public Library<br/>324 S Meridian<br/>Puyallup, WA" 9.73748148045943 -122.2953643 47.1895802
