"location" "miles" "latitude" "longitude"
"Port Tampa Branch Library<br/>8611 Interbay Blvd.<br/>Tampa, FL" 2.45351642940085 -82.526589 27.866165
"Jan K. Platt Regional Library<br/>3910 S. Manhattan Avenue<br/>Tampa, FL" 3.93022948113969 -82.5173943 27.9073771
"Charles J. Fendig Library<br/>3909 Neptune Street<br/>Tampa, FL" 5.26784742612966 -82.5086706 27.9308128
"Hillsborough County Public Library Cooperative<br/>900 North Ashley Drive<br/>Tampa, FL" 6.68769180497773 -82.4623379 27.9509263
"West Tampa Branch Library<br/>2312 W. Union St.<br/>Tampa, FL" 6.97960354249569 -82.4832724 27.9577322
"Robert W. Saunders, Sr. Branch Library<br/>1505 N. Nebraska Ave.<br/>Tampa, FL" 7.36559815130597 -82.4507628 27.9582221
"Ybor City Branch<br/>1505 Nebraska<br/>Tampa, FL" 7.36559815130597 -82.4507628 27.9582221
"78th Street Community Library<br/>7625 Palm River Road<br/>Tampa, FL" 9.15691366297141 -82.3716056 27.9403865
"College Hill Branch Library<br/>2607 East Martin L. King Dr.<br/>Tampa, FL" 9.28759848285335 -82.4303508 27.9811921
"Seminole Heights Branch Library<br/>4711 Central Ave.<br/>Tampa, FL" 9.31686037403117 -82.4550403 27.9884436
"Riverview Branch Library<br/>10509 Riverview Drive<br/>Riverview, FL" 9.73487965395689 -82.329519 27.8714312
"North Branch Library<br/>861 70th Ave North<br/>St. Petersburg, FL" 9.77254509653301 -82.645865 27.8359368
"Egypt Lake Partnership Library<br/>3403 West Lambright Street<br/>Tampa, FL" 10.4122070071321 -82.4987959 28.0071263
"Mirror Lake Branch<br/>280 5th Street N<br/>St. Petersburg, FL" 10.9181922835695 -82.6402905 27.7748361
"West Gate Branch Library<br/>7609 Paula Dr.<br/>Tampa, FL" 10.9421099881475 -82.5661172 27.9991848
"North Tampa Branch Library<br/>8916 North Blvd.<br/>Tampa, FL" 12.1961666902638 -82.4683709 28.0323841
"James Weldon Johnson Branch Library<br/>1059 18th Ave South<br/>St. Petersburg, FL" 12.2417866591987 -82.6494741 27.7525926
"St. Petersburg Public Library<br/>3745 Ninth Ave. No.<br/>St. Petersburg, FL" 13.1034397267208 -82.6844132 27.7816559
"Brandon Branch<br/>619 Vonderburg Drive<br/>Brandon, FL" 13.2601973847265 -82.2873137 27.9299292
"Pinellas Park Public Library<br/>7770 52nd Street North<br/>Pinellas Park, FL" 13.2912756626688 -82.7045493 27.8423703
"Temple Terrace Public Library<br/>202 Bullard Pkwy<br/>Temple Terrace, FL" 13.5286270986745 -82.3912684 28.032894
"Seffner-Mango Branch Library<br/>11724 East Ml King Jr. Blvd<br/>Seffner, FL" 14.3685038394929 -82.2998772 27.9816406
"Science Library At Mosi-Museum Of Science And<br/>4801 E Fowler Avenue<br/>Tampa, FL" 14.53935635244 -82.4039417 28.0535966
"South Branch Library<br/>2300 Roy Hanna Dr. South<br/>St. Petersburg, FL" 14.8132114182587 -82.6649771 27.7109546
"Safety Harbor Public Library<br/>101 Second St North<br/>Safety Harbor, FL" 15.4071660323861 -82.6884967 27.991756
"Gulfport Public Library<br/>5501 28th Avenue South<br/>Gulfport, FL" 15.6139745088155 -82.7078814 27.7425883
"Jimmie B. Keel Regional Library<br/>2902 W. Bearss Avenue<br/>Tampa, FL" 15.9099352663845 -82.4919859 28.0868855
"Oldsmar Public Library<br/>101 State St. W<br/>Oldsmar, FL" 16.4596984671185 -82.6636086 28.0372341
"East Library<br/>2251 Drew Street<br/>Clearwater, FL" 17.4371805086434 -82.7442512 27.9674212
"St. Pete Beach Public Library<br/>365 73rd Ave<br/>St. Pete Beach, FL" 17.87486953514 -82.7493836 27.7417826
"Thonotosassa Branch Library<br/>10715 Main St.<br/>Thonotosassa, FL" 18.2173939662939 -82.2948444 28.0576409
