"location" "miles" "latitude" "longitude"
"Miller Lakeland Library<br/>124 South Valdosta Road<br/>Lakeland, GA" 8.58995102383724 -83.0752357 31.0408795
"South Georgia Regional Library System<br/>300 Woodrow Wilson Drive<br/>Valdosta, GA" 9.30183510435831 -83.2855274 30.860037
"Slater Hahira Library<br/>220 East Main Street<br/>Hahira, GA" 10.5337363730276 -83.3686425 30.9915667
"Mccullen Southside Library<br/>527 Griffin Avenue<br/>Valdosta, GA" 11.219721114196 -83.2654018 30.8187657
"Carrie Dorsey Perry Memorial Library<br/>315 West Marion Avenue<br/>Nashville, GA" 16.9027645301471 -83.2531954 31.2074753
"Cook County Library<br/>213 East Second Street<br/>Adel, GA" 18.0590642290287 -83.422477 31.140451
"Johnson Lakes Library<br/>720 Lakes Blvd<br/>Lake Park, GA" 19.7301043069016 -83.2112121 30.6838105
"Brooks County Public Library System<br/>404 Barwick Rd.<br/>Quitman, GA" 25.6485775934112 -83.5707859 30.7886564
"Jennings Public Library<br/>1322 Plum Street<br/>Jennings, FL" 25.8497725792497 -83.100053 30.603556
"Clinch County Public Library<br/>507 W. Dame Street<br/>Homerville, GA" 26.3439035208607 -82.7556985 31.035729
"Berlin Community Library<br/>285 Langford Street<br/>Berlin, GA" 26.4642552204059 -83.6238012 31.0690876
"Pearson Public Library<br/>202 E. Bullard Ave.<br/>Pearson, GA" 30.5940776796352 -82.8488295 31.2984569
"Pavo Public Library<br/>219 E. Harris Street<br/>Pavo, GA" 32.0874961351529 -83.7339204 30.9597655
"Jasper Public Library<br/>311 Hatley Street Ne<br/>Jasper, FL" 34.4499697157044 -82.944648 30.518669
"Madison County Library<br/>100 College Drive<br/>Madison, FL" 34.9255143224623 -83.3875785 30.4922038
"Boston Carnegie Library<br/>250 South Main Street<br/>Boston, GA" 37.5498458481582 -83.790492 30.790397
"Moultrie-Colquitt County Library System<br/>204 5th Street Se<br/>Moultrie, GA" 37.8309897169062 -83.7833048 31.1772135
"Lee Library<br/>190 S.E. Cr 255<br/>Lee, FL" 38.5879191104587 -83.3006663 30.4184957
