"location" "miles" "latitude" "longitude"
"Spring Lake Branch<br/>101 Laketree Blvd<br/>Spring Lake, NC" 1.76183493034029 -78.9866822 35.1823548
"North Regional Branch Library<br/>855 Mcarthur Road<br/>Fayetteville, NC" 7.25352139006206 -78.896949 35.1289589
"Cliffdale Branch Library<br/>6882 Cliffdale Road<br/>Fayetteville, NC" 7.68081815753794 -79.008977 35.0599343
"Anderson Creek Public Library<br/>914 Anderson Creek School Rd<br/>Bunnlevel, NC" 9.42752659860076 -78.9174683 35.2817479
"Bordeaux Branch Library<br/>3711 Village Drive<br/>Fayetteville, NC" 10.843545161361 -78.9402702 35.0263634
"Cumberland County Public Library Information Center<br/>300 Maiden Lane<br/>Fayetteville, NC" 10.9797289711172 -78.8812813 35.0554726
"Fayetteville Law Library<br/>117 Dick St 340<br/>Fayetteville, NC" 11.4042490737583 -78.876289 35.0508912
"Hope Mills Branch Library<br/>3411 Golfview Road<br/>Hope Mills, NC" 13.9503987595663 -78.9589269 34.9744023
"Vass Area Library<br/>128 Seaboard Street<br/>Vass, NC" 16.2285576035731 -79.2821113 35.2559497
"East Regional Branch Library<br/>4809 Clinton Road<br/>Fayetteville, NC" 17.1068668809906 -78.7604113 35.0369087
"Hoke County Public Library<br/>334 North Main Street<br/>Raeford, NC" 17.6056275804377 -79.2237243 34.9825719
"Harnett County Public Library<br/>601 S. Main St.<br/>Lillington, NC" 19.4542666857545 -78.8149464 35.4001427
"Broadway Branch Library<br/>206 S Main St<br/>Broadway, NC" 19.793219713865 -79.0522579 35.4553555
"Jonesboro Branch Library<br/>309 West Main Street<br/>Sanford, NC" 21.1856104225347 -79.1538379 35.455261
"Southern Pines Public Library<br/>170 West Connecticut Avenue<br/>Southern Pines, NC" 21.262993459844 -79.3904968 35.1760693
"Erwin Public Library<br/>110 W. F. St.<br/>Erwin, NC" 21.8824825951722 -78.677147 35.326352
"Lee County Library<br/>107 Hawkins Avenue<br/>Sanford, NC" 23.4427648543899 -79.1782346 35.4823399
"Page Memorial Library<br/>100 S. Poplar Street<br/>Aberdeen, NC" 23.5653478413906 -79.4284844 35.132355
"Dunn Public Library<br/>110 East Divine Street<br/>Dunn, NC" 24.6284036514239 -78.6111927 35.3059955
"Coats Public Library<br/>243 S. Mckinley St.<br/>Coats, NC" 25.1968414330623 -78.6719691 35.4043521
"St. Pauls Public Library<br/>223 W. Broad Street<br/>St. Pauls, NC" 25.2965376659248 -78.973589 34.806721
"Moore County Library<br/>101 Saunders Street<br/>Carthage, NC" 25.7755943220106 -79.4180061 35.3449104
"Pinebluff Public Library<br/>305 East Baltimore Avenue<br/>Pinebluff, NC" 26.0259391744129 -79.46822 35.108464
"Wagram Branch Library<br/>PO box 118<br/>Wagram, NC" 27.9250260157957 -79.3661515 34.8879396
"Angier Public Library<br/>28 N. Raleigh Rd.<br/>Angier, NC" 27.9556297181789 -78.7404878 35.5075778
"Mary Duncan Public Library<br/>100 W. Main Street<br/>Benson, NC" 30.1151561550192 -78.547929 35.38172
"Fuquay-Varina Library<br/>133 S. Fuquay Avenue<br/>Fuquay-Varina, NC" 31.0124695203633 -78.7978114 35.5829283
"Roseboro Public Library<br/>300 West Roseboro Street<br/>Roseboro, NC" 32.1884591669095 -78.5127266 34.9521508
"Goldston Public Library<br/>9235 Pittsboro Goldston Rd<br/>Goldston, NC" 34.2736469222501 -79.328836 35.594929
"Gilbert Patterson Memorial Public Library<br/>210 N Florence St<br/>Maxton, NC" 35.3699009972481 -79.34951 34.7395314
"Pembroke Public Library<br/>413 Blaine St<br/>Pembroke, NC" 35.6896255758434 -79.1930208 34.6761324
"Robbins Area Branch<br/>161 East Magnolia Drive<br/>Robbins, NC" 37.0203542726028 -79.5872119 35.431562
"Scotland County Memorial Library<br/>312 W. Church St.<br/>Laurinburg, NC" 37.4589481582165 -79.4658967 34.7753609
"Bryan Memorial Library<br/>302 West Weeksdale Street<br/>Newton Grove, NC" 37.5895224764871 -78.3552742 35.2427465
"Robeson County Public Library<br/>101 N. Chestnut Street<br/>Lumberton, NC" 38.2789093598444 -79.0080896 34.6175279
"Pittsboro Memorial Library<br/>204 West St<br/>Pittsboro, NC" 39.1580976168355 -79.1811268 35.7204502
"Chatham Community Library<br/>197 Nc Hwy 87 N<br/>Pittsboro, NC" 39.4906360968585 -79.1894379 35.7237001
"J.C. Holliday Library<br/>217 Graham Street<br/>Clinton, NC" 40.9811033420171 -78.322154 34.9976569
"Eva Perry Regional Library<br/>2100 Shepherds Vineyard Drive<br/>Apex, NC" 41.0055966552494 -78.825125 35.743253
"Currie Memorial Library<br/>138 S School St<br/>Candor, NC" 42.2230840538773 -79.7465651 35.2934422
"Kemp Sugg Memorial Library<br/>279 2nd Street<br/>Ellerbe, NC" 42.8928254644874 -79.762967 35.072314
"Southeast Regional Library<br/>908 7th Avenue<br/>Garner, NC" 43.1487267575002 -78.6210934 35.7060093
"Hamlet Public Library<br/>302 Main Street<br/>Hamlet, NC" 43.7409576357046 -79.7037222 34.8856991
"Bladen County Public Library<br/>111 N. Cypress Street<br/>Elizabethtown, NC" 44.1009793184706 -78.6041089 34.629423
"Miriam B. Lamb Memorial Library<br/>144 South Church Avenue<br/>Garland, NC" 44.1352490421653 -78.3901146 34.7896037
"Public Library Of Johnston County Smithfield<br/>305 Market Street<br/>Smithfield, NC" 44.2568286338437 -78.3527374 35.5143215
"Cary Branch Library<br/>310 South Academy Street<br/>Cary, NC" 44.4077202057997 -78.7816231 35.784208
"Athens Drive Community Library<br/>1420 Athens Drive<br/>Raleigh, NC" 44.7383735389944 -78.7113269 35.7686517
"Biscoe Branch Library (Allen Library)<br/>307 Page Street<br/>Biscoe, NC" 45.2316343958516 -79.7804481 35.3618641
