"location" "miles" "latitude" "longitude"
"Suntree-Viera Public Library<br/>335 Pineda Court, Unit 335<br/>Melbourne, FL" 4.25005108103003 -80.6758936 28.2273852
"Satellite Beach Public Library<br/>751 Jamaica Boulevard<br/>Satellite Beach, FL" 5.57004439480623 -80.595525 28.1596381
"Cocoa Beach Public Library<br/>550 N. Brevard Avenue<br/>Cocoa Beach, FL" 6.06049109787965 -80.6115278 28.3270064
"Eau Gallie Public Library<br/>1521 Pineapple Avenue<br/>Melbourne, FL" 7.50853246933779 -80.6260019 28.1321476
"Cape Canaveral Public Library<br/>201 Polk Avenue<br/>Cape Canaveral, FL" 10.0174083833968 -80.6036059 28.3842396
"Melbourne Public Library<br/>540 East Fee Avenue<br/>Melbourne, FL" 10.8762366406921 -80.6126425 28.0822978
"Brevard County Library System<br/>308 Forrest Avenue<br/>Cocoa, FL" 11.1791088593069 -80.7299885 28.3598379
"Talking Book Library<br/>308 Forrest Ave.<br/>Cocoa, FL" 11.1791088593069 -80.7299885 28.3598379
"Merritt Island Public Library<br/>1195 N. Courtenay Parkway<br/>Merritt Island, FL" 11.2100741890579 -80.7028345 28.3781026
"Dr. Martin Luther King Jr. Library<br/>995 East University Blvd.<br/>Melbourne, FL" 12.1496984669639 -80.6055965 28.0638313
"Melbourne Beach Library<br/>324 Ocean Avenue<br/>Melbourne Beach, FL" 12.1641711208816 -80.5595546 28.0687742
"West Melbourne Public Library<br/>2755 Wingate Blvd.<br/>Melbourne, FL" 12.9407025555212 -80.6690608 28.0604309
"Palm Bay Public Library<br/>1520 Port Malablar Blvd. Ne<br/>Palm Bay, FL" 15.4196119125005 -80.6039447 28.0165741
"Franklin T. Degroodt Memorial Library<br/>6475 Minton Rd. Sw<br/>Palm Bay, FL" 17.2562751980278 -80.6704871 27.996261
"Port St. John Public Library<br/>6500 Carole Ave.<br/>Port St. John, FL" 19.2222915300925 -80.780835 28.471752
"South Mainland Library-Micco<br/>299 Barefoot Boulevard<br/>Barefoot Bay, FL" 25.3927421669761 -80.5059181 27.8834926
"South Mainland Public Library<br/>7921 Ron Beatty Blvd.<br/>Micco, FL" 25.4723799020781 -80.5058094 27.8823297
"North Brevard Public Library<br/>2121 South Hopkins Avenue<br/>Titusville, FL" 27.1633834908972 -80.806515 28.5909887
"North Indian River County Library<br/>1001 County Road 512<br/>Sebastian, FL" 32.5944165116644 -80.4979298 27.7783053
