"location" "miles" "latitude" "longitude"
"Nola Brantley Memorial Library<br/>721 Watson Blvd.<br/>Warner Robins, GA" 1.77184761620391 -83.607963 32.618346
"Centerville Branch Library<br/>310 E Church Street<br/>Centerville, GA" 5.38243208707705 -83.681986 32.623398
"Byron Public Library<br/>105 West Church Street<br/>Byron, GA" 9.76860402177357 -83.7589567 32.6506327
"Rocky Creek Branch Library<br/>1504 Rocky Creek Road<br/>Macon, GA" 11.4416569970175 -83.6713808 32.7912189
"Middle Georgia Regional Library System<br/>1180 Washington Avenue<br/>Macon, GA" 14.0060021540536 -83.6387163 32.8385818
"Houston County Public Libraries System<br/>1201 Washington Street<br/>Perry, GA" 14.8924641429349 -83.7336689 32.4610208
"Twiggs County Public Library<br/>151 Ash Street<br/>Jeffersonville, GA" 14.9133529008071 -83.3424114 32.6893165
"Shurling Branch Library<br/>1765 Shurling Drive<br/>Macon, GA" 15.2908517200389 -83.5942255 32.8610426
"West Bibb Branch Library<br/>5580 Thomaston Road<br/>Macon, GA" 15.9895598643409 -83.7440787 32.8323715
"Peach County Public Libraries System<br/>315 Martin Luther King Jr. Drive<br/>Fort Valley, GA" 18.1042220669154 -83.8840346 32.5514125
"Thomas Public Library<br/>213 Persons Street<br/>Fort Valley, GA" 18.2022323536607 -83.8877098 32.5559767
"Riverside Branch Library<br/>110 Holiday Drive North<br/>Macon, GA" 18.7039375880527 -83.6867893 32.8983065
"Tessie W. Norris Cochran-Bleckley County Pl<br/>315 Third Street Se<br/>Cochran, GA" 22.3142377987755 -83.3536082 32.3875251
"Crawford County Public Library<br/>340 Mccrary Street<br/>Roberta, GA" 25.1513081761369 -84.0117942 32.7248189
"Jones County Public Library<br/>146 Railroad Avenue<br/>Gray, GA" 25.5487073600316 -83.5347489 33.0062288
"M. E. Roden Memorial Library<br/>400 Commerce Street<br/>Hawkinsville, GA" 25.6842023567051 -83.4697045 32.2832569
"Elizabeth Harris Library<br/>312 Harmon Street<br/>Unadilla, GA" 27.0473743487718 -83.7348882 32.2681237
"East Wilkinson County Library<br/>154 E. Main Street<br/>Irwinton, GA" 27.4107697542153 -83.1694739 32.8156367
"Reynolds Community Library<br/>124e Talbot Street<br/>Reynolds, GA" 30.0027669755035 -84.0976714 32.5597326
"Monroe County Library<br/>62 West Main Street<br/>Forsyth, GA" 33.9963803349012 -83.9410978 33.034167
"Montezuma Public Library<br/>506 N. Dooly Street<br/>Montezuma, GA" 34.1522580469218 -84.0258041 32.3088634
"Byromville Public Library<br/>452 Main Street<br/>Byromville, GA" 35.4371689352558 -83.90647 32.2019884
