"location" "miles" "latitude" "longitude"
"Security Public Library<br/>715 Aspen Drive<br/>Security, CO" 12.1881432773475 -104.7314175 38.7526243
"Fountain Branch Library<br/>230 South Main Street<br/>Fountain, CO" 12.9064693161856 -104.6996681 38.6814166
"Ruth Holly Branch<br/>685 North Murray Boulevard<br/>Colorado Springs, CO" 12.9271816222445 -104.7459808 38.8429409
"Sand Creek Branch<br/>1821 South Academy Boulevard<br/>Colorado Springs, CO" 13.0837348500731 -104.7555756 38.8063741
"East Library<br/>5550 North Union Boulevard<br/>Colorado Springs, CO" 16.3298919975242 -104.7782358 38.9126388
"Penrose Public Library<br/>20 North Cascade Avenue<br/>Colorado Springs, CO" 17.0620436494618 -104.8260561 38.8353301
"Cheyenne Mountain Branch<br/>1785 South 8th Street, Suite 100<br/>Colorado Springs, CO" 17.6191549533956 -104.8398258 38.8046928
"Old Colorado City Branch Library<br/>2418 West Pikes Peak Avenue<br/>Colorado Springs, CO" 19.0599670415139 -104.8610255 38.8476303
"Rockrimmon Branch<br/>832 Village Center Drive<br/>Colorado Springs, CO" 19.8307699244304 -104.844503 38.923059
"Manitou Springs Public Library<br/>701 Manitou Ave<br/>Manitou Springs, CO" 22.013952844444 -104.91464 38.856704
"Ute Pass Branch<br/>8010 Severy<br/>Cascade, CO" 25.5355626863315 -104.969833 38.896887
"Monument Library<br/>1706 Lake Woodmoor Dr<br/>Monument, CO" 27.7807311930776 -104.8598363 39.0957938
"Palmer Lake Branch Library<br/>66 Lower Glenway<br/>Palmer Lake, CO" 31.0274416854944 -104.9152449 39.1197573
"Rampart Library District-Woodland Parkflorissant<br/>218 E. Midland<br/>Woodland Park, CO" 31.9816205704421 -105.0506724 38.9949445
"Woodland Park Public Library<br/>218 East Midland<br/>Woodland Park, CO" 31.9816205704421 -105.0506724 38.9949445
"Simla Branch Library<br/>504 Washingtion<br/>Simla, CO" 32.8967960968907 -104.087817 39.140005
"Victor Public Library<br/>124 South 3rd Street<br/>Victor, CO" 34.3817385950009 -105.1401623 38.7092298
