"location" "miles" "latitude" "longitude"
"Wayne County Public Library, Goldsboro<br/>1001 East Ash Street<br/>Goldsboro, NC" 3.08122230612199 -77.9803 35.3819274
"La Grange Branch Library<br/>119 East Washington Street<br/>La Grange, NC" 10.106324368663 -77.787694 35.305052
"Wayne County Public Library, Pikeville<br/>106 W Main St<br/>Pikeville, NC" 10.9259531326101 -77.9842917 35.4969536
"Wayne County Public Library, Mount Olive<br/>111 N Chestnut St<br/>Mt. Olive, NC" 11.5976045306797 -78.067815 35.1966388
"Princeton Public Library<br/>101 Dr. Donnie H. Jones, Jr Blvd<br/>Princeton, NC" 14.1547422222459 -78.1583702 35.467104
"Wayne County Public Library, Fremont<br/>202 Goldsboro St<br/>Fremont, NC" 14.2483828491698 -77.973907 35.54583
"Greene County Public Library<br/>229 Kingold Blvd<br/>Snow Hill, NC" 17.4818096345419 -77.6840043 35.4527435
"Faison Branch Library (Emily Hill Library)<br/>106 Park Circle<br/>Faison, NC" 18.3509871874493 -78.1392796 35.1180651
"Kenly Public Library<br/>205 Edgerton St<br/>Kenly, NC" 19.9145139703453 -78.126401 35.594757
"Crocker Branch Library<br/>114 S Main St<br/>Stantonsburg, NC" 19.990728007046 -77.8242112 35.6065759
"Black Creek Branch Library<br/>103 Central Avenue<br/>Black Creek, NC" 20.4787273832425 -77.934367 35.635318
"Lucama Branch Library<br/>103 E Spring St<br/>Lucama, NC" 21.2124758325152 -78.0091844 35.6442886
"Kinston-Lenoir County Public Library<br/>510 North Queen Street<br/>Kinston, NC" 22.0557645915525 -77.5815171 35.2660578
"Neuse Regional Library<br/>510 N. Queen Street<br/>Kinston, NC" 22.0557645915525 -77.5815171 35.2660578
"Selma Public Library<br/>301 N. Pollock St.<br/>Selma, NC" 22.7318998307945 -78.283206 35.538359
"Pink Hill Branch Library<br/>114 West Broadway St<br/>Pink Hill, NC" 23.1637829156852 -77.745959 35.05531
"Bryan Memorial Library<br/>302 West Weeksdale Street<br/>Newton Grove, NC" 23.2285325842313 -78.3552742 35.2427465
"Warsaw-Kornegay Public Library<br/>117 East College St<br/>Warsaw, NC" 24.67925675901 -78.0912731 34.9994497
"Public Library Of Johnston County Smithfield<br/>305 Market Street<br/>Smithfield, NC" 25.1291946246378 -78.3527374 35.5143215
"East Branch Library<br/>1006-C Ward Blvd<br/>Wilson, NC" 25.7013380296883 -77.9071712 35.7090023
"Duplin County Library<br/>107 Bowden Dr.<br/>Kenansville, NC" 26.0491064450362 -77.9647858 34.9635281
"Wilson County Public Library<br/>249 Nash Street W<br/>Wilson, NC" 26.9328861277578 -77.9142989 35.7275477
"Farmville Public Library<br/>4276 West Church Street<br/>Farmville, NC" 27.5714167657301 -77.587305 35.596956
"Phillip Leff Memorial Library<br/>807 East Broad St<br/>Beulaville, NC" 31.0259607629377 -77.765524 34.9211956
"Florence Gallier Library<br/>104 West Main St.<br/>Magnolia, NC" 31.1694943815048 -78.0559826 34.8961685
"J.C. Holliday Library<br/>217 Graham Street<br/>Clinton, NC" 31.2558418288064 -78.322154 34.9976569
"Elm City Branch<br/>117 N Railroad St<br/>Elm City, NC" 32.8244893629493 -77.6708441 35.7514762
"Mary Duncan Public Library<br/>100 W. Main Street<br/>Benson, NC" 33.2050829127847 -78.547929 35.38172
"Comfort Branch Library<br/>4889 Highway 41 West<br/>Trenton, NC" 33.7914541230115 -77.529445 35.0026269
"C. D. Langston R. E. Boyd Library<br/>p.o. box 395<br/>Winterville, NC" 34.1851895513343 -77.4010762 35.529051
"Hocutt Ellington Memorial Library<br/>100 South Church St<br/>Clayton, NC" 35.3847424551744 -78.4593017 35.6522422
"Rose Hill Community Memorial Library<br/>113 South Walnut St<br/>Rose Hill, NC" 35.7087345702665 -78.0206181 34.8261442
"Pinetops Branch Library<br/>201 South East 1st Street<br/>Pinetops, NC" 36.0609742578823 -77.638098 35.7901485
"Dunn Public Library<br/>110 East Divine Street<br/>Dunn, NC" 36.7418324273345 -78.6111927 35.3059955
"Carver Branch Library<br/>618 West 14th Ave.<br/>Greenville, NC" 37.3662503437523 -77.387513 35.610798
"Cove City-Craven County Public Library<br/>102 North Main Street<br/>Cove City, NC" 37.7419423523436 -77.320067 35.187215
