"location" "miles" "latitude" "longitude"
"Parker Public Library<br/>4710 Second Street<br/>Parker, FL" 3.42525994418506 -85.60498 30.129476
"Springfield Branch<br/>408 School Avenue<br/>Springfield, FL" 5.24376126678914 -85.6160148 30.1554552
"Bay County Public Library<br/>25 West Government Street<br/>Panama City, FL" 6.07541086303784 -85.6631897 30.1534504
"Northwest Regional Library System<br/>898 West 11th Street<br/>Panama City, FL" 7.26484430755857 -85.672728 30.1685939
"Lynn Haven Public Library<br/>901 Ohio Avenue<br/>Lynn Haven, FL" 11.6727742730897 -85.6482475 30.2450365
"Panama City Beach Library<br/>116 South Arnold Road<br/>Panama City Beach, FL" 19.6926639855326 -85.8884018 30.228512
"Wewa Branch Library<br/>314 North Second St.<br/>Wewahitchka, FL" 24.595438479702 -85.198632 30.1159078
"Kinard Public Library<br/>5416 S.W. State Road 73<br/>Kinard, FL" 25.3334494054153 -85.2424061 30.2657516
"Port St. Joe Branch<br/>110 Library Drive<br/>Port St. Joe, FL" 26.4105859882447 -85.2894693 29.8157469
"Hugh Creek Public Library<br/>11442 S.E. County Road 69<br/>Blountstown, FL" 37.5650251648138 -85.0677562 30.3581812
"Vernon Branch Library<br/>3731 Roche Avenue<br/>Vernon, FL" 38.2107024233703 -85.711513 30.625058
"Coastal Branch Library<br/>336 Greenway Trail<br/>Santa Rosa Beach, FL" 39.9639714762669 -86.179456 30.3792975
"Sheltons Park Public Library<br/>25008 N.E. Highway 73<br/>Altha, FL" 41.9933981632965 -85.1836013 30.5644121
"Calhoun County Public Library<br/>17731 N.E. Pear St.<br/>Blountstown, FL" 42.6079990602259 -85.0449356 30.4586048
"Freeport Branch Library<br/>76 Highway 20 West<br/>Freeport, FL" 42.7412647136126 -86.1350167 30.497504
"Liberty County Library<br/>537 South 12<br/>Bristol, FL" 43.7543670065247 -84.9770387 30.4016166
"Apalachicola Program Center<br/>148 8th Street<br/>Apalachicola, FL" 44.3085588660713 -84.990879 29.727058
"Altha Public Library<br/>5314 Brown Street<br/>Altha, FL" 44.4260990943868 -85.1271442 30.5704721
"Apalachicola Municipal Library<br/>74- 6th Street<br/>Apalachicola, FL" 44.6049203276103 -84.9862065 29.7254246
