"location" "miles" "latitude" "longitude"
"Knob Noster Branch<br/>109 E. Mcpherson<br/>Knob Noster, MO" 2.48286675225384 -93.555836 38.7647
"Warrensburg Branch<br/>125 N. Holden<br/>Warrensburg, MO" 9.99579028781623 -93.7403299 38.7639455
"Trails Regional Library<br/>432 North Holden<br/>Warrensburg, MO" 10.0658930726717 -93.740611 38.767137
"Lenora Blackmore Public Library<br/>115 E. Benton St.<br/>Windsor, MO" 13.8071142680798 -93.5214252 38.5317479
"Concordia Branch<br/>709 Main<br/>Concordia, MO" 17.5048338599556 -93.5682676 38.9819817
"Sedalia Public Library<br/>311 W. Third Street<br/>Sedalia, MO" 17.8538704550702 -93.2307938 38.708463
"Boonslick Regional Library<br/>219 West Third Street<br/>Sedalia, MO" 17.9299666971105 -93.2293593 38.7086567
"Sweet Springs Public Library<br/>217 Turner Street<br/>Sweet Springs, MO" 17.9598784295851 -93.4183883 38.9638395
"Holden Public Library<br/>101 W. Third St.<br/>Holden, MO" 23.2475445022278 -93.9910447 38.7169754
"Robertson Memorial Library<br/>19 West 20th St.<br/>Higginsville, MO" 25.3897658147515 -93.7178405 39.0750294
"Corder Branch<br/>221 N. Lafayette<br/>Corder, MO" 25.9926643205571 -93.6408551 39.0995255
"Cole Camp Branch<br/>104 E. Main Street<br/>Cole Camp, MO" 26.8042146445359 -93.2033728 38.4602586
"Henry County Library<br/>123 East Green<br/>Clinton, MO" 27.2538159307231 -93.7744117 38.3722632
"Odessa Branch<br/>107 W. Mason Street<br/>Odessa, MO" 28.2031507098835 -93.9526632 38.9992143
"Waverly Branch<br/>203 E. Kelling<br/>Waverly, MO" 33.3181890661926 -93.5161363 39.2094184
"Marshall Public Library<br/>214 N. Lafayette<br/>Marshall, MO" 33.5092416887115 -93.19714 39.122362
"Mid-Continent Public Library - Lone Jack<br/>211 North Bynum Road<br/>Lone Jack, MO" 34.4509498193197 -94.1725165 38.8724803
"Warsaw-Benton County Branch<br/>950 East Main Street<br/>Warsaw, MO" 35.4101876378319 -93.3658032 38.2403155
"Mid-Continent Public Library - Oak Grove<br/>2320 South Broadway Street<br/>Oak Groves, MO" 35.6783172649244 -94.1306504 38.9916055
"Garden City Branch<br/>207-C Date Street<br/>Garden City, MO" 35.9582650640779 -94.1908142 38.5619268
"Lexington Branch<br/>1008 Main Street<br/>Lexington, MO" 36.0397626084717 -93.8831776 39.1856231
"Pleasant Hill Branch<br/>1204-B N. Hwy 7<br/>Pleasant Hill, MO" 38.1165597226465 -94.261316 38.8002602
"Mid-Continent Public Library - Grain Valley<br/>110 Front Street<br/>Grain Valley, MO" 39.6769595297709 -94.1989437 39.015312
"Norborne Public Library<br/>109 E Second St<br/>Norborne, MO" 40.1670679668416 -93.6753933 39.3027718
"Moniteau County Library<br/>104 E Morgan St<br/>Tipton, MO" 42.4562343354546 -92.7798477 38.6554951
"Price James Memorial Library<br/>104 E. Morgan St.<br/>Tipton, MO" 42.4562343354546 -92.7798477 38.6554951
"Mid-Continent Public Library - Blue Springs South<br/>2220 South 7 Hwy.<br/>Blue Springs, MO" 42.5912925802008 -94.2724222 38.9970765
"Cass County Public Library<br/>400 E. Mechanic<br/>Harrisonville, MO" 42.7359807679075 -94.3461724 38.6536215
"Harrisonville Branch<br/>400 E. Mechanic St.<br/>Harrisonville, MO" 42.7359807679075 -94.3461724 38.6536215
"Slater Public Library<br/>201 N. Main<br/>Slater, MO" 43.317740126134 -93.0609707 39.2202295
"Morgan County Library<br/>600 N Hunter<br/>Versailles, MO" 43.6383996727778 -92.8440329 38.4387014
"Ray County Library<br/>215 E Lexington St<br/>Richmond, MO" 43.9618141705216 -93.9749764 39.276885
"Mid-Continent Public Library - Blue Springs North<br/>850 Nw Hunter Drive<br/>Blue Springs, MO" 44.3417151281171 -94.2732334 39.0502423
"Mid-Continent Public Library - Buckner<br/>19 East Jefferson<br/>Buckner, MO" 44.3638441476361 -94.1984738 39.1352923
"Appleton City Library<br/>105 W. 4th Street<br/>Appleton City, MO" 45.0444307532183 -94.0282086 38.1905336
"Mid-Continent Public Library - Colbern Road<br/>1000 N.E. Colbern Road<br/>Lees Summit, MO" 45.4854659387328 -94.3570078 38.9469811
"Archie Branch<br/>315 S. Main<br/>Archie, MO" 46.1816903513573 -94.353693 38.480892
"Mid-Continent Public Library - Lees Summit<br/>150 N.W. Oldham Parkway<br/>Lees Summit, MO" 47.101698536278 -94.401087 38.9156057
"Boonville-Cooper Branch<br/>618 Main St.<br/>Boonville, MO" 47.1662664578539 -92.7431217 38.9732845
"Saint Clair County Library<br/>115 Chestnut Street<br/>Osceola, MO" 47.7870675116984 -93.70228 38.0471549
"Peculiar Branch<br/>220 N. Main St.<br/>Peculiar, MO" 48.5610557810549 -94.4603048 38.7194022
"Raymore Branch<br/>112 N. Madison<br/>Raymore, MO" 48.6544588053158 -94.4573253 38.805396
"Midwest Genealogy Center<br/>3440 S. Lees Summit Road<br/>Independence, MO" 50.0562220412619 -94.3902853 39.0554751
"Climax Springs Branch Library<br/>215 Climax Ave<br/>Climax Springs, MO" 51.4155758224204 -93.0506127 38.1022264
"Mid-Continent Public Library - South Independence<br/>13700 East 35th Street South<br/>Independence, MO" 51.4816202752877 -94.4182465 39.0580397
"Lewis Library Of Glasgow<br/>315 Market St<br/>Glasgow, MO" 51.6131361814565 -92.8448306 39.2261464
"Mid-Continent Public Library - Administration<br/>15616 East 24 Highway<br/>Independence, MO" 51.9701661891692 -94.3916385 39.1115776
"Mid-Continent Public Library - Raytown<br/>6131 Raytown Road<br/>Raytown, MO" 52.3362811516403 -94.4623684 39.0108792
"Belton Branch<br/>422 Main St.<br/>Belton, MO" 52.6860763512107 -94.53177 38.811032
"Geneology And Local History Branch<br/>317 W. 24 Highway<br/>Independence, MO" 52.8642297192205 -94.4188541 39.1005562
"Mid-Continent Public Library - North Independence<br/>317 W. 24 Hwy.<br/>Independence, MO" 52.8642297192205 -94.4188541 39.1005562
"Mid-Continent Public Library - Grandview<br/>12930 Booth Lane<br/>Grandview, MO" 52.9855703527848 -94.521759 38.8893739
"Mid-Continent Public Library - Blue Ridge<br/>9253 Blue Ridge Boulevard<br/>Kansas City, MO" 53.2243134862741 -94.5043178 38.9563819
"Butler Public Library<br/>100 W. Atkison<br/>Butler, MO" 53.249756639518 -94.3334035 38.252887
"Trails West Branch<br/>11401 E 23rd<br/>Independence, MO" 53.2908678058652 -94.4419553 39.0797858
"Brunswick Public Library<br/>115 West Broadway<br/>Brunswick, MO" 53.2944082356963 -93.1306621 39.423416
"Hillcrest Community Center (Library-To-Go)<br/>10401 Hillcrest Road<br/>Kansas City, MO" 53.657648000821 -94.520384 38.935556
"Grandview Branch<br/>403 Main St<br/>Grandview, IN" 54.0192038842253 -94.5412832 38.8896715
"Wood Place Library<br/>102 South East Street<br/>California, MO" 54.2611412008978 -92.564503 38.6256756
"Sugar Creek Branch<br/>102 S. Sterling<br/>Sugar Creek, MO" 54.4018608991845 -94.4453317 39.109318
"Hickory County Library<br/>99 New Hermitage Dr.<br/>Hermitage, MO" 55.2114993853799 -93.343294 37.949236
"Howard County Public Library<br/>201 S Main St<br/>Fayette, MO" 55.3510308781935 -92.6820924 39.1454108
"Mid-Continent Public Library - Excelsior Springs<br/>1460 Kearney Road<br/>Excelsior Springs, MO" 56.0232704419765 -94.2441003 39.3405739
"Southeast Branch<br/>6242 Swope Parkway<br/>Kansas City, MO" 56.4238799667149 -94.542979 39.0123869
"Sunrise Beach Library<br/>box 1205<br/>Sunrise Beach, MO" 56.8500140472556 -92.7843553 38.1758645
"Marlborough Community Center (Library-To-Go)<br/>8200 Paseo Blvd.<br/>Kansas City, MO" 56.9207276589686 -94.5673493 38.9788034
"Mid-Continent Public Library - Red Bridge<br/>11140 Locust Street<br/>Kansas City, MO" 56.9311662548451 -94.5867846 38.9244473
"North-East Branch<br/>6000 Wilson Road<br/>Kansas City, MO" 57.44954458064 -94.5113344 39.1065264
"Waldo Branch<br/>201 E 75th Street<br/>Kansas City, MO" 58.1924684046324 -94.5869258 38.9916297
"L. H. Bluford Branch<br/>3050 Prospect<br/>Kansas City, MO" 58.4181609393633 -94.5531942 39.0702182
"Mid-Continent Public Library - Liberty<br/>1000 Kent Street<br/>Liberty, MO" 58.5432817409676 -94.4333412 39.2349375
"Marion City Library<br/>101 Library St<br/>Marion, KS" 58.9656620457398 -94.4198095 39.258772
"Plaza Branch<br/>301 E. 51st<br/>Kansas City, MO" 58.9933634237186 -94.583456 39.034422
"Keytesville Public Library<br/>406 West Bridge Street<br/>Keytesville, MO" 59.1259831306776 -92.9389827 39.4345532
"Drexel Branch<br/>211 E. Main St<br/>Drexel, MO" 59.199137409639 -94.608187 38.479695
"Miller County Library Eldon Branch<br/>308 East First<br/>Eldon, MO" 59.2447545262698 -92.5789067 38.3495283
"Johnson County Library, Leawood<br/>4700 Town Center Drive<br/>Leawood, KS" 59.6502011811084 -94.6406764 38.9173722
"Westport Branch<br/>118 Westport Road<br/>Kansas City, MO" 59.7437526711485 -94.5883276 39.0546258
"Mid-Continent Public Library - Claycomo<br/>309 N.E. 69 Highway<br/>Claycomo, MO" 60.0406536240591 -94.4987251 39.1993898
"Johnson County Library, Corinth<br/>8100 Mission Road<br/>Prairie Village, KS" 60.2490321101251 -94.6308083 38.9819841
"Kansas City Public Library<br/>913 Baltimore Ave<br/>Kansas City, MO" 60.8526314876139 -94.5838629 39.103114
"Johnson County Library, Blue Valley<br/>15185 South Lowell<br/>Overland Park, KS" 60.8577102255205 -94.6780599 38.8528674
"I. H. Ruiz Biblioteca De Las Americas<br/>2017 West Pennway<br/>Kansas City, MO" 60.9653027928925 -94.5944034 39.0889636
"Library District 1, Miami County<br/>206 S. Broadway St.<br/>Louisburg, KS" 60.9992948059943 -94.6813439 38.61951
"Louisburg Library<br/>206 S. Broadway<br/>Louisburg, KS" 60.9992948059943 -94.6813439 38.61951
"North Kansas City Public Library-High School Media Center<br/>2251 Howell Street<br/>North Kansas City, KS" 61.5673046859397 -94.5722517 39.144831
"North Kansas City Public Library<br/>2251 Howell St.<br/>North Kansas City, MO" 61.5673046859397 -94.5722517 39.144831
"Rich Hill Memorial Library<br/>514 E. Walnut<br/>Rich Hill, MO" 61.682177440617 -94.3640587 38.0975129
"Johnson County Library, Cedar Roe<br/>5120 Cedar<br/>Roeland Park, KS" 61.9890830828259 -94.6422959 39.0355907
"Macks Creek Branch Library<br/>90 State Road N<br/>Macks Creek, MO" 62.0732319170548 -92.9640935 37.963205
"Mid-Continent Public Library - Kearney<br/>100 South Platte-Clay Way<br/>Kearney, MO" 62.0879561239074 -94.3681523 39.3710966
"Mid-Continent Public Library - Antioch<br/>6060 North Chestnut<br/>Gladstone, MO" 62.3862528404836 -94.546595 39.2040086
"Dulany Memorial Library<br/>501 S. Broadway<br/>Salisbury, MO" 62.8474277318373 -92.8015878 39.4206017
"Johnson County Library, Shawnee Mission<br/>8826 Santa Fe<br/>Overland Park, KS" 63.0822321890623 -94.689015 38.9725484
"Kansas City, Kansas Public Library<br/>625 Minnesota Avenue<br/>Kansas City, KS" 63.2080015651966 -94.6251274 39.1149907
"Johnson County Library<br/>9875 W. 87th Street<br/>Overland Park, KS" 63.5847999675119 -94.6996266 38.9698241
"Johnson County Library, Antioch Central<br/>8700 Shawnee Mission Pwky.<br/>Merriam, KS" 63.8154412279912 -94.6868988 39.0155674
"Argentine Branch Library<br/>2800 Metropolitan Ave<br/>Kansas City, KS" 63.851592972916 -94.6610889 39.0732672
"Johnson County Library, Oak Park<br/>9500 Bluejacket<br/>Overland Park, KS" 64.0290980868786 -94.7126363 38.9561842
